url,category_code,category_description,date_added,source,notes,rank
http://a1plus.wordpress.com/,NEWS,News Media,2014-04-15,citizenlab,,25440655
http://adl.hayway.org/,POLR,Political Criticism,2014-04-15,citizenlab,,4773887
http://ap.rau.am/,NEWS,News Media,2014-04-15,citizenlab,,37314594
http://ara-ashjian.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,15605845
http://aramazd.livejournal.com/,NEWS,News Media,2014-04-15,citizenlab,,9182423
http://azad-hye.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,28373303
http://beeline.am/,COMM,E-commerce,2014-04-15,citizenlab,,39616
http://civilnet.am/,NEWS,News Media,2014-04-15,citizenlab,,63658
http://ditord.wordpress.com/,NEWS,News Media,2014-04-15,citizenlab,,6096395
http://epress.am/,NEWS,News Media,2014-04-15,citizenlab,,222795
http://foi.am/en/,NEWS,News Media,2014-04-15,citizenlab,,5006768
http://gayarmenia.aglany.org/,LGBT,LGBT,2014-04-15,citizenlab,,-1
http://gayarmenia.blogspot.com/,LGBT,LGBT,2014-04-15,citizenlab,,5004743
http://genats-lehayim.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,75132587
http://hhk.am/,POLR,Political Criticism,2014-04-15,citizenlab,,237306
http://iararat.wordpress.com/,NEWS,News Media,2014-04-15,citizenlab,,10037291
http://kornelij.livejournal.com/tag/blog,NEWS,News Media,2014-04-15,citizenlab,,10043076
http://lragir.am/,NEWS,News Media,2014-04-15,citizenlab,,134183
http://markgrigorian.livejournal.com/,NEWS,News Media,2014-04-15,citizenlab,,9549914
http://panarmenian.net/,NEWS,News Media,2014-04-15,citizenlab,,64530
http://pigh.livejournal.com/,HATE,Hate Speech,2014-04-15,citizenlab,,13522614
http://pinkarmenia.blogspot.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,14181939
http://qbhima.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,32849668
http://queeringyerevan.blogspot.com/,LGBT,LGBT,2014-04-15,citizenlab,,9353399
http://reporter.am/,NEWS,News Media,2014-04-15,citizenlab,,171441
http://stopxenophobia.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,34419572
http://times.am/,NEWS,News Media,2014-04-15,citizenlab,,436964
http://trans-armenia.blogspot.com/,LGBT,LGBT,2014-04-15,citizenlab,,81388521
http://unzipped.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,6078539
http://www.168.am/,NEWS,News Media,2014-04-15,citizenlab,,486112
http://www.1in.am/,NEWS,News Media,2014-04-15,citizenlab,,258985
http://www.7or.am/,NEWS,News Media,2014-04-15,citizenlab,,1952709
http://www.a1plus.am/,NEWS,News Media,2014-04-15,citizenlab,,81293
http://www.aaainc.org/,NEWS,News Media,2014-04-15,citizenlab,,1847395
http://www.adc.am/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,45712898
http://www.amiab.am/,POLR,Political Criticism,2014-04-15,citizenlab,,17958194
http://www.anc.am/en/,POLR,Political Criticism,2014-04-15,citizenlab,,6825749
http://www.anca.org/,NEWS,News Media,2014-04-15,citizenlab,,79244
http://www.aravot.am/,NEWS,News Media,2014-04-15,citizenlab,,149532
http://www.arf.am/,POLR,Political Criticism,2014-04-15,citizenlab,,625270
http://www.arfd.am/,POLR,Political Criticism,2014-04-15,citizenlab,,407472
http://www.arfd.info/,POLR,Political Criticism,2014-04-15,citizenlab,,396639
http://www.arka.am/eng/,NEWS,News Media,2014-04-15,citizenlab,,52038
http://www.armenialiberty.am/,NEWS,News Media,2014-04-15,citizenlab,,12336298
http://www.armenianow.com/,NEWS,News Media,2014-04-15,citizenlab,,86099
http://www.armeniansingles.com/,DATE,Online Dating,2014-04-15,citizenlab,,77976366
http://www.armeniapedia.org/,NEWS,News Media,2014-04-15,citizenlab,,70469
http://www.arminco.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,454510
http://www.arminfo.info/,NEWS,News Media,2014-04-15,citizenlab,,255795
http://www.armtimes.com/,NEWS,News Media,2014-04-15,citizenlab,,249395
http://www.armtoday.info/,NEWS,News Media,2014-04-15,citizenlab,,1466000
http://www.azadinform.az/,NEWS,News Media,2014-04-15,citizenlab,,7761481
http://www.azatutyun.am/,NEWS,News Media,2014-04-15,citizenlab,,81380
http://www.azatutyun.net/,NEWS,News Media,2014-04-15,citizenlab,,100515564
http://www.azg.am/,NEWS,News Media,2014-04-15,citizenlab,,246217
http://www.bhk.am/,POLR,Political Criticism,2014-04-15,citizenlab,,1849451
http://www.bionet.am/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,22851391
http://www.chi.am/,NEWS,News Media,2014-04-15,citizenlab,,11360021
http://www.cilicia.com/armo_life-log.html,NEWS,News Media,2014-04-15,citizenlab,,106388
http://www.csi.am/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,15663025
https://www.day.az/,NEWS,News Media,2014-04-15,citizenlab,Reportedly blocked amid 2020 Nagorno-Karabakh war,118115
http://www.fastnet.am/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,100085810
http://www.freenet.am/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,2129691
http://www.galasla.org/,LGBT,LGBT,2014-04-15,citizenlab,,6141620
http://www.givemeinfo.am/en/,NEWS,News Media,2014-04-15,citizenlab,,36270880
http://www.gnc.am/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,26312648
http://www.hayary.org/,POLR,Political Criticism,2014-04-15,citizenlab,,12016250
http://www.hayastan.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,308570
http://www.haytube.com/,MMED,Media sharing,2014-04-15,citizenlab,,48474590
http://www.health.am/,XED,Sex Education,2014-04-15,citizenlab,,122015
http://www.heritage.am/,POLR,Political Criticism,2014-04-15,citizenlab,,639905
http://www.hetq.am/,NEWS,News Media,2014-04-15,citizenlab,,46512
http://www.hra.am/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,469965
http://www.hraparak.am/,NEWS,News Media,2014-04-15,citizenlab,,303249
http://www.hunchak.org.au/,POLR,Political Criticism,2014-04-15,citizenlab,,6300420
http://www.hyesingles.com/,DATE,Online Dating,2014-04-15,citizenlab,,16759970
http://www.jewish.am/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,9026483
http://www.levonpresident.am/,POLR,Political Criticism,2014-04-15,citizenlab,,6264826
http://www.lragir.am/,NEWS,News Media,2014-04-15,citizenlab,,134183
http://www.media.am/,NEWS,News Media,2014-04-15,citizenlab,,556898
http://www.miacum.ru/,NEWS,News Media,2014-04-15,citizenlab,,8197134
http://www.netsys.am/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,67683649
http://www.news.am/,NEWS,News Media,2014-04-15,citizenlab,,37900
http://www.newsazerbaijan.ru/,NEWS,News Media,2014-04-15,citizenlab,,2589358
http://www.oek.am/official/,POLR,Political Criticism,2014-04-15,citizenlab,,25629774
http://www.oneworld.am/,NEWS,News Media,2014-04-15,citizenlab,,5539451
http://www.panorama.am/,NEWS,News Media,2014-04-15,citizenlab,,73975
http://www.payqar.org/,NEWS,News Media,2014-04-15,citizenlab,,2560034
http://www.religions.am/eng/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,464480
http://www.rferl.org/featuresarchive/country/armenia.html,NEWS,News Media,2014-04-15,citizenlab,,1894
http://www.tert.am/,NEWS,News Media,2014-04-15,citizenlab,,152104
http://www.ucom.am/,COMT,Communication Tools,2014-04-15,citizenlab,,33897
http://www.ulp.am/,POLR,Political Criticism,2014-04-15,citizenlab,,40150900
http://www.usaanc.com/,POLR,Political Criticism,2014-04-15,citizenlab,,-1
http://www.vost.net/,SRCH,Search Engines,2014-04-15,citizenlab,,39386102
http://www.web.am/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,10033256
http://www.womenofarmenia.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,4496412
http://www.yeresbook.com/,GRP,Social Networking,2014-04-15,citizenlab,,109510542
http://www.yerkirmedia.am/,NEWS,News Media,2014-04-15,citizenlab,,44641
http://www.zerkalo.az/,NEWS,News Media,2014-04-15,citizenlab,,167166
http://xocali.net/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,3582385
http://youtube.com/a1plusnews,NEWS,News Media,2014-04-15,citizenlab,,4
http://www.bbc.com/azeri/,NEWS,News Media,2017-07-19,BBC,,96
http://www.bbcazeri.com/,NEWS,News Media,2017-07-19,BBC,,84142727
https://hy.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,121271
