url,category_code,category_description,date_added,source,notes,rank
https://24banglanewsblog.wordpress.com/,NEWS,News Media,2016-08-05,OONI,Ordered blocking,9245422
http://amarbangladesh-online.com/,NEWS,News Media,2016-08-05,OONI,Ordered blocking,8996110
http://amardesh.com/,NEWS,News Media,2016-03-24,OONI,,477504
http://amrabnp.com/,NEWS,News Media,2016-08-05,OONI,Ordered blocking,9250287
http://archive.thedailystar.net/2007/05/21/d7052101107.htm,HUMR,Human Rights Issues,2016-03-28,OONI,,69970
http://bangladeshpolitico.blogspot.de/,POLR,Political Criticism,2016-03-28,OONI,,-1
http://bangladeshwarcrimes.blogspot.de/,HUMR,Human Rights Issues,2016-03-28,OONI,,-1
http://bangladeshwatchdog.blogspot.com/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,7633551
http://bangladeshwatchdog.blogspot.com/2007_04_01_archive.html,POLR,Political Criticism,2014-04-15,citizenlab,,7633551
http://bangladoot.org/,GOVT,Government,2014-04-15,citizenlab,,6292480
http://bangladoot.org/Foreign%20Relations-Bangladesh%20and%20Outside%20world11oct02.doc,GOVT,Government,2014-04-15,citizenlab,,6292480
http://banglapedia.search.com.bd/,SRCH,Search Engines,2014-04-15,citizenlab,,121795
http://banglapost24.com/,NEWS,News Media,2016-08-05,OONI,Ordered blocking,8903747
http://bd.singlescrowd.com/,DATE,Online Dating,2014-04-15,citizenlab,,-1
http://bdnews24.com/bangladesh/2014/01/10/temple-ornaments-stolen,NEWS,News Media,2016-03-24,OONI,,25742
http://bdpod.com/,SRCH,Search Engines,2014-04-15,citizenlab,,92397476
http://bdpolitics.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,40081330
http://bhorerkagoj.net/,NEWS,News Media,2014-04-15,citizenlab,,5835673
http://borbodhu.com/,DATE,Online Dating,2014-04-15,citizenlab,,351299
http://chersonandmolschky.com/2015/06/27/bangladesh-history-muslim-persecution-hindus/,HUMR,Human Rights Issues,2016-03-24,OONI,,6380606
http://counterterrorismblog.org/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,151564
http://counterterrorismblog.org/2007/03/bangladesh_executes_jmb_milita_1.php,MILX,Terrorism and Militants,2014-04-15,citizenlab,,151564
http://counterterrorismblog.org/2007/03/bangladesh_thousands_militants.php,MILX,Terrorism and Militants,2014-04-15,citizenlab,,151564
http://counterterrorismblog.org/2007/03/saudi_money_funding_islamists.php,MILX,Terrorism and Militants,2014-04-15,citizenlab,,151564
http://counterterrorismblog.org/2007/04/islamic_militant_kicks_off_rev.php,MILX,Terrorism and Militants,2014-04-15,citizenlab,,151564
http://counterterrorismblog.org/2007/05/bangladesh_terror_deja_vu_1.php,MILX,Terrorism and Militants,2014-04-15,citizenlab,,151564
http://cpj.org/,NEWS,News Media,2014-04-15,citizenlab,,12779
http://cpj.org/attacks06/asia06/bang06.html,NEWS,News Media,2014-04-15,citizenlab,,12779
http://dakbangla.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,42181709
http://deshivoice.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,12578673
http://deshivoice.blogspot.com/2007/07/bangladeshs-political-reform.html,POLR,Political Criticism,2014-04-15,citizenlab,,12578673
http://dhakashohor.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,12597810
http://dinkalonline.net/,NEWS,News Media,2016-08-05,OONI,Ordered blocking,3943234
http://hinduexistence.org/category/bangladeshi-hindus/,HUMR,Human Rights Issues,2016-03-24,OONI,,1271540
http://hrcbm.org/,GOVT,Government,2014-04-15,citizenlab,,707260
http://hrcbmdfw.org/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,790636
http://hrcbmdfw.org/blogs/bangladesh/archive/2006/01/02/70.aspx,MILX,Terrorism and Militants,2014-04-15,citizenlab,,790636
http://hrtribune.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,29022787
http://hrtribune.com/News/gang_rape_chuadanga.html,HUMR,Human Rights Issues,2014-04-15,citizenlab,,29022787
http://hrw.org/english/docs/2005/06/16/bangla11139.htm,HUMR,Human Rights Issues,2014-04-15,citizenlab,,2304
http://hrw.org/english/docs/2006/06/07/bangla13518.htm,HUMR,Human Rights Issues,2014-04-15,citizenlab,,2304
http://hrw.org/reports/2005/bangladesh0605/4.htm,HUMR,Human Rights Issues,2014-04-15,citizenlab,,2304
http://in.rediff.com/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,64183
http://in.rediff.com/news/2005/dec/21bspec.htm,HATE,Hate Speech,2014-04-15,citizenlab,,64183
http://jamestown.org/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,16116
http://jamestown.org/terrorism/news/article.php?articleid=2369724&printthis=1,MILX,Terrorism and Militants,2014-04-15,citizenlab,,16116
http://jugantor.com/,NEWS,News Media,2014-04-15,citizenlab,,58156
http://kothachat.com/,GRP,Social Networking,2014-04-15,citizenlab,,42796732
http://mynewsbd.com/,NEWS,News Media,2016-08-05,OONI,Ordered blocking,9250219
http://nation.ittefaq.com/,NEWS,News Media,2014-04-15,citizenlab,,192615
http://natunerdak.com/,NEWS,News Media,2016-08-05,OONI,Ordered blocking,9250773
http://natunsokal.com/,NEWS,News Media,2016-08-05,OONI,Ordered blocking,9250296
http://newagebd.net/43141/the-list-grows-longer/,HUMR,Human Rights Issues,2016-03-28,OONI,,49723
http://news.bbc.co.uk/2/hi/south_asia/6596775.stm,POLR,Political Criticism,2014-04-15,citizenlab,,667
http://odhikar.org/arrest-and-enforced-disappearance-of-mohammad-anwarul-islam-by-rapid-action-battalion-rab-members/,HUMR,Human Rights Issues,2016-03-28,OONI,,275406
http://onb24.com/,NEWS,News Media,2016-08-05,OONI,Ordered blocking,9250273
http://ourbangla.com/,DATE,Online Dating,2014-04-15,citizenlab,,673185
http://ourbangla.com/efriends/,GRP,Social Networking,2014-04-15,citizenlab,,673185
http://parstoday.com/en,NEWS,News Media,2016-08-05,OONI,Ordered blocking,80417
http://rikhan.com/,NEWS,News Media,2016-08-05,OONI,Ordered blocking,9250183
http://rtnews24.com/,NEWS,News Media,2016-08-05,OONI,Ordered blocking,8565513
http://sachalayatan.com/,NEWS,News Media,2014-04-15,citizenlab,,757496
http://salamdhaka.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,14063313
https://sarabangla.com/,NEWS,News Media,2016-08-05,OONI,Ordered blocking,9250275
http://seclists.org/isn/2006/Sep/0059.html,HACK,Hacking Tools,2014-04-15,citizenlab,,16230
http://somoybangla.com/,NEWS,News Media,2016-08-05,OONI,Ordered blocking,9250300
http://taslimanasrin.com/,NEWS,News Media,2014-04-15,citizenlab,,263243
http://tpoi.blogspot.com/,CULTR,Culture,2014-04-15,citizenlab,,14105029
http://web.bizbangladesh.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,-1
http://weeklysonarbangla.net/,NEWS,News Media,2016-08-05,OONI,Ordered blocking,7776119
http://world.time.com/2014/01/14/the-hindus-of-bangladesh-are-fearing-for-their-future/,NEWS,News Media,2016-03-24,OONI,,20062
http://www.ahsaniamission.org/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,36198446
http://www.ajkerkagoj.com/,NEWS,News Media,2014-04-15,citizenlab,,1604702
http://www.albd.org/,POLR,Political Criticism,2014-04-15,citizenlab,,117476
http://www.amadershomoy.com/,NEWS,News Media,2014-04-15,citizenlab,,545905
http://www.amardeshbd.com/,NEWS,News Media,2014-04-15,citizenlab,,673131
http://www.amardeshonline.com/,NEWS,News Media,2016-03-24,OONI,,655227
http://www.amnesty.org/en/,HUMR,Human Rights Issues,2016-03-24,OONI,,1860
http://www.amnesty.org/en/countries/asia-and-the-pacific/bangladesh/,HUMR,Human Rights Issues,2016-03-24,OONI,,1860
http://www.amnesty.org/en/latest/news/2013/09/bangladesh-death-sentence-without-right-judicial-appeal-defies-human-rights-law/,HUMR,Human Rights Issues,2016-03-24,OONI,,1860
http://www.amnesty.org/en/latest/news/2013/10/bangladesh-mp-war-crimes-death-penalty/,HUMR,Human Rights Issues,2016-03-24,OONI,,1860
http://www.amnesty.org/en/latest/news/2013/11/bangladesh-death-sentences-mutineers-amount-flawed-justice/,HUMR,Human Rights Issues,2016-03-24,OONI,,1860
http://www.amnesty.org/en/latest/news/2014/09/bangladesh-disturbing-increase-disappearances-clampdown-press-freedom/,HUMR,Human Rights Issues,2016-03-24,OONI,,1860
http://www.amnesty.org/en/latest/news/2014/10/bangladesh-death-penalty-will-not-bring-justice-crimes-during-independence-war/,HUMR,Human Rights Issues,2016-03-24,OONI,,1860
http://www.amnesty.org/en/latest/news/2014/11/bangladesh-fresh-death-sentences-show-urgent-need-end-executions/,HUMR,Human Rights Issues,2016-03-24,OONI,,1860
http://www.amnesty.org/en/latest/news/2015/01/bangladesh-excessive-police-force-not-answer-horrific-petrol-bomb-attacks/,HUMR,Human Rights Issues,2016-03-24,OONI,,1860
