url,category_code,category_description,date_added,source,notes,rank
http://realmotor.jp/,COMM,E-commerce,2017-03-02,CIPIT,,18263873
http://akeza.net/,NEWS,News Media,2017-03-02,CIPIT,,6172276
http://justporno.tv/,PORN,Pornography,2017-03-02,CIPIT,,17643004
https://www.intercontactservices.com/,COMM,E-commerce,2017-03-02,CIPIT,,18831638
https://www.dotdash.com/,CULTR,Culture,2017-03-02,CIPIT,,887694
https://www.twinred.com/,COMM,E-commerce,2017-03-02,CIPIT,,16926030
https://viadeo.journaldunet.com/,COMM,E-commerce,2017-03-02,CIPIT,,1320848
https://www1.torrentz9.fr/,FILE,File-sharing,2017-03-02,CIPIT,,51924522
https://hp.myway.com/myway/index.html/,SRCH,Search Engines,2017-03-02,CIPIT,,754447
https://adobe.com/,COMM,E-commerce,2017-03-02,CIPIT,,90
https://alibaba.com/,COMM,E-commerce,2017-03-02,CIPIT,,1636
https://aliexpress.com/,COMM,E-commerce,2017-03-02,CIPIT,,975
https://amazon.fr/,COMM,E-commerce,2017-03-02,CIPIT,,140
http://booking.com/,COMM,E-commerce,2017-03-02,CIPIT,,289
https://login.microsoftonline.com/,COMT,Communication Tools,2017-03-02,CIPIT,,10618
https://reverso.net/,CULTR,Culture,2017-03-02,CIPIT,,21136
https://microsoft.com/,COMM,E-commerce,2017-03-02,CIPIT,,54
https://office.com/,COMM,E-commerce,2017-03-02,CIPIT,,5702
https://shutterstock.com/,COMM,E-commerce,2017-03-02,CIPIT,,286
https://france24.com/,NEWS,News Media,2017-03-02,CIPIT,,2192
https://lefigaro.fr/,NEWS,News Media,2017-03-02,CIPIT,,5029
https://linternaute.com/,NEWS,News Media,2017-03-02,CIPIT,,13634
https://focode.org/,HUMR,Human Rights Issues,2017-03-02,CIPIT,,14112447
https://doctissimo.fr/,CULTR,Culture,2017-03-02,CIPIT,,72799
https://eachamps.rw/,CULTR,Culture,2017-03-02,CIPIT,,19149358
https://indundi.com/,CULTR,Culture,2017-03-02,CIPIT,,9108878
https://journaldesfemmes.com/,CULTR,Culture,2017-03-02,CIPIT,,87360
https://larousse.fr/,CULTR,Culture,2017-03-02,CIPIT,,11449
https://livescore.com/,CULTR,Culture,2017-03-02,CIPIT,,42054
https://notjustok.com/,CULTR,Culture,2017-03-02,CIPIT,,121157
https://santeplusmag.com/,CULTR,Culture,2017-03-02,CIPIT,,156110
https://u-picardie.fr/,CULTR,Culture,2017-03-02,CIPIT,,135620
https://yegob.rw/,CULTR,Culture,2017-03-02,CIPIT,,13860279
https://beforward.jp/,COMM,E-commerce,2017-03-02,CIPIT,,3081833
https://www.cnet.com/,COMM,E-commerce,2017-03-02,CIPIT,,270
https://free.fr/,COMM,E-commerce,2017-03-02,CIPIT,,15776
https://ifcmarkets.fr/,COMM,E-commerce,2017-03-02,CIPIT,,54764161
https://jobinburundi.com/,COMM,E-commerce,2017-03-02,CIPIT,,43083211
https://openclassrooms.com/,COMM,E-commerce,2017-03-02,CIPIT,,11822
https://reimageplus.com/,COMM,E-commerce,2017-03-02,CIPIT,,1579395
https://softonic.com/,COMM,E-commerce,2017-03-02,CIPIT,,1428616
https://alison.com/,FILE,File-sharing,2017-03-02,CIPIT,,11658
https://developpez.com/,FILE,File-sharing,2017-03-02,CIPIT,,72197
https://easypdfcombine.com/,FILE,File-sharing,2017-03-02,CIPIT,,39507205
https://mediafire.com/,FILE,File-sharing,2017-03-02,CIPIT,,152
https://memoireonline.com/,FILE,File-sharing,2017-03-02,CIPIT,,1172435
https://ooreka.fr/,FILE,File-sharing,2017-03-02,CIPIT,,3704978
https://slideshare.net/,FILE,File-sharing,2017-03-02,CIPIT,,52
https://unzipper.com/,FILE,File-sharing,2017-03-02,CIPIT,,43943343
https://uptodown.com/,FILE,File-sharing,2017-03-02,CIPIT,,55887
https://nametests.com/,GAME,Gaming,2017-03-02,CIPIT,,1274698
https://obr.bi/,GOVT,Government,2017-03-02,CIPIT,,1951687
https://state.gov/,GOVT,Government,2017-03-02,CIPIT,,786
https://avast.com/,HACK,Hacking Tools,2017-03-02,CIPIT,,4799
https://01net.com/,HOST,Hosting and Blogging Platforms,2017-03-02,CIPIT,,13583
https://www.clubic.com/,HOST,Hosting and Blogging Platforms,2017-03-02,CIPIT,,11837
https://www.futura-sciences.com/,HOST,Hosting and Blogging Platforms,2017-03-02,CIPIT,,18772
https://www.infomaniak.com/,HOST,Hosting and Blogging Platforms,2017-03-02,CIPIT,,15124
https://www.journaldunet.com/,HOST,Hosting and Blogging Platforms,2017-03-02,CIPIT,,13540
https://www.over-blog.com/,HOST,Hosting and Blogging Platforms,2017-03-02,CIPIT,,960352
https://uncareer.net/,IGO,Intergovernmental Organizations,2017-03-02,CIPIT,,6570490
https://unjobs.org/,IGO,Intergovernmental Organizations,2017-03-02,CIPIT,,153923
https://deturl.com/,MMED,Media sharing,2017-03-02,CIPIT,,1425490
https://videostripe.com/,MMED,Media sharing,2017-03-02,CIPIT,,47836787
https://www.afrikmag.com/,NEWS,News Media,2017-03-02,CIPIT,,173409
https://arib.info/,NEWS,News Media,2017-03-02,CIPIT,,1957343
https://bfmtv.com/,NEWS,News Media,2017-03-02,CIPIT,,5247
https://commentcamarche.net/,NEWS,News Media,2017-03-02,CIPIT,,57916
https://igihe.bi/,NEWS,News Media,2017-03-02,CIPIT,,15911008
https://igihe.com/,NEWS,News Media,2017-03-02,CIPIT,Same content with igihe.bi,2599612
https://jeuneafrique.com/,NEWS,News Media,2017-03-02,CIPIT,,19153
https://mediacongo.net/,NEWS,News Media,2017-03-02,CIPIT,,287123
https://newvision.co.ug/,NEWS,News Media,2017-03-02,CIPIT,,38168
https://yaga-burundi.com/,NEWS,News Media,2017-03-02,CIPIT,,3170551
https://fuckbookafricaine.com/,DATE,Online Dating,2017-03-02,CIPIT,,316420502
https://iwacu-burundi.org/,POLR,Political Criticism,2017-03-02,CIPIT,reportedly blocked in the past,184347
https://bongacams.com/,PORN,Pornography,2017-03-02,CIPIT,,160235
https://camdolls.com/,PORN,Pornography,2017-03-02,CIPIT,,51654162
https://livejasmin.com/,PORN,Pornography,2017-03-02,CIPIT,,1417790
https://perfectgirls.net/,PORN,Pornography,2017-03-02,CIPIT,,3001010
https://redtube.com/,PORN,Pornography,2017-03-02,CIPIT,,883472
https://tukif.com/,PORN,Pornography,2017-03-02,CIPIT,,4994628
https://google.bf/,SRCH,Search Engines,2017-03-02,CIPIT,,32110
https://google.cd/,SRCH,Search Engines,2017-03-02,CIPIT,,28016
https://google.co.in/,SRCH,Search Engines,2017-03-02,CIPIT,,624
https://medianewpagesearch.com/,SRCH,Search Engines,2017-03-02,CIPIT,,81006498
https://webcrawler.com/,SRCH,Search Engines,2017-03-02,CIPIT,,219698
https://www.zapmeta.ws/,SRCH,Search Engines,2017-03-02,CIPIT,,9397630
https://twoo.com/,GRP,Social Networking,2017-03-02,CIPIT,,93035
http://concomber.com/,CULTR,Culture,2017-03-09,CIPIT,,84605604
http://maxifoot.fr/,CULTR,Culture,2017-03-09,CIPIT,,36629
http://ub.edu.bi/,CULTR,Culture,2017-03-09,CIPIT,,4205275
http://linkis.com/,COMM,E-commerce,2017-03-09,CIPIT,,188007
http://openrbf.org/,ECON,Economics,2017-03-09,CIPIT,,6538474
http://fecofa-rdc.com/,GOVT,Government,2017-03-09,CIPIT,,419862
http://mdnac.bi/,GOVT,Government,2017-03-09,CIPIT,,15220222
http://homecash.online/,HACK,Hacking Tools,2017-03-09,CIPIT,,56556501
http://smadav.net/,HACK,Hacking Tools,2017-03-09,CIPIT,,4196123
http://zone-numerique.com/,HOST,Hosting and Blogging Platforms,2017-03-09,CIPIT,,2821145
http://fao.org/,IGO,Intergovernmental Organizations,2017-03-09,CIPIT,,182
http://moviesubtitles.org/,MMED,Media sharing,2017-03-09,CIPIT,,3100565
http://ppbdi.com/,NEWS,News Media,2017-03-09,CIPIT,,5994740
http://www.cnared.info/wordpress,POLR,Political Criticism,2017-03-09,CIPIT,,13259493
https://www.facebook.com/sosmediasburundi,POLR,Political Criticism,2017-03-09,CIPIT,Facebook page - keep for monitoring,1
http://absoluporn.com/,PORN,Pornography,2017-03-09,CIPIT,,26112792
http://bellotube.com/,PORN,Pornography,2017-03-09,CIPIT,,35566239
http://hqbutt.com/,PORN,Pornography,2017-03-09,CIPIT,,45786196
http://tastyblacks.com/,PORN,Pornography,2017-03-09,CIPIT,,7416608
http://xxxsexanal.com/,PORN,Pornography,2017-03-09,CIPIT,,33853302
http://acces-vod.com/,PORN,Pornography,2017-03-09,CIPIT,,-1
https://www.anssburundi.bi/,PUBH,Public Health,2017-03-09,CIPIT,,21811486
http://luckysearches.com/,SRCH,Search Engines,2017-03-09,CIPIT,,32488613
http://omniboxes.com/,SRCH,Search Engines,2017-03-09,CIPIT,,32876204
https://journals.openedition.org/,CULTR,Culture,2017-03-09,CIPIT,,14491
https://www.atlassian.com/software/,COMM,E-commerce,2017-03-09,CIPIT,Software Development and Collaboration Tools,1868
https://www.admarketplace.com/,COMM,E-commerce,2017-03-09,CIPIT,,247988
https://www.pluralsight.com/codeschool/,COMM,E-commerce,2017-03-09,CIPIT,,5732
http://update.empowr.com/,COMM,E-commerce,2017-03-09,CIPIT,,52752110
https://keap.com/,COMM,E-commerce,2017-03-09,CIPIT,Redirect to new domain https://keap.com,36937
https://www.leadpages.com/,COMM,E-commerce,2017-03-09,CIPIT,,221796
https://www.bancobu.bi/,COMM,E-commerce,2017-03-09,CIPIT,Commercial Bank of Burundi,58482980
https://www.cpasbien.sh/,FILE,File-sharing,2017-03-09,CIPIT,Reportedly changed frequently the Country code top-level domain. Moved to another domain name,60505353
https://todaysnews.live/rw/fr/latest?utm_source=gulfeconnection.com/,HACK,Hacking Tools,2017-03-09,CIPIT,,19560897
https://www.nextpit.fr/,HOST,Hosting and Blogging Platforms,2017-03-09,CIPIT,,2050881
https://bluesquarehub.com/,HOST,Hosting and Blogging Platforms,2017-03-09,CIPIT,,952691
https://www.lacoccinelle.net/index.html/,MMED,Media sharing,2017-03-09,CIPIT,,1841498
https://keepvid.com/,MMED,Media sharing,2017-03-09,CIPIT,,128319
https://pornone.com/,PORN,Pornography,2017-03-09,CIPIT,,7769691
https://emcitv.com/,REL,Religion,2017-03-09,CIPIT,,159493
https://search.newtabtvsearch.com/,SRCH,Search Engines,2017-03-09,CIPIT,,160808443
https://www.google.com/videohp/,SRCH,Search Engines,2017-03-09,CIPIT,,3
https://apple.com/,COMM,E-commerce,2017-03-09,CIPIT,Multinational technology company ,70
https://atlassian.com/,COMM,E-commerce,2017-03-09,CIPIT,Software Development and Collaboration Tools,1868
https://aweber.com/,COMM,E-commerce,2017-03-09,CIPIT,Email marketing software,5322
https://babbel.com/,COMM,E-commerce,2017-03-09,CIPIT,App & Software learning languages,11360
https://hp.com/,COMM,E-commerce,2017-03-09,CIPIT,,2617
https://linguee.fr/,CULTR,Culture,2017-03-09,CIPIT,,927847
https://skysports.com/,CULTR,Culture,2017-03-09,CIPIT,,10505
https://cisco.com/,COMM,E-commerce,2017-03-09,CIPIT,,574
https://office365.com/,COMM,E-commerce,2017-03-09,CIPIT,,317521
