url,category_code,category_description,date_added,source,notes,rank
https://www.talkingdrugs.org/es/,ALDR,Alcohol & Drugs,2021-05-15,Netalitica,"Devoted to news and dialogues about drugs, use and regulation. Harm reduction",261822
https://pisatahua.org/es/,ALDR,Alcohol & Drugs,2021-05-15,Netalitica,A retreat to do medicial drugs such as Ayahuasca,29178164
https://es.casadepawua.com/,ALDR,Alcohol & Drugs,2021-05-15,Netalitica,A retreat to do medicial drugs such as Ayahuasca,-1
https://sacharuna.com/,ALDR,Alcohol & Drugs,2021-05-15,Netalitica,A retreat to do medicial drugs such as Ayahuasca,26403955
http://www.plantaforma.org/,ALDR,Alcohol & Drugs,2021-05-15,Netalitica,Platform to defend and protect Ayahuasca,2698236
https://buyperuviancocaseedsonline.wordpress.com/,ALDR,Alcohol & Drugs,2021-05-09,Netalitica,A site to buy coca seeds. From Peru but worth listing it because Peru and Bolivia collaborate regarding coca commerce and traffic at the border.,-1
http://www.fundacioncsz.org/ArchivosPublicaciones/148.pdf/,ALDR,Alcohol & Drugs,2021-05-09,Netalitica,"This is a link to a book titled ""from coca leaves to cocaine""",2712298
https://buybolivianonline.com/,ALDR,Alcohol & Drugs,2021-05-09,Netalitica,,19748877
https://isoc.bo/,ANON,Anonymization and circumvention tools,2021-05-14,Netalitica,Bolivian chapter of the Internet Society. The Bolivian chapter seems in early stages and focuses on promote the use of internet,7760615
https://colectivodisonancia.net/,ANON,Anonymization and circumvention tools,2021-05-14,Netalitica,"cooperative tools for digital and technological autonomy (Encryption, anonymity)",17271185
https://www.trabajopolis.bo/,COMM,E-commerce,2019-01-15,OONI,,7675762
https://www.boliviahop.com/,COMM,E-commerce,2019-01-15,OONI,The website offers commercial tourism services,636509
http://www.farmaciasbolivia.com.bo/,COMM,E-commerce,2021-05-09,Netalitica,,73492899
https://www.farmaciachavez.com.bo/,COMM,E-commerce,2021-05-09,Netalitica,,36183322
https://www.comex.bo/index.php/,COMM,E-commerce,2021-05-09,Netalitica,Digital System to help Bolivian companies exporting goods and services,60584122
https://tumercadazo.com/,COMM,E-commerce,2021-05-09,Netalitica,"buy and sell products in Bolivia, like with Amazon",18719230
https://www.pedidosya.com.bo/,COMM,E-commerce,2021-05-09,Netalitica,Order food and beverages including alcohol,12747058
https://www.traguitoveloz.com/,COMM,E-commerce,2021-05-09,Netalitica,Order alcohol online. Usually under the local legality,-1
https://boliviaplaza.com.bo/,COMM,E-commerce,2021-05-09,Netalitica,,30296067
https://www.megalicor.bo/,COMM,E-commerce,2021-05-09,Netalitica,Order alcohol online. Usually under the local legality.,-1
https://tuquantum.com/,COMM,E-commerce,2021-05-14,Netalitica,bolivian company pioneer in the marketing of electric vehicles,4125236
https://venbo.shop/,COMM,E-commerce,2021-05-14,Netalitica,,7415156
http://www.madidijungle.com/,COMM,E-commerce,2021-05-14,Netalitica,Touristic services in the jungle of Madidi,4444816
https://www.delizia.com.bo/,COMM,E-commerce,2021-05-14,Netalitica,One of the biggest companies about dairy products,12282643
https://www.casaideas.com.bo/,COMM,E-commerce,2021-05-14,Netalitica,Home products,44758535
https://www.dismac.com.bo/,COMM,E-commerce,2021-05-15,Netalitica,Home appliances,12796519
https://bgamer.pro/tienda-gaming/,COMM,E-commerce,2021-05-15,Netalitica,Gamers shop,10964646
https://sologamerbolivia.com/,COMM,E-commerce,2021-05-15,Netalitica,Gamers' shop,120659803
http://www.incaworldbolivia.com/es/,COMM,E-commerce,2021-05-15,Netalitica,Tourism tours and packages,120811554
https://boliviamia.net/,COMM,E-commerce,2021-05-15,Netalitica,Tours and transfers,3869843
http://latebolivia.com/es/Inicio/,COMM,E-commerce,2021-05-15,Netalitica,Tours and packages,16597816
