url,category_code,category_description,date_added,source,notes,rank
https://pt-br.facebook.com/,GRP,Social Networking,2020-11-15,nunesgh,,17519
http://1001roteirinhos.com.br/,CULTR,Culture,2016-06-08,OONI,Blog about travel,5265451
http://365worldstorewrx.com/product/Cytotec.html?q=Cytotec,XED,Sex Education,2017-08-30,Artigo 19 + CryptoRave + Coding Rights,Dicas de como fazer aborto,-1
http://3hive.com/,MMED,Media sharing,2017-08-30,Artigo 19 + CryptoRave + Coding Rights,Direitos autorias: download de músicas,2349343
http://3katherines.blogspot.com/,POLR,Political Criticism,2017-08-28,Artigo 19 + CryptoRave + Coding Rights,Blogs de direita (Mapeamento Artigo 19),130483141
https://500px.com/creativecommons,MMED,Media sharing,2017-08-30,Artigo 19 + CryptoRave + Coding Rights,"Direitos autorais (banco de imagens), http://marketingdeconteudo.com/melhores-bancos-de-imagens-gratuitos/",304
https://7bitcasino.com/en/,GMB,Gambling,2016-06-08,OONI,,2355730
http://a-barricada.blogspot.com/,POLR,Political Criticism,2017-08-28,Artigo 19 + CryptoRave + Coding Rights,Blogs de direita (Mapeamento Artigo 19),133160895
http://aarinfreephoto.com/,MMED,Media sharing,2017-08-30,Artigo 19 + CryptoRave + Coding Rights,"Direitos autorais (banco de imagens), http://marketingdeconteudo.com/melhores-bancos-de-imagens-gratuitos/",5726889
http://aborduna.blogspot.com.br/,POLR,Political Criticism,2017-08-28,Artigo 19 + CryptoRave + Coding Rights,Blogueiros listados no barão de itararé (Mapeamento Artigo 19),-1
http://abortar.galeon.com/,XED,Sex Education,2017-08-30,Artigo 19 + CryptoRave + Coding Rights,Dicas de como fazer aborto,-1
https://abortonanuvem.com/pt-br/tag/citotec/,XED,Sex Education,2017-08-30,Artigo 19 + CryptoRave + Coding Rights,Dicas de como fazer aborto,17217718
http://abril.com.br/,NEWS,News Media,2016-06-08,OONI,,167525
https://abril.com.br/,NEWS,News Media,2020-11-15,nunesgh,,167525
https://acarlosmelo.wordpress.com/,POLR,Political Criticism,2017-08-28,Artigo 19 + CryptoRave + Coding Rights,Blogueiros listados no barão de itararé (Mapeamento Artigo 19),5917423
http://actualmd.net/order-misoprostol.html,XED,Sex Education,2017-08-30,Artigo 19 + CryptoRave + Coding Rights,Dicas de como fazer aborto,36767820
http://adilsonsantosfotografo.blogspot.com/,POLR,Political Criticism,2017-08-28,Artigo 19 + CryptoRave + Coding Rights,Blogueiros listados no barão de itararé (Mapeamento Artigo 19),234495116
http://agenciamural.com.br/,NEWS,News Media,2017-08-28,Artigo 19 + CryptoRave + Coding Rights,Jornalismo independente (Mapeamento Artigo 19),7701130
