url,category_code,category_description,date_added,source,notes,rank
https://newbelarus.com/,POLR,Political Criticism,2023-02-21,community member,alternative governance,1958011
https://greenbelarus.info/,ENV,Environment,2022-11-11,community member,ecological portal,1466052
https://www.pravda.com.ua/,NEWS,News Media,2022-07-14,community member,Ukraine online media blocked in Belarus,12685
https://politzek.me/,COMT,Communication Tools,2022-06-22,community member,information about political prisoners,5446560
https://golos2020.org/,POLR,Political Criticism,2021-03-19,community member,alternative voting,5971229
https://pages.github.com/,HOST,Hosting and Blogging Platforms,2021-03-12,community member,software development platform,16410
https://mediazona.by/,POLR,Political Criticism,2021-03-05,community member,,80731
https://cet.eurobelarus.info/,POLR,Political Criticism,2021-01-18,community member,policy analytics,2752678
https://zubr.cc/,POLR,Political Criticism,2020-11-30,community member,citizen court monitoring,19722227
https://lurkmore.to/,CULTR,Culture,2019-11-15,community member,,46683
https://catholic.by/,REL,Religion,2015-04-14,citizenlab,,1438846
http://otzyvy.by/,COMM,E-commerce,2015-04-14,citizenlab,site for providing consumers feedback,7753245
http://www.kryscina.com/,CULTR,Culture,2015-04-14,citizenlab,personal blog,25894149
http://www.allminsk.biz/,ECON,Economics,2015-04-14,citizenlab,,3941331
http://www.radabnr.org/,GOVT,Government,2015-04-14,citizenlab,site of the Belarusian Council,298074
http://spring96.org/,HUMR,Human Rights Issues,2015-04-14,citizenlab,,57761
http://www.un.by/,IGO,Intergovernmental Organizations,2015-04-14,citizenlab,site of UN for Belarus,301330
https://www.lastrada.by/,NEWS,News Media,2015-04-14,citizenlab,website for immigration,9791856
http://www.vstrecha.by/,PUBH,Public Health,2015-04-14,citizenlab,site about men's health,5839235
http://hram.by/,REL,Religion,2015-04-14,citizenlab,,7288203
https://baptist.by/,REL,Religion,2015-04-14,citizenlab,Baprist church site,3595191
http://www.krinica.org/,REL,Religion,2015-04-14,citizenlab,,3764560
http://www.newlife.by/,REL,Religion,2015-04-14,citizenlab,,13734758
http://freespace.by/,COMM,E-commerce,2015-04-14,citizenlab,former file-sharing platform is now online store,7979438
http://gomel.baptist.by/,REL,Religion,2015-04-14,citizenlab,Site of Baptist church in BY,37699183
http://www.islam.by/,NEWS,News Media,2015-04-14,citizenlab,news related to Islam,14919993
https://en.ehu.lt/,CULTR,Culture,2015-04-14,citizenlab,university website,1707853
http://www.xgay.ru/,LGBT,LGBT,2015-04-14,citizenlab,,2667437
https://www.velcom.by/ru/service-lines,COMM,E-commerce,2015-04-14,citizenlab,site of mobile oparator Velcom,1284370
http://dziejaslou.by/,CULTR,Culture,2015-04-14,citizenlab,,3656849
https://minsk-by.livejournal.com/,NEWS,News Media,2015-04-14,citizenlab,,7223537
https://talks.by/,NEWS,News Media,2015-04-14,citizenlab,,11534202
https://42.tut.by/,NEWS,News Media,2015-04-14,citizenlab,,150548
http://niva.bialystok.pl/,NEWS,News Media,2015-04-14,citizenlab,,2711591
https://baj.by/be,NEWS,News Media,2015-04-14,citizenlab,,96998
https://euroradio.by/,NEWS,News Media,2015-04-14,citizenlab,European raido for Belarus based in Poland,398762
http://www.br.minsk.by/,NEWS,News Media,2015-04-14,citizenlab,,3683509
http://bymedia.by/,NEWS,News Media,2015-04-14,citizenlab,,19362812
https://inosmi.ru/euramost/,NEWS,News Media,2015-04-14,citizenlab,,66923
https://gomelspring.org/,NEWS,News Media,2015-04-14,citizenlab,,7765208
http://main.itv.by/,NEWS,News Media,2015-04-14,citizenlab,,-1
https://malady-front.blogspot.com/,NEWS,News Media,2015-04-14,citizenlab,,19306855
http://external.polskieradio.pl/,NEWS,News Media,2015-04-14,citizenlab,,314410
http://luther.by/,REL,Religion,2015-04-14,citizenlab,,17041079
http://www.ciwr.org/zavadsky_en.html,POLR,Political Criticism,2015-04-14,citizenlab,site of the personal cameraman of Lukashenko,3177753
http://www.leader.ru/,ANON,Anonymization and circumvention tools,2015-04-14,citizenlab,,11137514
http://shaternikart.org/,CULTR,Culture,2015-04-14,citizenlab,,-1
https://voka.tv/,CULTR,Culture,2015-04-14,citizenlab,,1659191
http://www.pravoby.info/,HUMR,Human Rights Issues,2015-04-14,citizenlab,reposiitory of national and regional laws. Not updated since 2016,3164297
http://bielarus.org/,NEWS,News Media,2015-04-14,citizenlab,,2306504
http://forum.brest.by/,NEWS,News Media,2015-04-14,citizenlab,discussion platform. Temporarily turned off in April 2019,34114908
http://www.belaruspartizan.org/,NEWS,News Media,2015-04-14,citizenlab,,3233834
http://www.bialorus.pl/,NEWS,News Media,2015-04-14,citizenlab,,396515
http://www.data.minsk.by/,NEWS,News Media,2015-04-14,citizenlab,,294601
http://community.livejournal.com/by/,POLR,Political Criticism,2015-04-14,citizenlab,,14683
http://www.3dway.org/,POLR,Political Criticism,2015-04-14,citizenlab,,3011931
http://www.levonevsky.org/,POLR,Political Criticism,2015-04-14,citizenlab,site of Belarusian political and social activist,6994604
http://www.ourbelarus.org/,POLR,Political Criticism,2015-04-14,citizenlab,,23679055
http://lipkovich.livejournal.com/,NEWS,News Media,2015-04-14,citizenlab,personal blog,3955858
https://vk.com/humanrights_by,HUMR,Human Rights Issues,2015-10-17,igorv,FB channel of critical human rights org,39
https://ru-ru.facebook.com/charter97.org/,NEWS,News Media,2015-10-17,igorv,FB channel of critical human rights org,75169
http://liberaly.org/,POLR,Political Criticism,2019-04-04,Netalitica,Belarusian Liberal Party of Freedom and Progress - opposition,20471373
https://belayarus.by/,GOVT,Government,2019-04-04,Netalitica,Political formation loyal to President Lukashenkko,3008671
http://www.comparty.by/,GOVT,Government,2019-04-04,Netalitica,Communist party of Belarus -  loyal to President Lukashenkko,2108090
