url,category_code,category_description,date_added,source,notes,rank
http://7sur7.cd/new/,NEWS,News Media,2018-12-05,Community member,,1476821
http://acpcongo.com/acp/en/,POLR,Political Criticism,2018-12-05,Community member,,176946
https://actualite.cd/,NEWS,News Media,2018-01-29,Rudi International,,204651
http://business-et-finances.com/,NEWS,News Media,2018-12-05,Community member,,1578365
http://cas-info.ca/rd-congo,NEWS,News Media,2018-01-29,Rudi International,,2875629
https://desc-wondo.org/fr/author/wondo/,POLR,Political Criticism,2018-01-29,Rudi International,,2962535
http://electionsrdcongo.com/,POLR,Political Criticism,2018-09-03,OONI,,5213860
https://friendsofthecongo.org/,NEWS,News Media,2018-12-05,Community member,,516926
https://fsddc243.wordpress.com/,HUMR,Human Rights Issues,2018-09-03,OONI,,23192211
http://groupelavenir.org/,NEWS,News Media,2018-12-05,Community member,,479430
https://laprosperiteonline.net/,NEWS,News Media,2018-12-05,Community member,,2267531
https://ppi-ong.org/target-groups/environmental-right-defenders/,ENV,Environment,2018-09-03,OONI,,14525095
http://www.aeta-network.org/,POLR,Political Criticism,2018-09-03,OONI,,6362011
http://www.cheikfitanews.net/,NEWS,News Media,2018-12-05,Community member,,4631219
http://www.congoforum.be/fr/index.asp,POLR,Political Criticism,2018-12-05,Community member,,246534
http://www.congoindependant.com/,NEWS,News Media,2018-12-05,Community member,,1712132
http://www.congopage.com/,NEWS,News Media,2018-12-05,Community member,,2540480
http://www.direct.cd/,NEWS,News Media,2018-12-05,Community member,,4045285
https://www.kongoconnect.com/,GRP,Social Networking,2018-01-29,Rudi International,,8780479
http://www.lephareonline.net/,NEWS,News Media,2018-12-05,Community member,,1485768
http://www.lepotentielonline.com/,NEWS,News Media,2018-12-05,Community member,,2875450
http://www.lesoftonline.net/,NEWS,News Media,2018-12-05,Community member,,2637342
http://www.luchacongo.org/,POLR,Political Criticism,2018-08-15,OONI,,2055755
https://www.mediacongo.net/,NEWS,News Media,2018-12-05,Community member,,287123
http://www.politico.cd/,POLR,Political Criticism,2018-01-29,Rudi International,,185147
http://www.presidentrdc.cd/,POLR,Political Criticism,2018-12-05,Community member,,200692
https://www.radiookapi.net/,NEWS,News Media,2018-01-29,Rudi International,,60907
http://www.topcongoinfo.com/,NEWS,News Media,2018-12-05,Community member,,25724161
https://www.ceni.cd/,POLR,Political Criticism,2018-12-14,OONI,Electoral Commission site,400389
https://enoughproject.org/conflicts/congo,POLR,Political Criticism,2018-12-14,OONI,,50897
http://acpcongo.com/acp/,NEWS,News Media,2018-12-14,OONI,,176946
https://allafrica.com/congo_kinshasa/,NEWS,News Media,2018-12-14,OONI,,11669
https://phr.org/countries/democratic-republic-of-congo/,HUMR,Human Rights Issues,2018-12-14,OONI,,65770
https://monusco.unmissions.org/,IGO,Intergovernmental Organizations,2018-12-14,OONI,,87672
https://rudiinternational.org/,HUMR,Human Rights Issues,2018-12-14,OONI,,483708
http://riensanslesfemmes.org/,HUMR,Human Rights Issues,2018-12-14,OONI,,5242662
https://leganet.cd/Legislation/Droit%20Public/DH/Loi.15.013.01.08.html,HUMR,Human Rights Issues,2018-12-14,OONI,,202575
https://womenwatch.unwomen.org/country/democratic-republic-congo,HUMR,Human Rights Issues,2018-12-14,OONI,,1439887
http://thegreatestsilence.org/,HUMR,Human Rights Issues,2018-12-14,OONI,,1925372
http://www.cohenonafrica.com/,POLR,Political Criticism,2018-12-14,OONI,,4090504
https://africanarguments.org/,NEWS,News Media,2018-12-14,OONI,,23429
http://www.angoula.com/,POLR,Political Criticism,2018-12-14,OONI,,-1
https://www.sassoufit.org/,POLR,Political Criticism,2018-12-14,OONI,,10031176
http://congoresearchgroup.org/,POLR,Political Criticism,2018-12-14,OONI,This is a non-profit research group (wasn't sure how else to categorize it),1015821
https://www.gfdrr.org/en/congo-democratic-republic,PUBH,Public Health,2018-12-14,OONI,,28467
https://www.freedomfromtorture.org/a_tool_to_silence_torture_to_crush_dissent_in_the_democratic_republic_of_congo,HUMR,Human Rights Issues,2018-12-14,OONI,,129127
https://suluhu.org/,POLR,Political Criticism,2018-12-14,OONI,,4863038
https://www.msh.org/blog-posts/1397,PUBH,Public Health,2018-12-14,OONI,,1312082
https://www.africa-confidential.com/browse-by-country/id/53/CONGO-KINSHASA,NEWS,News Media,2018-12-14,OONI,,65192
http://cegemi.com/,ENV,Environment,2018-12-14,OONI,,4733482
https://wakatiyetu.wordpress.com/,POLR,Political Criticism,2018-12-14,OONI,,15951672
