url,category_code,category_description,date_added,source,notes,rank
http://c9c.net/,ANON,Anonymization and circumvention tools,2017-03-05,Markus Ritzmann,,2685490
http://corruption2.com/,POLR,Political Criticism,2017-09-17,Markus Ritzmann,,28830288
https://fr.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,35099
https://en.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,5510
https://de.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,36317
https://fr.wikisource.org/,CULTR,Culture,2019-06-07,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,48037
https://fr.m.wikisource.org/,CULTR,Culture,2019-06-07,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,277083
http://1bet.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,17063905
http://1xbet.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,151856
http://22bet.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,3572312
http://bahigo.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,10515420
http://bet-at-home.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,874369
http://bet365.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,31090
http://betclic.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,6361811
http://betworld.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,38727216
http://betworld1.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,106711369
http://betworld2.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,198374861
http://betworld3.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,126967092
http://betworld4.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,205268006
http://betworld5.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,-1
http://betworld6.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,126967093
http://betworld7.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,-1
http://betworld8.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,-1
http://betworld9.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,-1
http://betworld10.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,-1
http://betworld11.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,-1
http://betworld12.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,-1
http://betworld13.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,-1
http://betworld14.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,161855004
http://betworld15.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,-1
http://betworld16.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance,-1
