url,category_code,category_description,date_added,source,notes,rank
http://atacamanoticias.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,4153813
http://biobiochile.cl/,NEWS,News Media,2016-08-05,OONI,Mainstream media,24777
http://cnnchile.com/,NEWS,News Media,2016-08-05,OONI,Mainstream media,48746
https://coyunturapolitica.wordpress.com/,POLR,Political Criticism,2016-08-05,OONI,,5693390
http://creas.uahurtado.cl/html/index.html/,HUMR,Human Rights Issues,2016-08-05,OONI,,5079411
http://cronicanoticias.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,28146764
https://derechosdigitales.org/,HUMR,Human Rights Issues,2016-08-05,OONI,,43774
http://elciudadano.cl/,NEWS,News Media,2016-08-05,OONI,,141384
http://elrancaguino.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,429365
http://eltipografo.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,2714280
http://fmstylo.cl/web/,NEWS,News Media,2016-11-17,Derechos Digitales,,10992411
https://futatrawun.blogspot.de/,HUMR,Human Rights Issues,2016-08-05,OONI,,-1
https://globalvoices.org/2010/03/10/chile-earthquake-reveals-social-inequalities/,HUMR,Human Rights Issues,2016-08-05,OONI,,14541
http://hdr.undp.org/en/media/HDR_2009_EN_Complete.pdf,HUMR,Human Rights Issues,2016-08-05,OONI,,14387
https://humanismoyconectividad.wordpress.com/2010/03/01/terremoto/,HUMR,Human Rights Issues,2016-08-05,OONI,,1957693
https://informativokwn.blogspot.de/,HUMR,Human Rights Issues,2016-08-05,OONI,,-1
http://laprensaaustral.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,291908
http://latinamericansocialmovements.wikidot.com/mapuche-social-movements,HUMR,Human Rights Issues,2016-08-05,OONI,,184791858
http://latribuna.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,1647611
https://millalikan.blogspot.de/2008/09/el-famoso-wallmapu.html,HUMR,Human Rights Issues,2016-08-05,OONI,,-1
https://myspace.com/kolectivowenewen/,CULTR,Culture,2016-08-05,OONI,Band preserving Mapuche ethnic culture,107
http://orocoipo.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional radio station,4305005
http://ovallehoy.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,1642231
http://radio.uchile.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,University radio station,61742
https://radio1demayo.blogspot.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Community radio station,103671457
http://radioalternativa.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional radio station,-1
http://radiocarillon.cl/web/,NEWS,News Media,2016-11-17,Derechos Digitales,Union radio station,21732096
http://radionuble.cl/linea/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional radio station,7633300
http://radionueveveinte.com/radio/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional radio station,16680505
http://radiopaulina.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional radio station,4114058
http://radiopilmaiquen.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional radio station,12726782
http://redaraucania.com/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,4118083
http://resumen.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Local media,445920
http://soychile.cl/,NEWS,News Media,2016-08-05,OONI,,65543
https://theanarchistlibrary.org/library/anonymous-with-land-without-the-state-anarchy-in-wallmapu,HUMR,Human Rights Issues,2016-08-05,OONI,,24359
http://tiempo21araucania.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,15894181
http://unpo.org/article/5794,HUMR,Human Rights Issues,2016-08-05,OONI,,53285
http://unpo.org/downloads/267.pdf,HUMR,Human Rights Issues,2016-08-05,OONI,,53285
https://wccctoronto.wordpress.com/,HUMR,Human Rights Issues,2016-08-05,OONI,,11812192
http://werken.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Mapuche media,3050359
http://www.24horas.cl/,NEWS,News Media,2016-08-05,OONI,Mainstream media,36909
https://www.academia.edu/5113714/Articulating_an_Activist_Imaginary,HUMR,Human Rights Issues,2016-08-05,OONI,,2293
http://www.adnradio.cl/,NEWS,News Media,2016-08-05,OONI,,93748
http://www.araucaniacuenta.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,5050846
https://www.araucanianoticias.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,4201746
http://www.argentinavideo.org/mapu/,HUMR,Human Rights Issues,2016-08-05,OONI,,56458942
http://www.australosorno.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,3096308
http://www.australtemuco.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,1888674
http://www.cambio21.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,,451766
http://www.chanarcillo.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,517785
http://www.chilenafm.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional radio station,15027909
http://www.clave9.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,931924
http://www.concierto.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Radio station,271998
http://www.cooperativa.cl/,NEWS,News Media,2016-08-05,OONI,,32893
http://www.df.cl/,NEWS,News Media,2016-08-05,OONI,,28998
http://www.diarioatacama.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,4151084
http://www.diarioeldia.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,78586
http://www.diarioelgong.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,6974198
http://www.diarioelobservador.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,520984
http://www.diarioelranco.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,4557940
http://www.diariolabrador.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,4038086
http://www.diariolaprensa.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,,2928735
http://www.diariooficial.interior.gob.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Government media (publishing of laws),182972
http://www.diariopyme.com/,NEWS,News Media,2016-11-17,Derechos Digitales,Financial media,2693495
http://www.diarioviregion.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,3635618
http://www.duna.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Radio station,50304
http://www.elamaule.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,2620139
http://www.elandino.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,7093260
http://www.elboyaldia.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,3705555
http://www.elconcecuente.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,3679490
http://www.eldesconcierto.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,,62465
http://www.eldivisadero.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,500837
http://www.elgraficochile.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Sports media,4126248
http://www.elheraldoaustral.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,30662716
http://www.ellanquihue.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,501836
http://www.elmagallanews.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,436717
http://www.elmartutino.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,456809
http://www.elmorrocotudo.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,274501
http://www.elmostrador.cl/,NEWS,News Media,2016-08-05,OONI,,49090
http://www.elnaveghable.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,429832
http://www.elobservatodo.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,344002
http://www.elovallino.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,3020486
http://www.elparadiario14.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,3573440
http://www.elperiodico.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,2149425
http://www.elpinguino.com/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,402210
http://www.elpuelche.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Mapuche radio station,13034199
http://www.elquehaydecierto.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,4068548
http://www.elrancahuaso.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,487565
http://www.elrepuertero.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,2656966
http://www.elsiglo.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,,2863069
http://www.elsur.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,456058
http://www.eltrabajo.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,3571980
http://www.elvacanudo.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,422328
http://www.emol.com/,NEWS,News Media,2016-08-05,OONI,Mainstream media,16251
http://www.enteratehoy.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,18138589
http://www.esperanzafm.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional radio station,15317689
http://www.estrellaantofagasta.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,3191667
http://www.estrellaarica.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,423899
http://www.estrellaconcepcion.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,3593371
http://www.estrellaiquique.cl/,NEWS,News Media,2016-08-05,OONI,Regional media,1517431
http://www.estrellaloa.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,3387507
http://www.estrellavalpo.cl/,NEWS,News Media,2016-08-05,OONI,Regional media,404541
http://www.fmjoven.com/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional radio station,9568811
http://www.futurafm.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional radio station,15267702
http://www.hoyxhoy.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,,2888531
http://www.hrusa.org/indig/reports/mapuche.pdf,HUMR,Human Rights Issues,2016-08-05,OONI,,4081939
https://www.hrw.org/americas/chile,HUMR,Human Rights Issues,2016-08-05,OONI,,2304
http://www.infinita.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Radio station,504631
http://www.iwgia.org/,HUMR,Human Rights Issues,2016-08-05,OONI,,49312
http://www.lacoyuntura.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,University media,71881658
http://www.lacuarta.cl/,NEWS,News Media,2016-08-05,OONI,Mainstream media,488096
http://www.ladiscusion.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,1653712
http://www.laestrellachiloe.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,1900914
http://www.lahora.cl/,NEWS,News Media,2016-08-05,OONI,,1581346
http://www.laizquierdadiario.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,,302394
http://www.lanacion.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Mainstream media,63581
http://www.laopinon.cl/,NEWS,News Media,2016-11-17,Derechos Digitales,Regional media,3101189
http://www.lasegunda.cl/,NEWS,News Media,2016-08-05,OONI,Mainstream media,17057972
http://www.latercera.com/,NEWS,News Media,2016-08-05,OONI,Mainstream media,11691
