url,category_code,category_description,date_added,source,notes,rank
http://www.camer.be/,NEWS,News Media,2018-09-18,Community member,,173581
http://www.cameroon-info.net/,NEWS,News Media,2018-09-18,Community member,,149761
https://www.cameroononline.org/,NEWS,News Media,2018-09-18,OONI,,1982923
https://www.cameroonweb.com/,NEWS,News Media,2018-09-18,OONI,,454338
https://www.journalducameroun.com/,NEWS,News Media,2018-09-18,OONI,,73281
https://allafrica.com/cameroon/,NEWS,News Media,2018-09-18,OONI,,11669
http://cameroon-concord.com/,NEWS,News Media,2018-09-18,OONI,,346673
https://www.cameroon-tribune.cm/,NEWS,News Media,2018-09-18,OONI,,1180646
https://www.prc.cm/,GOVT,Government,2018-09-18,OONI,,158922
https://www.afrik.com/,NEWS,News Media,2018-09-18,OONI,,90832
https://www.237online.com/,NEWS,News Media,2018-09-18,OONI,,2216060
http://www.africapresse.com/,NEWS,News Media,2018-09-18,OONI,Connectivity issues,2818387
https://www.cameroun-online.com/,NEWS,News Media,2018-09-18,OONI,,4223220
http://www.lanouvelleexpression.info/,NEWS,News Media,2018-09-18,OONI,,1874064
http://news.cameroon-today.com/,NEWS,News Media,2018-09-18,OONI,,614612
https://www.businessincameroon.com/,NEWS,News Media,2018-09-18,OONI,,291407
http://bamendaonline.net/,NEWS,News Media,2018-09-18,OONI,,3055189
https://scbctv.com/,NEWS,News Media,2018-09-18,OONI,News from the Anglophone region,25903304
https://www.theguardian.com/world/cameroon,NEWS,News Media,2018-09-18,OONI,,67
https://www.aljazeera.com/topics/country/cameroon.html,NEWS,News Media,2018-09-18,OONI,,1556
https://www.bbc.co.uk/news/world-africa-13146029,NEWS,News Media,2018-09-18,OONI,,57
http://www.cameroun24.net/,NEWS,News Media,2018-09-18,OONI,,249628
https://actucameroun.com/,NEWS,News Media,2018-09-18,OONI,,38782
https://www.lemonde.fr/cameroun/,NEWS,News Media,2018-09-18,OONI,,1047
http://www.camerounlink.com/,SRCH,Search Engines,2018-09-18,OONI,,4199372
https://internetwithoutborders.org/,HUMR,Human Rights Issues,2018-09-18,OONI,,1146060
https://237actu.com/,NEWS,News Media,2018-09-18,OONI,,4557039
http://www.cameroonweekly.com/,NEWS,News Media,2018-09-18,OONI,,13316604
https://www.camfoot.com/,NEWS,News Media,2018-09-18,OONI,,1836331
http://www.humanisright.org/,HUMR,Human Rights Issues,2018-09-18,OONI,,4458031
https://www.hrw.org/africa/cameroon,HUMR,Human Rights Issues,2018-09-18,OONI,,2304
https://cameroon.mivasocial.com/,GRP,Social Networking,2018-09-18,OONI,,-1
http://www.bonaberi.com/,NEWS,News Media,2018-09-18,OONI,,1443375
http://www.crtv.cm/,NEWS,News Media,2018-09-18,OONI,,928778
http://www.newsducamer.com/,NEWS,News Media,2018-09-18,OONI,,1547252
http://www.postwatchmagazine.com/,POLR,Political Criticism,2018-09-18,OONI,,10325100
http://germinalnewspaper.com/,NEWS,News Media,2018-09-18,OONI,,12822870
http://journal.rdpcpdm.cm/,NEWS,News Media,2018-09-18,OONI,,9227612
http://journaldikalo.info/,NEWS,News Media,2018-09-18,OONI,,13058383
http://www.leffortcamerounais.com/,NEWS,News Media,2018-09-18,OONI,,9196872
https://freedomhouse.org/report/freedom-press/2017/cameroon,HUMR,Human Rights Issues,2018-09-18,OONI,,10880
https://www.bareta.news/,POLR,Political Criticism,2018-09-18,OONI,Pro-separatist site,428798
http://www.cameroonintelligencereport.com/,NEWS,News Media,2018-09-18,OONI,,3151057
http://www.elecam.cm/,POLR,Political Criticism,2018-09-18,OONI,Election site,3930664
http://cdescameroon.org/,POLR,Political Criticism,2018-09-18,OONI,Election-related,11820854
https://cameroon-report.com/,NEWS,News Media,2018-09-18,OONI,,19605614
https://ambazonia.org/,POLR,Political Criticism,2018-09-18,OONI,,411335
https://www.ambazoniafoundation.org/,POLR,Political Criticism,2018-09-18,OONI,,39898816
https://ambazoniazone.blogspot.com/,POLR,Political Criticism,2018-09-18,OONI,,-1
https://ambaland.com/,MILX,Terrorism and Militants,2018-09-18,OONI,Site of separatists,34231926
https://arccambazonia.org/,MILX,Terrorism and Militants,2018-09-18,OONI,Site of separatists,-1
http://www.simonmol.com/,HUMR,Human Rights Issues,2018-09-18,OONI,Blog of Cameroonian human rights activist,8168326
http://www.wfaccameroon.org/,HUMR,Human Rights Issues,2018-09-18,OONI,,14477307
http://www.fes-kamerun.org/cameroon/index.php/,HUMR,Human Rights Issues,2018-09-18,OONI,,17645910
http://www.cameroonvoice.com/,NEWS,News Media,2018-09-18,OONI,,153489
http://www.ymcacameroon.org/,POLR,Political Criticism,2018-09-18,OONI,,26679084
http://rdpcpdm.rdpcpdm.cm/,GOVT,Government,2018-09-18,OONI,,5161162
http://undpfrance.free.fr/,POLR,Political Criticism,2018-09-18,OONI,Political party,25530957
https://www.mrcparty.org/,POLR,Political Criticism,2018-09-18,OONI,Political party,12716509
http://www.cameroonreformationparty.net/,POLR,Political Criticism,2018-09-18,OONI,Political party,97554077
https://www.camerounweb.com/,SRCH,Search Engines,2019-02-28,OONI,Reportedly blocked,2315448
http://redhac.cederconsulting.com/,HUMR,Human Rights Issues,2019-03-23,Tafiti,Network of Human Rights Defenders in Central Africa,-1
http://ndhcam.org/,HUMR,Human Rights Issues,2019-03-23,Tafiti,Non-governmental organization in Cameroon,4089983
http://cameroonpeoplesparty.com/,POLR,Political Criticism,2019-03-23,Tafiti,Political party,21953049
http://datacameroon.com/,HUMR,Human Rights Issues,2019-03-23,Tafiti,Non-governmental organization on Data in Cameroon,4199357
https://www.purscm.com/,POLR,Political Criticism,2019-03-23,Tafiti,Political party,152700493
http://www.unmondeavenir.org/,HUMR,Human Rights Issues,2019-03-23,Tafiti,Non-governmental organization on civic participation in Cameroon,47171569
http://www.dynamiquecitoyenne.org/,HUMR,Human Rights Issues,2019-03-23,Tafiti,Non-governmental organization in Cameroon,20962582
https://www.jumia.cm/,COMM,E-commerce,2019-09-16,OONI,,6549810
https://www.premierbet.cm/,GMB,Gambling,2019-09-16,OONI,,21840676
http://www.cameroondesks.com/,CULTR,Culture,2019-09-16,OONI,,397109
https://www.frontlinedefenders.org/en/location/cameroon,HUMR,Human Rights Issues,2019-09-16,OONI,,15310
https://www.omct.org/reports-and-publications/2019/06/d25374/,HUMR,Human Rights Issues,2019-09-16,OONI,,51660
https://ndhcam.org/,HUMR,Human Rights Issues,2019-09-16,OONI,,4089983
http://www.theadvocatesforhumanrights.org/cameroon_upr_lgbti_2017,LGBT,LGBT,2019-09-16,OONI,,259653
https://ilga.org/upr-cameroon,LGBT,LGBT,2019-09-16,OONI,,18471
https://alternativescameroun.com/,PUBH,Public Health,2019-09-16,OONI,,11609570
https://panafricailga.org/category/cameroon/,LGBT,LGBT,2019-09-16,OONI,,4747441
https://www.humandignitytrust.org/country-profile/cameroon/,LGBT,LGBT,2019-09-16,OONI,,70457
https://www.ambazoniagov.org/,POLR,Political Criticism,2019-09-16,OONI,,402495
https://www.ambazoniapocs.net/,POLR,Political Criticism,2019-09-16,OONI,,7373662
