url,category_code,category_description,date_added,source,notes,rank
https://s3.amazonaws.com/0ubz-2q11-gi9y/en.html/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,,43
https://s3.amazonaws.com/0ubz-2q11-gi9y/zh.html/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,,43
https://trac.torproject.org/projects/tor/wiki/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,,14366
http://blog.sina.com.cn/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,6026
https://www.hrichina.org/chs/zhong-guo-ren-quan-shuang-zhou-kan/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,32243
https://tibetaction.net/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,2949334
https://twitter.com/chrdnet/,HUMR,Human Rights Issues,2014-04-15,citizenlab,for control purposes,5
https://twitter.com/weiquanwang/,HUMR,Human Rights Issues,2014-04-15,citizenlab,for control purposes,5
http://www.dalailamaworld.com/,REL,Religion,2014-04-15,citizenlab,,6037976
http://www.gyalwarinpoche.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,4313591
http://www.huaxiabao.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,7288879
http://www.renyurenquan.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,The website says it has been merged with https://www.hrichina.org/chs/zhong-guo-ren-quan-shuang-zhou-kan but the original website remains accessible,5818167
http://www.smhric.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,99444
https://blogs.wsj.com/chinarealtime/,NEWS,News Media,2014-04-15,citizenlab,,1539
http://cnpolitics.org/,NEWS,News Media,2014-04-15,citizenlab,,2588268
http://www.caixin.com/,NEWS,News Media,2014-04-15,citizenlab,,72995
http://www.epochtimes.com/,NEWS,News Media,2014-04-15,citizenlab,,67526
http://www.fccchina.org/,NEWS,News Media,2014-04-15,citizenlab,,1192111
http://www.infzm.com/,NEWS,News Media,2014-04-15,citizenlab,Liberal-leaning newspaper,48547
http://www.minghui.org/,NEWS,News Media,2014-04-15,citizenlab,,294650
http://www.phayul.com/,NEWS,News Media,2014-04-15,citizenlab,,49694
http://www.tiananmenmother.org/,NEWS,News Media,2014-04-15,citizenlab,,1452626
http://renren.com/,GRP,Social Networking,2014-04-15,citizenlab,,62660
http://www.kaixin001.com/,GRP,Social Networking,2014-04-15,citizenlab,,182448
http://www.qq.com/,GRP,Social Networking,2014-04-15,citizenlab,,14281
http://www.tianya.cn/,GRP,Social Networking,2014-04-15,citizenlab,,882563
https://thediplomat.com/,NEWS,News Media,2014-04-15,citizenlab,,10634
https://www.fordfoundation.org/our-work-around-the-world/china/,IGO,Intergovernmental Organizations,2014-04-15,citizenlab,,16566
https://chinadigitaltimes.net/chinese/,NEWS,News Media,2014-04-15,citizenlab,,10748
https://globalnetworkinitiative.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,promoting freedom of expression,20104
https://www.upi.com/Top_News/World-News/2012/11/04/Japan-PM-seeks-calm-talks-over-islands/94291352050130/,NEWS,News Media,2014-04-15,citizenlab,,10761
https://chinalawandpolicy.com/,POLR,Political Criticism,2014-04-15,citizenlab,,207504
https://project2049.net/,POLR,Political Criticism,2014-04-15,citizenlab,,167724
https://www.americanprogress.org/,POLR,Political Criticism,2014-04-15,citizenlab,,12035
https://www.americanprogress.org/issues/security/view/,POLR,Political Criticism,2014-04-15,citizenlab,,12035
https://www.americanprogress.org/tag/china-leadership-transition/view/,POLR,Political Criticism,2014-04-15,citizenlab,,12035
https://www.brookings.edu/center/john-l-thornton-china-center/,POLR,Political Criticism,2014-04-15,citizenlab,,1127
https://www.foreignaffairs.com/regions/asia/,POLR,Political Criticism,2014-04-15,citizenlab,,5578
https://www.falundafa.org/,REL,Religion,2014-04-15,citizenlab,,98984
https://gb.falundafa.org/,REL,Religion,2014-04-15,citizenlab,,7598363
https://twitter.com/aiww/,HUMR,Human Rights Issues,2014-04-15,citizenlab,for control purposes,5
http://blog.sina.com.cn/twocold/,POLR,Political Criticism,2014-04-15,citizenlab,,6026
http://www.cfr.org/,POLR,Political Criticism,2014-04-15,citizenlab,,11155
https://www.nationalgeographic.com/news/energy/2012/10/121026-east-china-sea-dispute/,CULTR,Culture,2014-04-15,citizenlab,,404
https://foreignpolicy.com/author/david-bosco/,NEWS,News Media,2014-04-15,citizenlab,,1690
https://www.pdf-18.com/,POLR,Political Criticism,2014-04-15,citizenlab,,5875992
https://big5.falundafa.org/,REL,Religion,2014-04-15,citizenlab,Website of Falungong,7570338
http://dongtaiwang.com/loc/phome.php?v=0/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,,555798
https://download.cnet.com/s/free-vpn/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,,5958
https://world.taobao.com/,COMM,E-commerce,2014-04-15,citizenlab,,79300
