url,category_code,category_description,date_added,source,notes,rank
https://cs.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,10989
https://sk.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,14067
https://cs.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,1457804
https://en.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,5510
http://betworld9.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,-1
http://betworld10.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,-1
http://betworld2.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,198374861
http://betworld3.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,126967092
http://betworld4.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,205268006
http://betworld1.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,106711369
http://betworld5.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,-1
http://betworld6.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,126967093
http://betworld7.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,-1
http://betworld8.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,-1
http://xbet-1.com/,GMB,Gambling,2018-08-09,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,80167496
http://1xbet8.com/,GMB,Gambling,2018-08-09,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,85009214
http://1xbetbk13.com/,GMB,Gambling,2018-08-09,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,46564964
http://1x-02.com/,GMB,Gambling,2018-08-09,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,27658241
http://1xbetbk6.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,81537834
http://1xbet7.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,87605465
http://1xbet107.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,82089207
http://1xbet108.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,82089208
http://1xbet109.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,81567787
http://1xbet110.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,88853307
http://1-x-bet.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,19900863
http://1x-bet.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,26246368
http://1xbet4.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,87605462
http://1xbet6.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,83379296
http://1xbet9.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,124808669
http://1xbet3.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,12939159
http://1xbet13.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,124808656
http://1xbet12.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,87605457
http://1xbet26.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,80979265
http://1xbet27.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,39420572
http://1xbet49.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,87605464
http://1xbet32.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,87605460
http://1xbet34.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,80979300
http://1xbet35.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,80979301
http://1xbet36.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,87605461
http://1xbet37.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,80979302
http://1xbet38.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic,80979303
