url,category_code,category_description,date_added,source,notes,rank
http://dehai.org/dehai/,NEWS,News Media,2018-07-16,OONI,,132333
http://www.shabait.com/,NEWS,News Media,2018-07-16,OONI,,75338
https://assenna.com/,NEWS,News Media,2018-07-16,OONI,,1855485
http://www.meskerem.net/,NEWS,News Media,2018-07-16,OONI,,4366842
http://awate.com/,NEWS,News Media,2018-07-16,OONI,,294625
http://www.asmarino.com/,NEWS,News Media,2018-07-16,OONI,,423983
http://www.madote.com/,NEWS,News Media,2018-07-16,OONI,,286938
http://www.eritrea-chat.com/,MMED,Media sharing,2018-07-16,OONI,,12297889
http://www.jeberti.com/,NEWS,News Media,2018-07-16,OONI,,6518810
https://www.farajat.net/,NEWS,News Media,2018-07-16,OONI,,2700340
https://allafrica.com/eritrea/,NEWS,News Media,2018-07-16,OONI,,11669
https://www.hrw.org/africa/eritrea,HUMR,Human Rights Issues,2018-07-16,OONI,,2304
https://www.amnesty.org/en/countries/africa/eritrea/,HUMR,Human Rights Issues,2018-07-16,OONI,,1860
https://rsf.org/en/eritrea,HUMR,Human Rights Issues,2018-07-16,OONI,,5226
https://www.aljazeera.com/topics/country/eritrea.html,NEWS,News Media,2018-07-16,OONI,,1556
https://www.msf.org/eritrea,PUBH,Public Health,2018-07-16,OONI,,10620
https://www.amnestyusa.org/countries/eritrea/,HUMR,Human Rights Issues,2018-07-16,OONI,,4892
https://www.ohchr.org/en/NewsEvents/Pages/DisplayNews.aspx?NewsID=21751&LangID=E,HUMR,Human Rights Issues,2018-07-16,OONI,,912
https://www.transparency.org/country/ERI,POLR,Political Criticism,2018-07-16,OONI,,5972
https://selamkidanedotcom.wordpress.com/,HUMR,Human Rights Issues,2018-07-16,OONI,Eritrean human rights activist,5553242
https://news.vice.com/article/as-eritreans-run-from-the-government-these-activists-are-working-for-change,POLR,Political Criticism,2018-07-16,OONI,,10451
http://eirr.org/,HUMR,Human Rights Issues,2018-07-16,OONI,Eritrean Initiative on Refugee Rights (NGO),2712069
http://www.edfonline.org/,ECON,Economics,2018-07-16,OONI,NGO on aid and development,11985143
https://www.nrc.no/countries/africa/nrc-in-eritrea/,HUMR,Human Rights Issues,2018-07-16,OONI,,29573
https://www.state.gov/j/tip/rls/tiprpt/countries/2017/271184.htm,HUMR,Human Rights Issues,2018-07-16,OONI,,786
https://eritrea.mivasocial.com/,GRP,Social Networking,2018-07-16,OONI,,-1
http://www.socialwatch.org/node/239,HUMR,Human Rights Issues,2018-07-16,OONI,,90567
http://eritreandiaspora.org/,CULTR,Culture,2018-07-16,OONI,,19363930
https://www.tesfanews.net/eritv/,NEWS,News Media,2018-07-16,OONI,,125805
http://www.lovehabibi.com/dating/eritrean-dating/,DATE,Online Dating,2018-07-16,OONI,,5248459
http://eritreansingles.com/,DATE,Online Dating,2018-07-16,OONI,,-1
http://kevinstravelblog.com/asmara-and-first-impressions-of-eritrea,CULTR,Culture,2018-07-16,OONI,,8920212
http://www.untoldstoriesonline.com/eritrea/,HUMR,Human Rights Issues,2018-07-16,OONI,,10106848
http://sacttism.com/,POLR,Political Criticism,2018-08-15,OONI,Context: https://www.aljazeera.com/indepth/opinion/eritrean-diaspora-mourning-180301114427157.html,18733930
http://en.rfi.fr/africa/20160621-eritrea-foreign-minister-denies-human-rights-abuses-clashes-ethiopia-disappeared-act,POLR,Political Criticism,2018-08-15,OONI,,53745
https://cpj.org/2015/04/10-most-censored-countries.php,POLR,Political Criticism,2018-08-15,OONI,,12779
https://rsf.org/en/2017-press-freedom-index-ever-darker-world-map,POLR,Political Criticism,2018-08-15,OONI,,5226
https://rsf.org/en/news/eritrea-ended-media-freedom-15-years-ago-month,POLR,Political Criticism,2018-08-15,OONI,,5226
https://freedawit.com/english/,HUMR,Human Rights Issues,2018-08-15,OONI,Detained journalist,3703046
http://onedayseyoum.com/,HUMR,Human Rights Issues,2018-08-15,OONI,Detained journalist,3801084
https://pen.org/pen_tags/emanuel-asrat/,HUMR,Human Rights Issues,2018-08-15,OONI,Detained journalist,15456
https://eritreahub.org/tag/setit,NEWS,News Media,2018-05-15,OONI,Setit was banned independent press,189870
http://www.peneritrea.com/blog/welcome-to-pen-eritrea,HUMR,Human Rights Issues,2018-08-15,OONI,Run by exile Eritrean journalists,5938936
https://www.theguardian.com/world/eritrea,NEWS,News Media,2018-08-15,OONI,,67
https://www.bbc.co.uk/news/world-africa-13349078,NEWS,News Media,2018-08-15,OONI,,57
http://awate.com/the-chronology-of-eritreas-reform-movement-2000-2001/,POLR,Political Criticism,2018-08-15,OONI,,294625
http://www.ehrea.org/journalist.htm,POLR,Political Criticism,2018-08-15,OONI,,493448
http://www.pressreference.com/Co-Fa/Eritrea.html,NEWS,News Media,2018-08-15,OONI,,142478
https://www.dendenmedia.com/,NEWS,News Media,2018-08-15,OONI,,2616340
http://www.shabait.com/haddas-ertra,GOVT,Government,2018-08-15,OONI,,75338
http://www.erigazette.org/,NEWS,News Media,2018-08-15,OONI,,6091594
http://www.eri.tv/,NEWS,News Media,2018-08-15,OONI,,2701391
http://www.democrasia.org/,POLR,Political Criticism,2018-08-15,OONI,,17046929
https://hrc-eritrea.org/,HUMR,Human Rights Issues,2018-08-15,OONI,,545262
https://www.hrw.org/news/2018/04/27/human-rights-situation-eritrea,HUMR,Human Rights Issues,2018-08-15,OONI,,2304
https://www.defenddefenders.org/country/eritrea/,HUMR,Human Rights Issues,2018-08-15,OONI,,432913
http://www.claiminghumanrights.org/eritrea.html,HUMR,Human Rights Issues,2018-08-15,OONI,,937099
https://freedomhouse.org/report/freedom-world/2018/eritrea,HUMR,Human Rights Issues,2018-08-15,OONI,,10880
https://www.unog.ch/80256EDD006B9C2E/(httpNewsByYear_en)/1B9A1AD5EAAFBFA3C125824E00644CD4?OpenDocument,HUMR,Human Rights Issues,2018-08-15,OONI,,37269
https://www.amnesty.org/en/countries/africa/eritrea/report-eritrea/,HUMR,Human Rights Issues,2018-08-15,OONI,,1860
https://eysc-er.blogspot.com/,POLR,Political Criticism,2018-08-15,OONI,Eritrean Youth Solidarity of Change,-1
http://smerrr.net/tv-smerrr/,MMED,Media sharing,2018-08-15,OONI,Popular among Eritrean diaspora,26404551
https://www.ohchr.org/EN/HRBodies/HRC/CoIEritrea/Pages/commissioninquiryonhrinEritrea.aspx,HUMR,Human Rights Issues,2018-08-15,OONI,,912
http://www.eritreaeritrea.com/,CULTR,Culture,2018-08-15,OONI,,419889
http://eritrean-diaspora-academy.org/,CULTR,Culture,2018-08-15,OONI,,18328491
http://www.hannahpool.com/,POLR,Political Criticism,2018-08-15,OONI,Eritrean journalist,5261127
http://harnnet.org/,POLR,Political Criticism,2018-08-15,OONI,Eritrean People's Democratic Party site,6100579
https://www.hoa-politicalscene.com/eritrean-forums-online.html,POLR,Political Criticism,2018-08-15,OONI,,16120949
https://www.economist.com/the-economist-explains/2018/08/14/why-eritrea-is-called-africas-north-korea,POLR,Political Criticism,2018-08-15,OONI,,421
http://www.africanews.com/country/eritrea/,NEWS,News Media,2018-08-15,OONI,,24054
https://www.asmaragrande.com/,CULTR,Culture,2018-08-15,OONI,,23873751
https://wikileaks.org/plusd/cables/07ASMARA158_a.html,POLR,Political Criticism,2018-08-15,OONI,,5761
https://tanjarmueller.wordpress.com/,POLR,Political Criticism,2018-08-15,OONI,,9505248
https://www.icrc.org/en/where-we-work/africa/eritrea,ECON,Economics,2018-08-15,OONI,,1086
http://www.unaids.org/en/regionscountries/countries/eritrea,PUBH,Public Health,2018-08-15,OONI,,12320
http://erena.org/,NEWS,News Media,2018-08-15,OONI,,1421682
http://radiohadnet.com/,NEWS,News Media,2018-08-15,OONI,,57439091
http://www.mesel-biherat.com/DMLEK/,POLR,Political Criticism,2018-08-15,OONI,,23127896
http://www.gabeel.net/,POLR,Political Criticism,2018-08-15,OONI,,37965651
http://raimoq.com/,CULTR,Culture,2018-08-15,OONI,,630659
http://eritreanrefugees.org/,HUMR,Human Rights Issues,2018-08-15,OONI,,3378736
http://www.dehnet.org/,POLR,Political Criticism,2018-08-15,OONI,,31006317
