url,category_code,category_description,date_added,source,notes,rank
http://gateway.ipfs.io/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia,248611
http://www.referendum.party/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia,31821480
http://www.referendum.soy/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia,33097758
http://alerta.cat/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia,4155437
http://referendum.pau.fm/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia,33097800
http://nigeon.github.io/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia,47594132
http://www.ref1oct.eu/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia,2656219
http://www.ref1oct.cat/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia,2813316
http://referendum.zalo.nyc/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia,47594178
http://aniol.github.io/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia,47594172
http://referendum.cat/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia,2627513
http://ref1oct.cat/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia,2813316
http://www.marianorajoy.cat/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia,8787619
http://garantiespelreferendum.com/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia,316467443
https://eu.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,56109
https://gl.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,47362
https://tsunamidemocratic.cat/,POLR,Political Criticism,2019-10-21,user contribution,Protests in Catalonia against jail sentence for governing politicians during referendum,2293004
https://app.tsunamidemocratic.cat/,POLR,Political Criticism,2019-10-21,user contribution,Protests in Catalonia against jail sentence for governing politicians during referendum,2827025
https://tsunamidemocratic.net/,POLR,Political Criticism,2019-10-21,user contribution,Protests in Catalonia against jail sentence for governing politicians during referendum,-1
https://tsunamidemocratic.com/,POLR,Political Criticism,2019-10-21,user contribution,Protests in Catalonia against jail sentence for governing politicians during referendum,-1
https://tsunamidemocratic.github.io/,POLR,Political Criticism,2019-10-21,user contribution,Protests in Catalonia against jail sentence for governing politicians during referendum,622720
https://democratictsunami.eu/,POLR,Political Criticism,2019-10-21,user contribution,Protests in Catalonia against jail sentence for governing politicians during referendum,10206536
https://lesbicanarias.es/,LGBT,LGBT,2019-11-18,OutRight International,,483871
http://www.elitegoles.com/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.,15951288
http://elitegoltv.me/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.,15950799
http://veopartidos.online/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.,15951566
http://www.elitegol.tv/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.,15811796
http://www.elitegoltv.org/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.,13859649
http://www.elitegol.global/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.,15951375
http://redstreamsport.online/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.,15712116
https://www.pirlotvhd.online/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.,10281423
http://www.pirlotvhd.net/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.,13867026
http://www.pirlotv.es/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.,14539384
http://www.pirlotvonline.net/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.,15878467
