url,category_code,category_description,date_added,source,notes,rank
http://blogs.lexpress.fr/nomades-express/2009/08/gabon-lettre-a-madame-le-minis.php,POLR,Political Criticism,2016-09-30,OONI,,92098
https://fngabon.blogspot.com/2014/07/le-verbe-de-ngomo-sauvagement-poignarde.html,POLR,Political Criticism,2016-09-30,OONI,,-1
https://fr-fr.facebook.com/LeVdeNGOMO,POLR,Political Criticism,2016-09-30,OONI,,11357
https://freedomhouse.org/report/freedom-press/2015/gabon,HUMR,Human Rights Issues,2016-09-30,OONI,,10880
https://freedomhouse.org/report/freedom-world/2014/gabon,HUMR,Human Rights Issues,2016-09-30,OONI,,10880
http://gabonews.com/,NEWS,News Media,2016-09-30,OONI,,2826910
http://gabonreview.com/,NEWS,News Media,2016-09-30,OONI,,197965
http://ipi9.com/main/index.php,COMM,E-commerce,2016-09-30,OONI,,61361591
http://journallaloupe.canalblog.com/,POLR,Political Criticism,2016-09-30,OONI,,58724796
http://mediashift.org/2016/09/netizen-report-gabons-internet-shutdown-activists-confront-challenges-circumventing-censorship/,HUMR,Human Rights Issues,2016-09-30,OONI,,44497
http://mgafrica.com/article/2016-09-19-gabon-polls-and-violent-aftermath-reveal-a-flawed-electoral-system,POLR,Political Criticism,2016-09-30,OONI,,109607
http://mingle2.com/online-dating/west-coast/african/gay-personals,LGBT,LGBT,2016-09-30,OONI,,79852
http://qz.com/781752/gabon-has-been-imposing-a-12-hour-a-day-internet-curfew-as-its-political-crisis-grows/,HUMR,Human Rights Issues,2016-09-30,OONI,,248
https://rsf.org/en/news/rsf-responds-gabonese-government-spokesmans-criticism,POLR,Political Criticism,2016-09-30,OONI,,5226
http://timesgabon.com/,NEWS,News Media,2016-09-30,OONI,,6484881
https://wrmbulletin.wordpress.com/2008/08/25/the-problems-faced-by-gabons-forests-and-the-communities-that-depend-on-them-a-menu-of-logging-dams-oil-mining-parks-railways-roads-ports/,ENV,Environment,2016-09-30,OONI,,7599372
http://www.africa24tv.com/,NEWS,News Media,2016-09-30,OONI,,451265
http://www.africanews.com/2016/09/29/gabon-bongo-invites-icc-to-probe-post-election-violence/,POLR,Political Criticism,2016-09-30,OONI,,24054
http://www.alturi.org/gabon,LGBT,LGBT,2016-09-30,OONI,,258532
https://www.amnestyusa.org/our-work/countries/africa/gabon,HUMR,Human Rights Issues,2016-09-30,OONI,,4892
http://www.bbc.com/news/world-africa-37252778,POLR,Political Criticism,2016-09-30,OONI,,96
http://www.claiminghumanrights.org/gabon.html,HUMR,Human Rights Issues,2016-09-30,OONI,,937099
http://www.cnn.com/2016/09/01/africa/gabon-election-protests/,POLR,Political Criticism,2016-09-30,OONI,,189
http://www.cnn.com/2016/09/10/africa/gabon-election-ping-court-challenge/,POLR,Political Criticism,2016-09-30,OONI,,189
http://www.evaw-global-database.unwomen.org/en/countries/africa/gabon?typeofmeasure=655243ee4b254664a0b626bfb94ea948,HUMR,Human Rights Issues,2016-09-30,OONI,,103352
http://www.everyculture.com/Cr-Ga/Gabon.html,CULTR,Culture,2016-09-30,OONI,,64898
http://www.fondationsylviabongoondimba.org/en/,HUMR,Human Rights Issues,2016-09-30,OONI,,25248847
http://www.france24.com/en/world,NEWS,News Media,2016-09-30,OONI,,2192
http://www.gabonlibre.com/,NEWS,News Media,2016-09-30,OONI,,4461641
http://www.genderindex.org/country/gabon,HUMR,Human Rights Issues,2016-09-30,OONI,,163843
http://www.globalgayz.com/gay-gabon/,LGBT,LGBT,2016-09-30,OONI,,130634
http://www.hemeetshim.com/,LGBT,LGBT,2016-09-30,OONI,,43635721
https://www.hrw.org/africa/gabon,HUMR,Human Rights Issues,2016-09-30,OONI,,2304
http://www.huffingtonpost.co.uk/johanna-higgs/gabon-women_b_12212530.html,HUMR,Human Rights Issues,2016-09-30,OONI,,2568
http://www.independent.co.uk/news/world/africa/gabon-election-clashes-fire-parliament-capital-libreville-president-ali-bongo-result-a7219351.html,POLR,Political Criticism,2016-09-30,OONI,,340
http://www.internetsansfrontieres.org/,HUMR,Human Rights Issues,2016-09-30,OONI,,5812218
http://www.ipsnews.net/2003/04/environment-gabon-access-to-clean-water-still-a-big-problem/,ENV,Environment,2016-09-30,OONI,,5017
http://www.lexpress.fr/,NEWS,News Media,2016-09-30,OONI,,10629
http://www.nation.co.ke/news/africa/UN-deeply-concerned-by-post-election-chaos-in-Gabon/1066-3367800-format-xhtml-137se3b/index.html,POLR,Political Criticism,2016-09-30,OONI,,18735
https://www.osac.gov/pages/ContentReportDetails.aspx?cid=17023,HUMR,Human Rights Issues,2016-09-30,OONI,,34500
http://www.rfi.fr/afrique/20160901-crise-post-electorale-gabon-reseaux-sociaux-internet,HUMR,Human Rights Issues,2016-09-30,OONI,,5782
https://www.state.gov/documents/organization/204333.pdf,HUMR,Human Rights Issues,2016-09-30,OONI,,786
https://www.state.gov/documents/organization/236572.pdf,HUMR,Human Rights Issues,2016-09-30,OONI,,786
https://www.state.gov/documents/organization/252895.pdf,HUMR,Human Rights Issues,2016-09-30,OONI,,786
https://www.theguardian.com/world/2016/aug/31/gabon-election-results-disputed-incumbent-ali-bongo-victor-jean-ping,POLR,Political Criticism,2016-09-30,OONI,,67
http://www.topchretien.com/,CULTR,Culture,2016-09-30,OONI,,78255
http://www.union.sonapresse.com/,NEWS,News Media,2016-09-30,OONI,,103960
http://www.voanews.com/a/ban-ki-moon-deeply-concerned-with-violence-in-gabon/3493895.html,POLR,Political Criticism,2016-09-30,OONI,,2532
https://www.yahoo.com/news/african-union-says-mediate-gabon-election-crisis-102256679.html,POLR,Political Criticism,2016-09-30,OONI,,167
https://www.yahoo.com/news/media-crackdown-gabon-hit-post-election-violence-172845996.html,POLR,Political Criticism,2016-09-30,OONI,,167
http://www1.uneca.org/awro/CountrySpecificInformationGabon.aspx,HUMR,Human Rights Issues,2016-09-30,OONI,,3193613
