url,category_code,category_description,date_added,source,notes,rank
http://abhazia-sochi.blogspot.com/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,-1
http://cluborlov.com/apsny/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,8067955
http://cominf.org/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,75745
http://community-dpr.org/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,517020
http://cyxymu.livejournal.com/280294.html,MILX,Terrorism and Militants,2014-04-15,citizenlab,,4263833
http://data.electionportal.ge/,POLR,Political Criticism,2014-04-15,citizenlab,,7073428
http://eng.kavkaz-uzel.ru/,GOVT,Government,2014-04-15,citizenlab,,98065
http://forum.ge/,POLR,Political Criticism,2014-04-15,citizenlab,,1891612
http://gazeta.ru/,NEWS,News Media,2014-04-15,citizenlab,,15165
http://ick.ge/,NEWS,News Media,2014-04-15,citizenlab,,618682
http://identoba.ge/,LGBT,LGBT,2014-04-15,citizenlab,,4291973
http://info9.ge/,NEWS,News Media,2014-04-15,citizenlab,,545849
http://lenta.ru/,NEWS,News Media,2014-04-15,citizenlab,,14250
http://lgbt.ge/,LGBT,LGBT,2014-04-15,citizenlab,,9299051
http://loveplanet.ru/,DATE,Online Dating,2014-04-15,citizenlab,,67062
http://maestro.ge/,NEWS,News Media,2014-04-15,citizenlab,,2698798
http://mamuli.net/portal/ge/forum/forum_topics.asp?FID=70,POLR,Political Criticism,2014-04-15,citizenlab,,3765866
http://netgazeti.ge/,NEWS,News Media,2014-04-15,citizenlab,,89949
https://ok.ru/,GRP,Social Networking,2014-04-15,citizenlab,,613
http://osgenocide.ru/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,6851757
http://osinform.ru/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,219165
http://palitratv.ge/,NEWS,News Media,2014-04-15,citizenlab,,6161080
http://pirweli.com.ge/,NEWS,News Media,2014-04-15,citizenlab,,456084
http://presa.ge/,NEWS,News Media,2014-04-15,citizenlab,,4178078
http://rustavi2.ge/,NEWS,News Media,2014-04-15,citizenlab,,246565
http://solomonternaleli.wordpress.com/,NEWS,News Media,2014-04-15,citizenlab,,23728182
http://southosetia.euro.ru/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,407129
http://tribuna.ge/,NEWS,News Media,2014-04-15,citizenlab,,19230612
https://twitter.com/b_ivanishvili,POLR,Political Criticism,2014-04-15,citizenlab,,5
http://www.abkhazeti.ru/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,10415930
http://www.abkhazia.org/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,5771031
http://www.abkhaziagov.org/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,154523
http://www.abkhaziya.org/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,320122
https://www.apsny.ge/,NEWS,News Media,2014-04-15,citizenlab,,218984
https://www.apsnypress.info/,NEWS,News Media,2014-04-15,citizenlab,,150374
http://www.avoe.ge/,FILE,File-sharing,2014-04-15,citizenlab,,6650626
http://www.azrebi.ge/,NEWS,News Media,2014-04-15,citizenlab,,16564957
http://www.binmahfouz.info/en_index.html,CULTR,Culture,2014-04-15,citizenlab,,645993
http://www.civil.ge/,NEWS,News Media,2014-04-15,citizenlab,,62849
http://www.crack.ms/,HACK,Hacking Tools,2014-04-15,citizenlab,,8533823
http://www.cracks.vg/,HACK,Hacking Tools,2014-04-15,citizenlab,,14915439
http://www.dailymotion.com/tag/jihad,CULTR,Culture,2014-04-15,citizenlab,,186
http://www.damochka.ru/,DATE,Online Dating,2014-04-15,citizenlab,,6417604
http://www.download.ge/,FILE,File-sharing,2014-04-15,citizenlab,,30114597
http://www.ertoba.net/echo1/sppro/bpg/default.asp,POLR,Political Criticism,2014-04-15,citizenlab,,60773628
http://www.expert.ru/printissues/expert/2003/45/45ex-editrl/,NEWS,News Media,2014-04-15,citizenlab,,71096
http://www.expert.ru/tags/countries/georgia/,NEWS,News Media,2014-04-15,citizenlab,,71096
http://www.facebook.com/merabishvili.vano,POLR,Political Criticism,2014-04-15,citizenlab,,1
http://www.facebook.com/officialbidzinaivanishvili,POLR,Political Criticism,2014-04-15,citizenlab,,1
http://www.facebook.com/officialgeorgiandream,POLR,Political Criticism,2014-04-15,citizenlab,,1
http://www.facebook.com/saakashvilimikheil,NEWS,News Media,2014-04-15,citizenlab,,1
http://www.fast.ge/,MMED,Media sharing,2014-04-15,citizenlab,,43570632
http://www.for.ge/,NEWS,News Media,2014-04-15,citizenlab,,1838453
http://www.gamebookers.com/,GMB,Gambling,2014-04-15,citizenlab,,10990201
http://www.georgiandream.ge/,POLR,Political Criticism,2014-04-15,citizenlab,,2037790
http://www.gyla.ge/,POLR,Political Criticism,2014-04-15,citizenlab,,882536
http://www.hackzone.ru/,HACK,Hacking Tools,2014-04-15,citizenlab,,4459093
http://www.intercasino.com/,GMB,Gambling,2014-04-15,citizenlab,,2041204
http://www.kafkas.org.tr/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,443693
http://www.labour.ge/,POLR,Political Criticism,2014-04-15,citizenlab,,10917342
http://www.liberali.ge/,NEWS,News Media,2014-04-15,citizenlab,,125900
http://www.link.ge/,MMED,Media sharing,2014-04-15,citizenlab,,14246273
http://www.livestream.com/tv9ge,NEWS,News Media,2014-04-15,citizenlab,,1166
http://www.mfaabkhazia.org/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,3020195
http://www.mid.ru/,GOVT,Government,2014-04-15,citizenlab,,17831
http://www.myphone.ge/,COMT,Communication Tools,2014-04-15,citizenlab,,726414
http://www.ncp.ge/,POLR,Political Criticism,2014-04-15,citizenlab,,10411466
http://www.ndp.ge/,POLR,Political Criticism,2014-04-15,citizenlab,,28931265
http://www.netgazeti.ge/,NEWS,News Media,2014-04-15,citizenlab,,89949
http://www.newsgeorgia.ge/,NEWS,News Media,2014-04-15,citizenlab,,1133416
http://www.osradio.ru/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,455087
