url,category_code,category_description,date_added,source,notes,rank
http://233today.com/,GRP,Social Networking,2016-11-24,OONI,,-1
http://3news.com/,NEWS,News Media,2016-11-30,OONI partner,"This category includes major news outlets (BBC, CNN, etc.) as well as regional news outlets and independent media",465573
http://Easytrackghana.com/,CULTR,Culture,2016-11-30,OONI partner,"Content relating to entertainment, history, literature, music, film, books, satire and humour",2595750
http://Ghana-net.com/,CULTR,Culture,2016-11-30,OONI partner,"Content relating to entertainment, history, literature, music, film, books, satire and humour",504305
http://accraacaalumni.com/,CULTR,Culture,2016-11-30,OONI partner,"Content relating to entertainment, history, literature, music, film, books, satire and humour",157026590
http://africanroyalbeachhotel.com/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,7385151
http://agighana.org/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,7398524
http://asempayetsia.yolasite.com/,CULTR,Culture,2016-11-24,OONI,,-1
http://avianceghana.com/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,23363401
http://basketsgivinglife.com/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,-1
http://beaverdentist.com/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,96315353
http://blastours.com/,CULTR,Culture,2016-11-30,OONI partner,"Content relating to entertainment, history, literature, music, film, books, satire and humour",8271353
http://buildafghana.com/,CULTR,Culture,2016-11-30,OONI partner,"Content relating to entertainment, history, literature, music, film, books, satire and humour",81717942
http://buzzghana.com/,NEWS,News Media,2016-11-24,OONI,,1264082
http://campusdealsgh.com/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,315289749
http://citifmonline.com/,NEWS,News Media,2016-11-29,OONI partner,"This category includes major news outlets (BBC, CNN, etc.) as well as regional news outlets and independent media",141091
http://cocobod.gh/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,460442
http://culturalcollaborative.org/,CULTR,Culture,2016-11-30,OONI partner,"Content relating to entertainment, history, literature, music, film, books, satire and humour",9777626
http://dailyguideafrica.com/,NEWS,News Media,2016-11-23,OONI partner,"This category includes major news outlets (BBC, CNN, etc.) as well as regional news outlets and independent media",2980076
http://data.gov.gh/,ENV,Environment,2016-11-30,OONI partner,"Pollution, international environmental treaties, deforestation, environmental justice, disasters, etc.",2638891
http://datacenta.com/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,7518243
http://datememateme.com/dating/ghana/accra-ghana/accra-33,DATE,Online Dating,2016-11-24,OONI,,8174766
http://desiredland.wixsite.com/glorygcfi,REL,Religion,2016-11-24,OONI,,-1
http://druginfo.adf.org.au/,ALDR,Alcohol & Drugs,2016-11-24,OONI,,255986
http://drumghana.tripod.com/multiculturalstudies/,CULTR,Culture,2016-11-24,OONI,,87444700
http://eleganthomesgh.com/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,52575363
http://elminabayresort.com/,CULTR,Culture,2016-11-30,OONI partner,"Content relating to entertainment, history, literature, music, film, books, satire and humour",14365569
http://eshopafrica.com/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,4967667
http://estatesdesign.com/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,81789044
http://etvghana.com/,NEWS,News Media,2016-11-30,OONI partner,"This category includes major news outlets (BBC, CNN, etc.) as well as regional news outlets and independent media",432180
http://fairwages.gov.gh/,GOVT,Government,2016-11-30,OONI partner,"Government-run websites, including military sites.",6719541
http://gapyearghana.com/,CULTR,Culture,2016-11-30,OONI partner,"Content relating to entertainment, history, literature, music, film, books, satire and humour",8731672
http://ghamfin.org/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,5247324
http://ghana-nrw.info/,ENV,Environment,2016-11-30,OONI partner,"Pollution, international environmental treaties, deforestation, environmental justice, disasters, etc.",13108199
http://ghanabase.com/,CULTR,Culture,2016-11-30,OONI partner,"Content relating to entertainment, history, literature, music, film, books, satire and humour",670511
http://ghanabusinessconcepts.20m.com/,CULTR,Culture,2016-11-30,OONI partner,"Content relating to entertainment, history, literature, music, film, books, satire and humour",-1
http://ghanabytaxi.com/,CULTR,Culture,2016-11-30,OONI partner,"Content relating to entertainment, history, literature, music, film, books, satire and humour",30328421
http://ghanachamber.org/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,8687439
http://ghanachamberofmines.org/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,4403296
http://ghanaculture.gov.gh/,CULTR,Culture,2016-11-30,OONI partner,"Content relating to entertainment, history, literature, music, film, books, satire and humour",402120
http://ghanadrumschool.com/,CULTR,Culture,2016-11-30,OONI partner,"Content relating to entertainment, history, literature, music, film, books, satire and humour",17447381
http://ghanaelection2016.ghanaweb-news.com/,NEWS,News Media,2016-11-24,OONI,,5479215
http://ghanaemployers.com/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,6741620
http://ghanahealthservice.org/,GOVT,Government,2016-11-30,OONI partner,"Government-run websites, including military sites.",159852
http://ghanahomeloans.com/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,10351753
http://ghanahomesforsale.com/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,51255486
http://ghanaiandemocrat.com/,NEWS,News Media,2016-11-23,OONI partner,"This category includes major news outlets (BBC, CNN, etc.) as well as regional news outlets and independent media",316519708
http://ghanaianlens.com/,NEWS,News Media,2016-11-30,OONI partner,"This category includes major news outlets (BBC, CNN, etc.) as well as regional news outlets and independent media",134967071
http://ghanaladies.com/,COMM,E-commerce,2016-11-24,OONI,,12815275
http://ghanalodging.com/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,112190402
http://ghanamoviechannel.tv/,CULTR,Culture,2016-11-30,OONI partner,"Content relating to entertainment, history, literature, music, film, books, satire and humour",64105348
http://ghanaparadise.com/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,-1
http://ghanapoliticsonline.com/,POLR,Political Criticism,2016-11-24,OONI,,2540226
http://ghanaproperty.org/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,6842958
http://ghanasafaritours.com/,CULTR,Culture,2016-11-30,OONI partner,"Content relating to entertainment, history, literature, music, film, books, satire and humour",18164947
http://ghanasoccernet.com/,NEWS,News Media,2016-11-30,OONI partner,"This category includes major news outlets (BBC, CNN, etc.) as well as regional news outlets and independent media",98943
http://ghanasportsonline.com/,NEWS,News Media,2016-11-30,OONI partner,"This category includes major news outlets (BBC, CNN, etc.) as well as regional news outlets and independent media",396361
http://ghanawaves.com/,NEWS,News Media,2016-11-30,OONI partner,"This category includes major news outlets (BBC, CNN, etc.) as well as regional news outlets and independent media",7429656
http://ghslimited.net/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,81430983
http://gnpa-ghana.com/,CULTR,Culture,2016-11-30,OONI partner,"Content relating to entertainment, history, literature, music, film, books, satire and humour",50269068
http://graphic.com.gh/,NEWS,News Media,2016-11-30,OONI partner,"This category includes major news outlets (BBC, CNN, etc.) as well as regional news outlets and independent media",43096
http://greenlandhotels.tripod.com/,CULTR,Culture,2016-11-30,OONI partner,"Content relating to entertainment, history, literature, music, film, books, satire and humour",127721672
http://hackersghanaunion.blogspot.com/,HACK,Hacking Tools,2016-11-24,OONI,,-1
http://happyghana.com/,NEWS,News Media,2016-11-29,OONI partner,"This category includes major news outlets (BBC, CNN, etc.) as well as regional news outlets and independent media",1453181
http://hopefulwayghana.blogspot.com/,ALDR,Alcohol & Drugs,2016-11-24,OONI,,-1
http://hotelghana.org/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,84636151
http://ias-limited.com/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,-1
http://idilmat.com/,COMM,E-commerce,2016-11-30,OONI partner,Websites of commercial services and products,24317496
http://idoghana.com/,HOST,Hosting and Blogging Platforms,2016-11-24,OONI,,32404340
http://imanighana.com/,CULTR,Culture,2016-11-30,OONI partner,"Content relating to entertainment, history, literature, music, film, books, satire and humour",9586928
