url,category_code,category_description,date_added,source,notes,rank
http://americanstreetnews.com/,POLR,Political Criticism,2016-11-07,OONI partner,,9427869
http://fatunetwork.net/,POLR,Political Criticism,2016-11-07,OONI partner,,2411424
https://frontpageinternational.wordpress.com/,POLR,Political Criticism,2016-11-07,OONI partner,,7636670
http://gainako.com/,POLR,Political Criticism,2016-11-07,OONI partner,,401577
https://gambia.smbcgo.com/,POLR,Political Criticism,2016-11-07,OONI partner,,472843
http://gambiapressunion.org/,HUMR,Human Rights Issues,2016-11-07,OONI partner,,9501277
http://iec.gm/,POLR,Political Criticism,2016-11-07,OONI partner,,1301813
https://jollofnews.com/,POLR,Political Criticism,2016-11-07,OONI partner,,162823
https://selluka.wordpress.com/,POLR,Political Criticism,2016-11-07,OONI partner,,12871689
https://sidisanneh.blogspot.com/,POLR,Political Criticism,2016-11-07,OONI partner,,3626698
http://standard.gm/,NEWS,News Media,2016-11-07,OONI partner,,240918
http://statehouse.gm/,POLR,Political Criticism,2016-11-07,OONI partner,,78704
http://thegambiaecho.com/,POLR,Political Criticism,2016-11-07,OONI partner,,4267292
http://thevoicegambia.com/,NEWS,News Media,2016-11-07,OONI partner,,6178508
https://torchongambia.wordpress.com/,POLR,Political Criticism,2016-11-07,OONI partner,,2622462
http://www.afroromance.com/,DATE,Online Dating,2016-11-07,OONI partner,,5566828
http://www.askanisenegambia.com/,POLR,Political Criticism,2016-11-07,OONI partner,,10961458
http://www.foroyaa.gm/,NEWS,News Media,2016-11-07,OONI partner,,2311140
https://www.freedomhouse.org/,HUMR,Human Rights Issues,2016-11-07,OONI partner,,10880
http://www.freedomnewspaper.com/,POLR,Political Criticism,2016-11-07,OONI partner,,164665
https://www.gambiandating.com/,DATE,Online Dating,2016-11-07,OONI partner,,-1
https://www.gambianewsonline.blogspot.com/,POLR,Political Criticism,2016-11-07,OONI partner,,4937344
http://www.ibtimes.co.uk/,NEWS,News Media,2016-11-07,OONI partner,,4848
http://www.kibaaro.com/,POLR,Political Criticism,2016-11-07,OONI partner,,4529754
http://www.lotteryinsider.com/,GMB,Gambling,2016-11-07,OONI partner,,691473
http://www.maafanta.com/,POLR,Political Criticism,2016-11-07,OONI partner,,12503096
https://www.mansabanko.blogspot.com/,POLR,Political Criticism,2016-11-07,OONI partner,,14306620
http://www.mfwa.org/,HUMR,Human Rights Issues,2016-11-07,OONI partner,,401471
http://www.pdois.com/,POLR,Political Criticism,2016-11-07,OONI partner,,54885772
https://www.thenorthbankeveningstandard.blogspot.com/,POLR,Political Criticism,2016-11-07,OONI partner,,5816675
http://www.thepoint.gm/,NEWS,News Media,2016-11-07,OONI partner,,132578
http://www.whatson-gambia.com/,POLR,Political Criticism,2016-11-07,OONI partner,,708600
https://www.yjaggambia.blogspot.com/,POLR,Political Criticism,2016-11-07,OONI partner,,13911538
