url,category_code,category_description,date_added,source,notes,rank
http://119.82.71.95/guyanatimes/,NEWS,News Media,2014-04-15,citizenlab,,-1
http://afcnew.afcguyana.com/,POLR,Political Criticism,2014-04-15,citizenlab,,14119689
http://blog.socialingua.com/,NEWS,News Media,2014-04-15,citizenlab,,-1
http://c-gid.net/index.php?option=com_content&view=frontpage&Itemid=1,POLR,Political Criticism,2014-04-15,citizenlab,,14311543
http://capitolnewsgy.com/,NEWS,News Media,2014-04-15,citizenlab,,4427109
http://cariblogger.com/,NEWS,News Media,2014-04-15,citizenlab,,7479424
http://gp.gy/,NEWS,News Media,2014-04-15,citizenlab,,-1
http://gtcybercafe.tripod.com/,NEWS,News Media,2014-04-15,citizenlab,,-1
http://guyanafaces.com/,GRP,Social Networking,2014-04-15,citizenlab,,-1
http://guyanagroove.blogspot.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,14283439
http://propagandapress.wordpress.com/,POLR,Political Criticism,2014-04-15,citizenlab,,4162318
http://saxakali.com/wpa/,POLR,Political Criticism,2014-04-15,citizenlab,,173235
http://theoverstream-guyana.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,10920567
http://visionguyana.blogspot.com/,REL,Religion,2014-04-15,citizenlab,,-1
http://www.blackplanet.com/,GRP,Social Networking,2014-04-15,citizenlab,,18402
http://www.caribbeantrakker.com/category/guyana/,NEWS,News Media,2014-04-15,citizenlab,,604049
http://www.caribsingles.com/,DATE,Online Dating,2014-04-15,citizenlab,,42151277
http://www.caribvoice.org/,NEWS,News Media,2014-04-15,citizenlab,,4298148
http://www.cariweb.com/chat/politics.htm,GRP,Social Networking,2014-04-15,citizenlab,,30087669
http://www.cariweb.com/main/authorization/doSignUp?target=http%3A%2F%2Fwww.cariweb.com%2F&quizattempt=1,GRP,Social Networking,2014-04-15,citizenlab,,30087669
http://www.cariweb.com/main/authorization/signIn?target=http%3A%2F%2Fwww.cariweb.com%2F,GRP,Social Networking,2014-04-15,citizenlab,,30087669
http://www.demerarawaves.com/,NEWS,News Media,2014-04-15,citizenlab,,259307
http://www.dharmshala.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,-1
http://www.facebook.com/home.php#!/profile.php?id=1031107697,POLR,Political Criticism,2014-04-15,citizenlab,,1
http://www.facebook.com/profile.php?id=1031107697#!/profile.php?id=591991321,NEWS,News Media,2014-04-15,citizenlab,,1
http://www.guyana.cc/forums/,GRP,Social Networking,2014-04-15,citizenlab,,6851891
http://www.guyana.org/,NEWS,News Media,2014-04-15,citizenlab,,145668
http://www.guyanacaribbeanpolitics.com/,NEWS,News Media,2014-04-15,citizenlab,,741860
http://www.guyanachronicle.com/site/,NEWS,News Media,2014-04-15,citizenlab,,184622
http://www.guyanaobservernews.org/,NEWS,News Media,2014-04-15,citizenlab,,12256243
http://www.guyanaoutpost.com/guyana.shtml,NEWS,News Media,2014-04-15,citizenlab,,6039064
http://www.guyanapnc.org/,POLR,Political Criticism,2014-04-15,citizenlab,,755224
http://www.idletribes.com/,NEWS,News Media,2014-04-15,citizenlab,,42151521
http://www.kaieteurnewsonline.com/,NEWS,News Media,2014-04-15,citizenlab,,202130
http://www.likeachampion360.com/,NEWS,News Media,2014-04-15,citizenlab,,39263834
http://www.mittelholzer.org/forum/,NEWS,News Media,2014-04-15,citizenlab,,9594087
http://www.new-nation.net/,POLR,Political Criticism,2014-04-15,citizenlab,,9090559
http://www.rainbowvibes.com/,DATE,Online Dating,2014-04-15,citizenlab,,26092343
http://www.stabroeknews.com/news/,NEWS,News Media,2014-04-15,citizenlab,,20168
http://www.teencaribbean.com/,NEWS,News Media,2014-04-15,citizenlab,,19114964
http://www.vibesconnect.com/,GRP,Social Networking,2014-04-15,citizenlab,,11364239
http://www.votepup.com/,POLR,Political Criticism,2014-04-15,citizenlab,,-1
http://www.vycguyana.net/index.php,HUMR,Human Rights Issues,2014-04-15,citizenlab,,42120213
http://www.weekendmirror.com/news/,NEWS,News Media,2014-04-15,citizenlab,,14188352
http://www.westindiantube.com/,NEWS,News Media,2014-04-15,citizenlab,,29178023
