url,category_code,category_description,date_added,source,notes,rank
http://italguru.hu/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Site devoted to the sale of alcohol,32441785
http://szobaanyolcban.org/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Drug use,20306948
http://www.mat.org.hu/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Drug addiction,20012034
https://alkoholshop.hu/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Site devoted to the sale of alcohol,70274771
https://diszkontital.hu/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Site devoted to the sale of alcohol,58911899
https://drogfokuszpont.hu/szakteruleteink/populacios-vizsgalatok/populacios-vizsgalatok-tenyek-es-szamok/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Organisation focusing on drug use,5311560
https://drogriporter.hu/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,"Organisation focusing on drug use, addiction, regulation of drugs",2336698
https://felepulok.hu/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Drug use and addiction,31400306
https://idrinks.hu/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Site devoted to the sale of alcohol,8994846
https://italcenter.hu/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Site devoted to the sale of alcohol,50959976
https://italdepo.hu/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Site devoted to the sale of alcohol,10331573
https://italkereso.hu/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Site devoted to the sale of alcohol,3725332
https://italneked.hu/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Site devoted to the sale of alcohol,18662654
https://italshop.hu/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Site devoted to the sale of alcohol,13287583
https://kekpont.hu/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Organisation helping drug addicts,6882343
https://mralkohol.hu/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Site devoted to the sale of alcohol,18445858
https://tasz.hu/tema/drogok/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Drug use and regulation,157720
https://www.addikt.hu/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Drug addiction,43392789
https://www.golden-drinks.hu/kezdolap/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Site devoted to the sale of alcohol,37149650
https://www.webshop.soptei.hu/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Site devoted to the sale of alcohol,41838515
https://www.whiskynet.hu/,ALDR,Alcohol & Drugs,2021-11-19,Netalitica,Site devoted to the sale of alcohol,1650796
https://cbdcenter.hu/,ALDR,Alcohol & Drugs,2022-01-07,Netalitica,Medical cannabis,25728771
https://cbdoazis.hu/,ALDR,Alcohol & Drugs,2022-01-07,Netalitica,Medical cannabis,30590838
https://drogkutato.hu/,ALDR,Alcohol & Drugs,2022-01-07,Netalitica,Durg research organisation,14582549
https://myhempstore.eu/8-tipp-kannabisz-olaj-vasarlas-elott-40/,ALDR,Alcohol & Drugs,2022-01-07,Netalitica,Medical cannabis,29455992
https://orvosikannabisz.com/,ALDR,Alcohol & Drugs,2022-01-07,Netalitica,Medical cannabis,8757389
https://usamedical.hu/,ALDR,Alcohol & Drugs,2022-01-07,Netalitica,Sale of cannabis products,23587061
https://www.orvosikannabiszolaj.hu/,ALDR,Alcohol & Drugs,2022-01-07,Netalitica,Medical cannabis,104428289
https://techwok.hu/,ANON,Anonymization and circumvention tools,2021-11-19,Netalitica,Online anonymization page,597745
https://arx.deidentifier.org/,ANON,Anonymization and circumvention tools,2022-01-27,Netalitica,Online anonymization tool,392216
https://hide.me/en/,ANON,Anonymization and circumvention tools,2022-01-27,Netalitica,Online circumvention tool,30183
https://protonvpn.com/hu/,ANON,Anonymization and circumvention tools,2022-01-27,Netalitica,Online circumvention tool,13815
https://bookline.hu/,COMM,E-commerce,2021-12-28,Netalitica,Online store for books,199655
https://edigital.hu/keszletkisopres?/,COMM,E-commerce,2021-12-28,Netalitica,Online store for electronic goods,1700128
https://euronics.hu/,COMM,E-commerce,2021-12-28,Netalitica,Online store for electronic goods,1666166
https://tesco.hu/,COMM,E-commerce,2021-12-28,Netalitica,Online store for grocery,575365
https://www.220volt.hu/,COMM,E-commerce,2021-12-28,Netalitica,Online store for electronic goods,2805066
https://www.alza.hu/,COMM,E-commerce,2021-12-28,Netalitica,Online store for all types of goods,340108
https://www.bestmarkt.hu/,COMM,E-commerce,2021-12-28,Netalitica,Online store for all types of goods,3677592
https://www.bonprix.hu/,COMM,E-commerce,2021-12-28,Netalitica,Online store for all types of goods,7861232
https://www.emag.hu/,COMM,E-commerce,2021-12-28,Netalitica,Online store for all types of goods,1160331
https://www.jofogas.hu/,COMM,E-commerce,2021-12-28,Netalitica,Used goods online store,971149
https://www.kifli.hu/koszontunk-a-kiflinel/,COMM,E-commerce,2021-12-28,Netalitica,Online store for grocery,887789
