url,category_code,category_description,date_added,source,notes,rank
http://ethiomuslimsmedia.com/index.php/news-paper/132-burma/,COMM,E-commerce,2014-04-15,citizenlab,content changed but domain still blocked - monitor,81864496
http://apniisp.com/,FILE,File-sharing,2014-04-15,citizenlab,"Music sharing website. Updated recently, seems active. No redirect to HTTPS either.",3442553
http://bollyextreme.com/,FILE,File-sharing,2014-04-15,citizenlab,"Possibly old file sharing website, does not seem to be active in the last 2-3 years. Blocked on some ISPs - monitor",81756084
http://cckerala.com/,FILE,File-sharing,2014-04-15,citizenlab,"Old Kerala news website, not updated since 2012. Still blocked - monitor",11614980
http://downloadming.com/,FILE,File-sharing,2014-04-15,citizenlab,"Bollywood music sharing, appears blocked - monitor",16073741
http://filmimusic.com/,FILE,File-sharing,2014-04-15,citizenlab,Possibly old file sharing website,26841753
http://freefundoo.com/,FILE,File-sharing,2014-04-15,citizenlab,old file sharing website but still blocked - monitor,162430257
http://mobidreamz.com/,FILE,File-sharing,2014-04-15,citizenlab,blocked (OONI explorer),-1
http://muskurahat.com/,FILE,File-sharing,2014-04-15,citizenlab,,2138048
http://mymaza.com/,FILE,File-sharing,2014-04-15,citizenlab,403 error. The resource is blocked - monitor,-1
http://songs.pk/,FILE,File-sharing,2014-04-15,citizenlab,Music sharing website. Domain blocked - monitor,6407764
http://songsinn.com/,FILE,File-sharing,2014-04-15,citizenlab,Music sharing website. Blocked  - monitor,17555801
http://songslover.com/,FILE,File-sharing,2014-04-15,citizenlab,Music sharing website. Blocked  - monitor,9652238
http://sunomusic.com/,FILE,File-sharing,2014-04-15,citizenlab,blocked sharing website - monitor,50547687
http://wapindia.net/,FILE,File-sharing,2014-04-15,citizenlab,blocked resource,54107489
http://waprocks.in/,FILE,File-sharing,2014-04-15,citizenlab,blocked resource,-1
http://givemetheheadlines.wordpress.com/2012/07/29/hindus-kill-muslims-in-india-44-dead-170000-made-homeless/,MILX,Terrorism and Militants,2014-04-15,citizenlab,"News aggregation, blocked - monitor",-1
http://pctvbill.blogspot.in/2012/08/hindu-women-in-india-found-raped-and.html/,MILX,Terrorism and Militants,2014-04-15,citizenlab,About communal violence,-1
http://apunkabollywood.com/,MMED,Media sharing,2014-04-15,citizenlab,"Music sharing website. Almost FTP-like interface, could not determine when it was last updated. No redirect to HTTPS either.",14054794
http://karachimag.com/,MMED,Media sharing,2014-04-15,citizenlab,,8931022
http://mazafm.com/,MMED,Media sharing,2014-04-15,citizenlab,blocked (OONI explorer),14887133
http://paktimes.com/,MMED,Media sharing,2014-04-15,citizenlab,outdated but still blocked - monitor,12592424
http://topupmp3.com/,MMED,Media sharing,2014-04-15,citizenlab,"Now serves as Youtube to mp3 converter, can still keep",11783290
http://bdcburma.wordpress.com/2012/07/27/photos-about-burmese-buddhists-killed-the-muslims-in-burma-2/,NEWS,News Media,2014-04-15,citizenlab,"A photo gallery, related to incidents in Burma. Outdated but still blocked - monitor",32287893
http://drashukumar.files.wordpress.com/2011/10/ashokarorashivaniarticle.doc/,NEWS,News Media,2014-04-15,citizenlab,Accusation of corruption in the judiciary,-1
http://drashukumar.files.wordpress.com/2011/10/who_got_shivani_killed.doc/,NEWS,News Media,2014-04-15,citizenlab,Accusation of corruption in the judiciary,-1
http://farazahmed.com/wp-content/uploads/2012/07/602535_335682046513473_517563933_n.jpg/,NEWS,News Media,2014-04-15,citizenlab,Image related to Muslim genocide in Myanmar,10482144
http://hinduhumanrights.org/,NEWS,News Media,2014-04-15,citizenlab,"Seems to be a generic news website, name implies human rights for the Hindu majority",1646503
http://nndh.com/,NEWS,News Media,2014-04-15,citizenlab,Site blocked by the Indian government - monitor,84329651
