url,category_code,category_description,date_added,source,notes,rank
http://www.nikahsearch.com/,DATE,Online Dating,2014-04-15,citizenlab,,129270604
http://www.israel.com/,GOVT,Government,2014-04-15,citizenlab,,4726723
http://www.heretical.com/,HATE,Hate Speech,2014-04-15,citizenlab,,84042
http://www.antiwar.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,33479
http://www.jfoiraq.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,2665418
https://gayswithoutborders.wordpress.com/,LGBT,LGBT,2014-04-15,citizenlab,,4843007
http://www.ahewar.org/,POLR,Political Criticism,2014-04-15,citizenlab,,114240
http://www.danielpipes.org/,POLR,Political Criticism,2014-04-15,citizenlab,,55120
http://www.iraqwar.org/,NEWS,News Media,2014-04-15,citizenlab,,4085326
http://www.freearabvoice.org/,POLR,Political Criticism,2014-04-15,citizenlab,,4045882
http://www.ikhwanweb.com/,POLR,Political Criticism,2014-04-15,citizenlab,,64742
http://www.iraqfoundation.org/,POLR,Political Criticism,2014-04-15,citizenlab,,1432814
http://www.sharmota.com/,PORN,Pornography,2014-04-15,citizenlab,,91016604
http://www.hereslife.com/,REL,Religion,2014-04-15,citizenlab,,1776994
http://www.baghdadalrashid.com/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,11649552
http://www.hadash.org.il/,POLR,Political Criticism,2014-04-15,citizenlab,,2290664
http://angryarab.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,1449704
http://www.albasrah.net/,NEWS,News Media,2014-04-15,citizenlab,,1291060
http://www.ansarweb.net/,REL,Religion,2014-04-15,citizenlab,,13069011
http://www.bahai-faith.org/,REL,Religion,2014-04-15,citizenlab,,8903720
http://www.coptic.net/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,98632
http://www.faithfreedom.org/,REL,Religion,2014-04-15,citizenlab,,1411268
http://freemuslim.org/,REL,Religion,2014-04-15,citizenlab,,9677376
http://www.light-of-life.com/,REL,Religion,2014-04-15,citizenlab,,3688379
http://www.yahosein.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,737685
http://arabic.bayynat.org.lb/,REL,Religion,2014-04-15,citizenlab,,10687123
https://www.lavaplace.com/,DATE,Online Dating,2014-04-15,citizenlab,,10657235
https://www.likud.org.il/,GOVT,Government,2014-04-15,citizenlab,,70825
https://meretz.org.il/,GOVT,Government,2014-04-15,citizenlab,,2144989
https://answering-islam.org/,REL,Religion,2014-04-15,citizenlab,,46456
https://bahai.com/,REL,Religion,2014-04-15,citizenlab,,136845
https://www.rafed.net/ar/,REL,Religion,2014-04-15,citizenlab,,174362
https://www.iraqilgbt.org.uk/,LGBT,LGBT,2014-04-15,citizenlab,,2039709
https://www.bbc.com/arabic/,NEWS,News Media,2014-04-15,citizenlab,,96
https://www.nationalpriorities.org/,NEWS,News Media,2014-04-15,citizenlab,Covers costs of US war in Iraq,43490
https://www.alalamtv.net/,NEWS,News Media,2014-04-15,citizenlab,,1554875
https://www.idf.il/,GOVT,Government,2014-04-15,citizenlab,,28744
https://main.knesset.gov.il/,GOVT,Government,2014-04-15,citizenlab,,75755
https://www.mfa.gov.il/,GOVT,Government,2014-04-15,citizenlab,,21438
https://toystore.co.il/,CTRL,Control content,2014-04-15,citizenlab,,27396904
https://www.godhatesfags.com/,HATE,Hate Speech,2014-04-15,citizenlab,,90854
https://www.alquds.co.uk/,NEWS,News Media,2014-04-15,citizenlab,,94318
http://www.anti-cair-net.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,1873402
https://www.azzaman.com/,NEWS,News Media,2014-04-15,citizenlab,,82057
https://elaph.com/,NEWS,News Media,2014-04-15,citizenlab,,70561
