url,category_code,category_description,date_added,source,notes,rank
https://76crimes.com/2015/10/05/an-appeal-to-end-attacks-on-lgbt-people-on-kenyas-coast/,LGBT,LGBT,2016-06-13,OONI,,77204
http://allafrica.com/kenya/,NEWS,News Media,2016-06-13,OONI,,11669
http://allafrica.com/stories/201512081372.html,HUMR,Human Rights Issues,2016-06-13,OONI,,11669
http://allafrica.com/stories/201512120125.html,POLR,Political Criticism,2016-06-13,OONI,,11669
http://allafrica.com/stories/201602220332.html,POLR,Political Criticism,2016-06-13,OONI,,11669
http://bikozulu.co.ke/,CULTR,Culture,2016-06-13,OONI,,912723
http://buoart.com/,CULTR,Culture,2016-06-13,OONI,,24355022
http://chamachamwananchi.wordpress.com/,POLR,Political Criticism,2014-04-15,citizenlab,,849971
http://covaw.or.ke/,HUMR,Human Rights Issues,2016-06-13,OONI,,3626346
https://crazyafricans.blogspot.com/,CULTR,Culture,2016-06-13,OONI,,-1
http://galck.org/,LGBT,LGBT,2014-04-15,citizenlab,,3052168
http://gaykenya.com/,LGBT,LGBT,2014-04-15,citizenlab,,11391827
http://gaylifekenya.blogspot.com/,LGBT,LGBT,2014-04-15,citizenlab,,14271064
http://gukira.wordpress.com/,LGBT,LGBT,2014-04-15,citizenlab,,1500607
http://info.mzalendo.com/,POLR,Political Criticism,2016-06-13,OONI,,307848
http://islamkenya.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,18090279
https://iwpr.net/global-voices/tackling-police-corruption-kenya,POLR,Political Criticism,2016-06-13,OONI,,25274
http://janemukami.com/,PUBH,Public Health,2016-06-13,OONI,,6185986
http://jihad-e-informacion.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,17696407
https://jubileepamoja.co.ke/,POLR,Political Criticism,2017-05-25,CIPIT,,7184407
http://jukwaa.proboards.com/,NEWS,News Media,2014-04-15,citizenlab,,12781486
http://kenvironews.wordpress.com/,ENV,Environment,2014-04-15,citizenlab,,5900252
http://kenyabwala.com/,NEWS,News Media,2016-06-13,OONI,,14183813
http://kenyaglobe.com/,NEWS,News Media,2014-04-15,citizenlab,,68179045
http://kenyanporn.blogspot.com/,PORN,Pornography,2014-04-15,citizenlab,,-1
http://kenyans.us/,DATE,Online Dating,2016-06-13,OONI,,46725528
http://kenyantg.blogspot.com/,LGBT,LGBT,2014-04-15,citizenlab,,20546205
http://kenyaraha.net/,PORN,Pornography,2014-04-15,citizenlab,,39554396
http://kenyasocialnetwork.com/home/index.php,GRP,Social Networking,2016-06-13,OONI,,102236752
http://kenyauptodate.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,8627490
https://mashariazgitonga.blogspot.com/,POLR,Political Criticism,2016-06-13,OONI,,78491271
http://michezoafrika.com/,CULTR,Culture,2016-06-13,OONI,,1538836
http://minorityrights.org/2016/03/24/8329/,HUMR,Human Rights Issues,2016-06-13,OONI,,21216
http://nairobiwire.com/,NEWS,News Media,2016-06-13,OONI,,73414
http://niaje.com/,CULTR,Culture,2016-06-13,OONI,,4578881
http://nipate.com/,GRP,Social Networking,2014-04-15,citizenlab,,4045438
http://nudekenya.com/,PORN,Pornography,2014-04-15,citizenlab,,57630341
http://pikachakula.com/,CULTR,Culture,2016-06-13,OONI,,6665647
https://rao.co.ke/,POLR,Political Criticism,2015-05-25,CIPIT,,3704638
http://sdpkenya.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,-1
http://silvianjoki.com/,CULTR,Culture,2016-06-13,OONI,,7188959
https://sportpesa.com/,GMB,Gambling,2017-03-20,CIPIT,,6039559
http://ssinformer.com/,NEWS,News Media,2016-06-13,OONI,,10238586
http://sukumakenya.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,10171595
http://sw.globalvoicesonline.org/,NEWS,News Media,2014-04-15,citizenlab,,7322175
http://techmoran.com/,NEWS,News Media,2016-06-13,OONI,,79874
http://thegaykenyan.blogspot.com/,LGBT,LGBT,2014-04-15,citizenlab,,13131835
http://travelstart.co.ke/blog,CULTR,Culture,2016-06-13,OONI,,5419513
http://vibeweekly.com/,CULTR,Culture,2016-06-13,OONI,,4767786
http://vitukali.com/,PORN,Pornography,2014-04-15,citizenlab,,130035445
http://whive.com/home.php,GRP,Social Networking,2016-06-13,OONI,,11088694
"https://wikileaks.org/wiki/Kenya:_The_Cry_of_Blood_-_Report_on_Extra-Judicial_Killings_and_Disappearances,_Sep_2008",HUMR,Human Rights Issues,2016-06-13,OONI,,5761
https://wikileaks.org/wiki/Murder_in_Nairobi:_Wikileaks_related_human_rights_lawyers_assassinated,HUMR,Human Rights Issues,2016-06-13,OONI,,5761
http://www.africanzone.com/,GRP,Social Networking,2016-06-13,OONI,,11411555
http://www.africareview.com/News/PLO-criticises-President-Kenyatta-visit-to-Israel/-/979180/3095470/-/e9bllj/-/index.html,POLR,Political Criticism,2016-06-13,OONI,,49746
