url,category_code,category_description,date_added,source,notes,rank
http://www.bbc.com/kyrgyz/,NEWS,News Media,2017-07-19,BBC,,96
http://www.bbckyrgyz.com/,NEWS,News Media,2017-07-19,BBC,,22333802
http://www.bbc.com/uzbek/,NEWS,News Media,2017-07-19,BBC,,96
http://aimak.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,58816502
http://alakan.hostenko.com/,NEWS,News Media,2017-09-18,VirtualRoad,,170051116
http://ar-namys.org/,POLR,Political Criticism,2017-09-18,VirtualRoad,,10261579
http://bagyt.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,11720524
http://barakelde.turmush.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,32433864
http://barometr.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,5861706
http://birduino.kg/ru,HUMR,Human Rights Issues,2017-09-18,VirtualRoad,,5405145
http://blog.ru/,HOST,Hosting and Blogging Platforms,2017-09-18,VirtualRoad,,1537245
http://bulbul.kg/,MMED,Media sharing,2017-09-18,VirtualRoad,,5814859
http://ca-news.org/,NEWS,News Media,2017-09-18,VirtualRoad,,432082
http://dem.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,545982
http://diesel.elcat.kg/,POLR,Political Criticism,2017-09-18,VirtualRoad,,1495463
http://egemen.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,17958733
http://eurasia.org.ru/,NEWS,News Media,2017-09-18,VirtualRoad,,2892563
http://eurasianet.org/,NEWS,News Media,2017-09-18,VirtualRoad,,16389
http://fakt.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,10815014
http://gazeta.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,2342657
http://golos.kg/,HUMR,Human Rights Issues,2017-09-18,VirtualRoad,,21087965
http://hoster.kg/,HOST,Hosting and Blogging Platforms,2017-09-18,VirtualRoad,,15622504
http://inter.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,10366631
http://interbilim.org.kg/,HUMR,Human Rights Issues,2017-09-18,VirtualRoad,,12045583
http://internews.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,2829230
http://ipp.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,11750581
http://kabar.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,191620
http://kabarlar.org/,NEWS,News Media,2017-09-18,VirtualRoad,,445062
http://kaganat.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,743684
http://kchr.org/,HUMR,Human Rights Issues,2017-09-18,VirtualRoad,,6771730
http://kginform.com/,NEWS,News Media,2017-09-18,VirtualRoad,,3663963
http://kloop.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,453726
http://knews.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,180416
http://kyrgyzmedia.com/,NEWS,News Media,2017-09-18,VirtualRoad,,20916307
http://kyrgyztoday.org/,NEWS,News Media,2017-09-18,VirtualRoad,,7620951
http://kyrgyztuusu.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,13013030
http://kyrtag.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,1435905
http://limon.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,2953869
http://madein.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,308087246
http://maralfm.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,8062817
http://medialaw.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,6539746
http://million.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,-1
http://mk.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,3098451
http://msc.kg/,HUMR,Human Rights Issues,2017-09-18,VirtualRoad,,7360954
http://msn.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,2174485
http://namba.kg/,HOST,Hosting and Blogging Platforms,2017-09-18,VirtualRoad,,3443672
http://namba.kg/news,NEWS,News Media,2017-09-18,VirtualRoad,,3443672
http://narynaiyp.com/,NEWS,News Media,2017-09-18,VirtualRoad,,10901782
http://neweurasia.net/,NEWS,News Media,2017-09-18,VirtualRoad,,243065
http://newsland.ru/,NEWS,News Media,2017-09-18,VirtualRoad,,1129494
http://nts.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,1569375
http://obs.kg/,MMED,Media sharing,2017-09-18,VirtualRoad,,20704374
http://orok.kyrgyzmedia.com/,NEWS,News Media,2017-09-18,VirtualRoad,,98574606
http://oshpirim.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,43303314
http://paruskg.info/,NEWS,News Media,2017-09-18,VirtualRoad,,2846167
http://pk.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,9670553
http://pr.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,2164736
http://pravda.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,11311809
http://rus.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,3339082
http://russian.eurasianet.org/,NEWS,News Media,2017-09-18,VirtualRoad,,101608
http://soros.kg/,HUMR,Human Rights Issues,2017-09-18,VirtualRoad,,4250152
http://time.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,2956946
http://tunukradio.kyrgyzmedia.com/,NEWS,News Media,2017-09-18,VirtualRoad,,118570272
http://vb.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,204451
http://vesti.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,409005
http://www.adilet.kg/,HUMR,Human Rights Issues,2017-09-18,VirtualRoad,,4052735
http://www.advocacy.kg/,HUMR,Human Rights Issues,2017-09-18,VirtualRoad,,9865922
http://www.bulak.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,666314
http://www.comment.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,3701188
http://www.csip.kg/,HUMR,Human Rights Issues,2017-09-18,VirtualRoad,,29184709
http://www.eurasianet.org/,NEWS,News Media,2017-09-18,VirtualRoad,,16389
http://www.fergananews.com/,NEWS,News Media,2017-09-18,VirtualRoad,,112135
http://www.for.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,277642
http://www.gezitter.org/,NEWS,News Media,2017-09-18,VirtualRoad,,346009
http://www.hosting.kg/,HOST,Hosting and Blogging Platforms,2017-09-18,VirtualRoad,,37439864
http://www.ibc.kg/,ECON,Economics,2017-09-18,VirtualRoad,,5042877
http://www.inkg.info/,NEWS,News Media,2017-09-18,VirtualRoad,,12307533
http://www.jashtar.kg/,POLR,Political Criticism,2017-09-18,VirtualRoad,,53657622
http://www.karakol.name/,NEWS,News Media,2017-09-18,VirtualRoad,,6250422
http://www.kyrgyznews.com/,NEWS,News Media,2017-09-18,VirtualRoad,,3812233
http://www.lady.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,31889523
http://www.open.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,2165978
http://www.sayasat.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,16626497
http://www.super.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,1438416
http://www.tazabek.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,2203203
http://www.turmush.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,484471
http://www.tuz.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,13029426
http://www.voip.kg/,COMT,Communication Tools,2017-09-18,VirtualRoad,,20354681
http://www.zaman.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,6764853
http://yntymak.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,3455926
https://24.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,62457
https://akipress.org/,NEWS,News Media,2017-09-18,VirtualRoad,,141652
https://chagylgan.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,25001683
https://kaktus.media/,NEWS,News Media,2017-09-18,VirtualRoad,,161350
https://kyrgyzmedia.com/,HOST,Hosting and Blogging Platforms,2017-09-18,VirtualRoad,,20916307
https://nurnews.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,-1
https://www.akchabar.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,134836
https://www.azattyk.org/,NEWS,News Media,2017-09-18,VirtualRoad,,41546
https://www.internetpolicy.kg/en,HUMR,Human Rights Issues,2017-09-18,VirtualRoad,,5906700
https://www.kp.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,290803
https://www.super.kg/,NEWS,News Media,2017-09-18,VirtualRoad,,1438416
http://openline.kg/,HUMR,Human Rights Issues,2017-09-25,VirtualRoad,,10488697
http://labrys.kg/,LGBT,LGBT,2017-09-25,VirtualRoad,,2625321
https://ky.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,138984
https://ru.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,24944
https://kk.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,63022
https://tr.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,15853
https://ky.wikiquote.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,3223795
https://ru.wikisource.org/,CULTR,Culture,2019-06-07,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,92177
https://ru.m.wikisource.org/,CULTR,Culture,2019-06-07,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,2890796
https://kloop.kg/,NEWS,News Media,2022-09-16,School of peacemaking,,453726
https://govori.tv/,NEWS,News Media,2022-09-16,School of peacemaking,,19836023
https://knews.kg/,NEWS,News Media,2022-09-16,School of peacemaking,,180416
https://mapincidents.kg/,HUMR,Human Rights Issues,2022-09-16,School of peacemaking,,59671269
https://centralasia.media/,NEWS,News Media,2022-09-16,School of peacemaking,,392327
https://notorture.kg/,HUMR,Human Rights Issues,2022-09-16,School of peacemaking,,3146243
http://ca-mediators.net/,POLR,Political Criticism,2022-09-16,School of peacemaking,,2038456
https://cabar.asia/,HUMR,Human Rights Issues,2022-09-16,School of peacemaking,,133830
https://aryba.kg/,NEWS,News Media,2022-09-16,School of peacemaking,,3066285
https://www.sayasat.kg/,NEWS,News Media,2022-09-16,School of peacemaking,,16626497
https://kabarlar.org/,NEWS,News Media,2022-09-16,School of peacemaking,,445062
https://bulak.kg/,NEWS,News Media,2022-09-16,School of peacemaking,,666314
https://factcheck.kg/,NEWS,News Media,2022-09-16,School of peacemaking,,2602608
https://economist.kg/,NEWS,News Media,2022-09-16,School of peacemaking,,2053744
https://kyrgyztoday.org/,NEWS,News Media,2022-09-16,School of peacemaking,,7620951
https://eldik.media/,NEWS,News Media,2022-09-16,School of peacemaking,,11060081
https://nazarnews.org/,NEWS,News Media,2022-09-16,School of peacemaking,,22951015
https://bishkekfeminists.wordpress.com/,HUMR,Human Rights Issues,2022-09-16,School of peacemaking,,13976338
https://indigo.kg/,LGBT,LGBT,2022-09-16,School of peacemaking,,6117395
https://www.tazabek.kg/,NEWS,News Media,2022-09-16,School of peacemaking,,2203203
https://current-time.gitlab.io/,ANON,Anonymization and circumvention tools,2022-10-13,rayasharbain,,22601094
https://current-time.github.io/,ANON,Anonymization and circumvention tools,2022-10-13,rayasharbain,,-1
https://rus.azattyk.org/,NEWS,News Media,2022-10-26,test-lists.ooni.org contribution,,159171
https://azattyk.gitlab.io/,ANON,Anonymization and circumvention tools,2022-11-03,rayasharbain,,-1
https://azattyk.github.io/,ANON,Anonymization and circumvention tools,2022-11-03,rayasharbain,,-1
https://media.kg/,HUMR,Human Rights Issues,2022-11-24,test-lists.ooni.org contribution,,3274624
https://serep.kg/,NEWS,News Media,2022-11-25,test-lists.ooni.org contribution,,6790794
http://bashtanbashta.com/,POLR,Political Criticism,2022-11-25,test-lists.ooni.org contribution,,119556988
https://www.slobodnaevropa.org/,NEWS,News Media,2023-04-04,OONI,,41701
