url,category_code,category_description,date_added,source,notes,rank
http://asiapacific.unwomen.org/en/countries/cambodia,HUMR,Human Rights Issues,2016-10-06,OONI,,93128
https://badoo.com/en/dating/cambodia/cambodia/,DATE,Online Dating,2016-10-06,OONI,,16627
http://blog.conservation.org/2013/11/in-cambodia-environmental-challenges-mirror-the-past/,ENV,Environment,2016-10-06,OONI,,882900
https://cambodian.dating/,DATE,Online Dating,2016-10-06,OONI,,93046191
http://camnews.com.kh/,NEWS,News Media,2016-10-06,OONI,,21261079
https://cchrcambodia.org/,HUMR,Human Rights Issues,2016-09-17,cchr,Human Rights Organization,278920
http://cipocambodia.org/,HUMR,Human Rights Issues,2018-08-01,sinarproject,,13022522
https://comfrel.org/,POLR,Political Criticism,2018-08-01,sinarproject,,3188340
https://humanrightsinasean.info/,HUMR,Human Rights Issues,2018-08-01,sinarproject,,2042123
http://kampucheathmey.com/,NEWS,News Media,2016-10-06,OONI,,651682
http://kh.kddi.com/products_services/detail2/syncnel.html,FILE,File-sharing,2016-10-06,OONI,,19155405
https://khmer.voanews.com/,NEWS,News Media,2016-09-17,cchr,Independent online news website,518884
https://khmer.cambodiadaily.com/,NEWS,News Media,2018-08-01,sinarproject,Independent online news website,24165868
http://km.rfi.fr/,NEWS,News Media,2018-08-01,sinarproject,Independent online news website,4449214
https://kohsantepheapdaily.com.kh/,NEWS,News Media,2016-10-06,OONI,,1434059
http://mlup-baitong.org/,POLR,Political Criticism,2018-08-01,sinarproject,,901436
https://news.e-khmer.com/,NEWS,News Media,2016-10-06,OONI,,71839081
http://nokorwatnews.com/,NEWS,News Media,2016-10-06,OONI,,792564
https://www.pinterest.de/pin/408490628686118654/,GRP,Social Networking,2018-08-01,sinarproject,,4967
http://phnompenhpride.blogspot.com/,LGBT,LGBT,2016-10-06,OONI,,37104465
http://rainforests.mongabay.com/20cambodia.htm,ENV,Environment,2016-10-06,OONI,,50631
https://rsf.org/en/news/environmental-journalism-increasingly-hostile-climate,ENV,Environment,2016-10-06,OONI,,5226
https://rsf.org/sites/default/IMG/pdf/rapport_environnement_en.pdf,ENV,Environment,2016-10-06,OONI,,5226
http://stubes.info/onlain/italbGdoRW1hS2JrOGc,NEWS,News Media,2018-08-01,sinarproject,,110559938
http://www.adhoc-cambodia.org/,HUMR,Human Rights Issues,2016-10-06,OONI,,2026839
http://www.akppure.com/,NEWS,News Media,2018-08-01,sinarproject,Parked domain which was on 2018 official list of blocked sites for Cambodian elections,-1
http://www.akp.gov.kh/,NEWS,News Media,2016-10-06,OONI,,170434
https://www.altsean.org/,HUMR,Human Rights Issues,2018-08-01,sinarproject,,243479
http://www.asiandatenet.com/dating/cambodia/1/,DATE,Online Dating,2016-10-06,OONI,,345244
http://www.asiandating.com/,DATE,Online Dating,2016-10-06,OONI,,272686
http://www.camboda.com/love.php,DATE,Online Dating,2016-10-06,OONI,,39659997
https://www.cambodiadaily.com/,NEWS,News Media,2016-09-17,cchr,Indepdenent online news website,50684
http://www.cambodiantimes.com/,NEWS,News Media,2016-10-06,OONI,,7118146
http://www.camnews.org/,NEWS,News Media,2018-08-01,sinarproject,,1012700
http://www.ccfccambodia.org/,HUMR,Human Rights Issues,2018-08-01,sinarproject,,5354892
http://www.ccc-cambodia.org/,POLR,Political Criticism,2018-08-01,sinarproject,,642477
http://www.ccc-cambodia.org/en/ngodb/ngo-information/666,POLR,Political Criticism,2018-08-01,sinarproject,,642477
https://www.ccimcambodia.org/,POLR,Political Criticism,2018-08-01,sinarproject,,1893610
http://www.cen.com.kh/home,NEWS,News Media,2016-10-06,OONI,,5558097
https://www.central-cambodia.org/,HUMR,Human Rights Issues,2018-08-01,sinarproject,,2379864
http://www.cpp.org.kh/,GOVT,Government,2016-09-17,cchr,Current ruling political party,1458468
http://www.dap-news.com/,NEWS,News Media,2016-10-06,OONI,,4624245
http://www.dtn7.com/,NEWS,News Media,2018-08-01,sinarproject,   ,20564589
https://www.facebook.com/cambodiapride/,LGBT,LGBT,2016-10-06,OONI,,1
http://www.facebook.com/cambodiapride/,LGBT,LGBT,2016-10-06,OONI,,1
http://www.freshnewsasia.com/,NEWS,News Media,2018-08-01,sinarproject,,227247
https://www.forumsyd.org/sv,HUMR,Human Rights Issues,2018-08-01,sinarproject,,3670338
http://www.gadc.org.kh/,HUMR,Human Rights Issues,2018-08-01,sinarproject,,15391261
http://www.gaycambodianews.com/lgbt-pride-cambodia/,LGBT,LGBT,2016-10-06,OONI,,35071639
http://www.healthcambodia.org/,PUBH,Public Health,2016-10-06,OONI,,45975903
https://www.hrw.org/asia/cambodia,HUMR,Human Rights Issues,2016-10-06,OONI,,2304
http://www.khmershare.news/,NEWS,News Media,2018-08-01,sinarproject,,39121978
http://www.kirivong.com/,NEWS,News Media,2016-10-06,OONI,,39869845
http://www.ksn-news.com/,NEWS,News Media,2016-10-06,OONI,,22193657
https://www.licadho-cambodia.org/,HUMR,Human Rights Issues,2016-10-06,OONI,,87909
http://www.maristsolidaritycambodia.org/,POLR,Political Criticism,2018-08-01,sinarproject,,40449538
http://www.moneaksekar.com/,NEWS,News Media,2016-10-06,OONI,,7360590
http://www.movetocambodia.com/living-in-cambodia/love-and-family/gay-culture/,LGBT,LGBT,2016-10-06,OONI,,348263
https://monoroom.info/,NEWS,News Media,2018-08-01,sinarproject,,4699682
http://www.ngoforum.org.kh/,POLR,Political Criticism,2018-08-01,sinarproject,,437584
https://www.phnompenhpost.com/,NEWS,News Media,2016-10-06,OONI,,15997
http://www.ponlokkhmer.org/,HUMR,Human Rights Issues,2018-08-01,sinarproject,,9670971
https://www.postkhmer.com/,NEWS,News Media,2018-08-01,sinarproject,,133492
https://www.rsvp.com.au/browse/CAMBODIA.jsp,DATE,Online Dating,2016-10-06,OONI,,1874555
http://www.sabay.com.kh/,NEWS,News Media,2018-08-01,sinarproject,,1714606
http://www.thmeythmey.com/,NEWS,News Media,2018-08-01,sinarproject,,2314994
http://www.tv9.com.kh/,NEWS,News Media,2016-10-06,OONI,,17897584
http://www.wmc.org.kh/,NEWS,News Media,2018-08-01,sinarproject,,560136
https://vayofm.com/,NEWS,News Media,2018-08-01,sinarproject,Reportedly blocked in 2018,7659421
https://www.voacambodia.com/,NEWS,News Media,2016-10-06,OONI,,103446
http://www.voanews.com/a/report-calls-cambodia-deadliest-country-environmental-reporting/3095928.html,ENV,Environment,2016-10-06,OONI,,2532
https://vodhotnews.com/,NEWS,News Media,2018-08-01,sinarproject,,639027
http://www.watphnom-news.com/,NEWS,News Media,2016-10-06,OONI,,10113132
https://mekongict.org/,ECON,Economics,2017-09-07,MKICT,,3591395
https://www.camboja.net/,NEWS,News Media,2021-06-02,OONI,,5030628
https://cambojanews.com/,NEWS,News Media,2021-06-02,OONI,,3872108
https://khmer.cambojanews.com/,NEWS,News Media,2021-06-02,OONI,,13172054
https://vodenglish.news/,NEWS,News Media,2021-06-02,OONI,,178143
https://vodkhmer.news/,NEWS,News Media,2021-06-02,OONI,,604062
https://www.monorom.info/,NEWS,News Media,2021-06-02,OONI,Reportedly blocked in 2018,-1
https://opendevelopmentcambodia.net/tag/independent-network-for-social-justice/,NEWS,News Media,2021-06-02,OONI,Reportedly blocked in 2018,225213
http://vithyu.com/,NEWS,News Media,2021-06-02,OONI,Reportedly blocked in 2018,50781372
https://www.imnsj.org/,NEWS,News Media,2021-06-02,OONI,Reportedly blocked in 2018,50358017
https://cambodianess.com/,NEWS,News Media,2021-06-14,Community member,,50131
https://thmeythmey.com/,NEWS,News Media,2021-06-14,Community member,,2314994
https://www.khmertimeskh.com/,NEWS,News Media,2021-12-16,,online news website,22510
https://sithi.org/,HUMR,Human Rights Issues,2021-12-16,,,138773
https://www.cid.asia/,HUMR,Human Rights Issues,2021-12-16,,,-1
https://www.danchurchaid.org/,HUMR,Human Rights Issues,2021-12-16,,,100503
https://www.diakonia.se/en/Where-we-work/Asia/Cambodia/,HUMR,Human Rights Issues,2021-12-16,,,94192
https://flocambodia.org/,ENV,Environment,2021-12-16,,,51552775
https://www.cipl-organization.org/,CULTR,Culture,2021-12-16,,,18977586
https://www.unitedsisterhood.org/,HUMR,Human Rights Issues,2021-12-16,,,8298696
http://www.ciyanet.org/,CULTR,Culture,2021-12-16,,,17065248
https://www.sadp-asia.org/,ENV,Environment,2021-12-16,,,22881617
https://opendevelopmentcambodia.net/,MMED,Media sharing,2021-12-16,,,225213
https://ponlokkhmer.org/,ENV,Environment,2021-12-16,,,9670971
https://equitablecambodia.org/,HUMR,Human Rights Issues,2021-12-16,,,5836624
https://teangtnaut.org/,HUMR,Human Rights Issues,2021-12-16,,,143473
https://www.mothernaturecambodia.org/,HUMR,Human Rights Issues,2021-12-16,,,1919228
https://www.rcedo.org/,ENV,Environment,2021-12-16,,,39714303
https://www.afd-cambodia.org/,ENV,Environment,2021-12-16,,,25498805
https://www.ngoforum.org.kh/,HUMR,Human Rights Issues,2021-12-16,,,437584
https://mlup-baitong.org/,ENV,Environment,2021-12-16,,,901436
https://cambodia.wcs.org/,ENV,Environment,2021-12-16,,,582547
https://www.ticambodia.org/,HUMR,Human Rights Issues,2021-12-16,,,1849393
http://www.khmerlive.tv/radio/rfa/,NEWS,News Media,2018-08-01,sinarproject,,8914352
https://www.khmerload.com/,NEWS,News Media,2023-02-02,API Cambodia,,2205614
