url,category_code,category_description,date_added,source,notes,rank
http://2015peoplepower.tistory.com/,POLR,Political Criticism,2016-08-09,OONI partner,,-1
http://416family.org/,POLR,Political Criticism,2016-08-09,OONI partner,,25259412
http://4shared.com/,FILE,File-sharing,2016-08-09,OONI partner,,5665
http://act.jinbo.net/,NEWS,News Media,2016-08-09,OONI partner,,2608734
http://adb.org/,ECON,Economics,2014-04-15,citizenlab,,12930
http://applefile.com/,FILE,File-sharing,2016-08-09,OONI partner,,1111851
http://asiafriendfinder.com/,DATE,Online Dating,2014-04-15,citizenlab,,4894363
http://asiansmaster.com/,PORN,Pornography,2014-04-15,citizenlab,,129153554
http://base21.jinbo.net/,NEWS,News Media,2014-04-15,citizenlab,,11301667
http://baykoreans.net/,MMED,Media sharing,2016-08-09,OONI partner,,15479255
http://bestiz.net/,HOST,Hosting and Blogging Platforms,2016-08-09,OONI partner,,15413155
http://betasia.com/,GMB,Gambling,2014-04-15,citizenlab,,509217
http://bitsnoop.com/,FILE,File-sharing,2016-08-09,OONI partner,,2194260
http://bizLGU.com/,COMT,Communication Tools,2016-08-09,OONI partner,,187681089
http://bizmessage.kakao.com/,COMT,Communication Tools,2016-08-09,OONI partner,,12075378
http://blog.daum.net/,NEWS,News Media,2014-04-15,citizenlab,,25302
http://blog.daum.net/pice265/7707627,NEWS,News Media,2014-04-15,citizenlab,,25302
http://blog.jinbo.net/,POLR,Political Criticism,2016-08-09,OONI partner,,5275615
http://blog.naver.com/,HOST,Hosting and Blogging Platforms,2016-08-09,OONI partner,,1102
http://bommin.net/,GOVT,Government,2016-08-09,OONI partner,,7003022
http://bric.postech.ac.kr/,PUBH,Public Health,2014-04-15,citizenlab,,1596526
http://cafe.daum.net/,NEWS,News Media,2014-04-15,citizenlab,,38086
http://cafe.daum.net/Kgreens,ENV,Environment,2016-08-09,OONI partner,,38086
http://cafe.daum.net/ahyoomee,PUBH,Public Health,2016-08-09,OONI partner,,38086
http://cafe.daum.net/amc21,HATE,Hate Speech,2016-08-09,OONI partner,,38086
http://cafe.daum.net/antimb,NEWS,News Media,2014-04-15,citizenlab,,38086
http://cafe.daum.net/chiwoo/,REL,Religion,2016-08-09,OONI partner,,38086
http://cafe.daum.net/dacultureNO,HATE,Hate Speech,2016-08-09,OONI partner,,38086
http://cafe.daum.net/libertyofthepress,NEWS,News Media,2016-08-09,OONI partner,,38086
http://cafe.daum.net/ok1221,HOST,Hosting and Blogging Platforms,2016-08-09,OONI partner,,38086
http://cafe.daum.net/pridecare,LGBT,LGBT,2014-04-15,citizenlab,,38086
http://cafe.daum.net/seoulminart,CULTR,Culture,2016-08-09,OONI partner,,38086
http://cafe.daum.net/ssaumjil,HOST,Hosting and Blogging Platforms,2016-08-09,OONI partner,,38086
http://cafe.daum.net/stopcjd,NEWS,News Media,2016-08-09,OONI partner,,38086
http://cafe.daum.net/subdued20club/,HOST,Hosting and Blogging Platforms,2016-08-09,OONI partner,,38086
http://cafe.daum.net/truepicture/,HOST,Hosting and Blogging Platforms,2016-08-09,OONI partner,,38086
http://cafe.naver.com/asunaro/,HUMR,Human Rights Issues,2016-08-09,OONI partner,,12053
http://cafe.naver.com/gjhlk,PUBH,Public Health,2016-08-09,OONI partner,,12053
http://cafe.naver.com/imsanbu,HOST,Hosting and Blogging Platforms,2016-08-09,OONI partner,,12053
http://cafe.naver.com/mansdotcom,PROV,Provocative Attire,2016-08-09,OONI partner,,12053
http://cafe.naver.com/newartcafe,CULTR,Culture,2016-08-09,OONI partner,,12053
http://cafe.naver.com/rtbnmm/,HATE,Hate Speech,2016-08-09,OONI partner,,12053
http://caramasia.gn.apc.org/,PUBH,Public Health,2014-04-15,citizenlab,,11204181
http://chakantv.co.kr/,MMED,Media sharing,2016-08-09,OONI partner,,142512331
http://chongryon.com/,GOVT,Government,2016-08-09,OONI partner,,513442
https://chunja19.net/,PORN,Pornography,2016-08-09,OONI partner,,196108729
http://cloud.naver.com/,HOST,Hosting and Blogging Platforms,2016-08-09,OONI partner,,10380252
http://clparty.kr/,REL,Religion,2016-08-09,OONI partner,,7177493
http://comingout.narun.net/,LGBT,LGBT,2014-04-15,citizenlab,,-1
http://creamasia.com/,PORN,Pornography,2014-04-15,citizenlab,,25834600
http://cyworld.nate.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,2174487
http://cyworld.nate.com/club/clubsection/clubSection4_main.asp,MMED,Media sharing,2014-04-15,citizenlab,,2174487
http://data.donkeyhote.co.kr/,FILE,File-sharing,2014-04-15,citizenlab,,-1
http://dongyoungsang.com/,MMED,Media sharing,2016-08-09,OONI partner,,70234244
http://egloos.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,196973
http://english.chosun.com/,NEWS,News Media,2014-04-15,citizenlab,,24849
http://english.eduhope.net/,POLR,Political Criticism,2014-04-15,citizenlab,,716115
http://english.hani.co.kr/,NEWS,News Media,2014-04-15,citizenlab,,30916
http://english.yna.co.kr/,NEWS,News Media,2014-04-15,citizenlab,,188636
http://file.daum.net/,FILE,File-sharing,2016-08-09,OONI partner,,20283092
http://filecast.co.kr/,FILE,File-sharing,2016-08-09,OONI partner,,6785942
http://freedom.jinbo.net/,POLR,Political Criticism,2014-04-15,citizenlab,,12022467
http://friend.com.kp/,GRP,Social Networking,2016-09-22,OONI,North Korean site - very slow connectivity,186386
http://gall.dcinside.com/,HOST,Hosting and Blogging Platforms,2016-08-09,OONI partner,,686941
http://gall.dcinside.com/board/lists/?id=disease,PUBH,Public Health,2016-08-09,OONI partner,,686941
http://gesomoon.com/Ver2/,HOST,Hosting and Blogging Platforms,2016-08-09,OONI partner,,10797442
http://giveu.net/,COMT,Communication Tools,2014-04-15,citizenlab,,80613607
