url,category_code,category_description,date_added,source,notes,rank
http://www.akorda.kz/,CULTR,Culture,2014-04-15,citizenlab,,60394
http://www.dumaem.ru/,CULTR,Culture,2014-04-15,citizenlab,,3959033
http://www.kazbio.info/,CULTR,Culture,2014-04-15,citizenlab,,2552535
http://blogos.kz/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,7113467
http://www.blog.kz/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,3216965
http://ajur.kz/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,52589020
http://www.adilsoz.kz/,HUMR,Human Rights Issues,2014-04-15,citizenlab,media rights NGO reportedlly blocked in KZ,1904190
https://medianet.kz/,HUMR,Human Rights Issues,2014-04-15,citizenlab,focus on journalism and freedom of speech in Central Asia,7171393
http://gay.kz/,LGBT,LGBT,2014-04-15,citizenlab,,27278582
http://eurasia.org.ru/,NEWS,News Media,2014-04-15,citizenlab,Eurasia focus - blocked in the past; not updated since 2013,2892563
http://minber.kz/,NEWS,News Media,2014-04-15,citizenlab,,2146935
http://www.dialog.kz/,NEWS,News Media,2014-04-15,citizenlab,,3177856
http://www.meta.kz/,NEWS,News Media,2014-04-15,citizenlab,,539514
http://www.newsfactory.kz/,NEWS,News Media,2014-04-15,citizenlab,,3147588
http://www.nomad.su/,NEWS,News Media,2014-04-15,citizenlab,,1551642
http://www.presscenter.kz/,NEWS,News Media,2014-04-15,citizenlab,site for journalism,20047264
http://www.radiomayak.ru/,NEWS,News Media,2014-04-15,citizenlab,,257761
https://zonakz.net/,NEWS,News Media,2014-04-15,citizenlab,independent news site popular as a discussion platform. DDoS attacked,217853
http://www.strana.kz/ru/search.phtml/,DATE,Online Dating,2014-04-15,citizenlab,,119062890
http://socialismkz.info/,POLR,Political Criticism,2014-04-15,citizenlab,,2570513
http://www.spik.kz/,POLR,Political Criticism,2014-04-15,citizenlab,,1836304
http://islam.ru/,REL,Religion,2014-04-15,citizenlab,,259589
https://vse.kz/,GRP,Social Networking,2014-04-15,citizenlab,,1890284
http://www.as-ansar.com/,NEWS,News Media,2014-04-15,citizenlab,,1586754
https://ct.kz/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,,10954664
https://www.cars.com/,CTRL,Control content,2014-04-15,citizenlab,,10626
https://www.award.kz/,CULTR,Culture,2014-04-15,citizenlab,,3695114
https://bureau.kz/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,1454973
https://dknews.kz/,NEWS,News Media,2014-04-15,citizenlab,,283051
https://kursiv.kz/,NEWS,News Media,2014-04-15,citizenlab,business news,884612
https://www.liveinternet.ru/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Russian blog platform blocked 2011-2015 for critical political posts,1603
http://www.kstu.kz/,CULTR,Culture,2014-04-15,citizenlab,Technical university site,1924313
http://www.kazrena.kz/,ECON,Economics,2014-04-15,citizenlab,,19656733
http://www.toiganbayev.kz/,GOVT,Government,2014-04-15,citizenlab,site of Kazakh polititian,3194850
http://www.better.kz/,NEWS,News Media,2014-04-15,citizenlab,,4801855
