url,category_code,category_description,date_added,source,notes,rank
http://www.aswatmag.com/,LGBT,LGBT,2014-04-15,citizenlab,,4168573
http://arabtimes.com/,NEWS,News Media,2014-04-15,citizenlab,,1532969
https://www.answering-islam.org/,REL,Religion,2014-04-15,citizenlab,,46456
https://www.responsa.co.il/home.en-us.aspx/,REL,Religion,2014-04-15,citizenlab,,1575077
https://www.richarddawkins.net/,REL,Religion,2014-04-15,citizenlab,,25241
https://www.boi.org.il/heb/Pages/Homepage.aspx/,COMM,E-commerce,2014-04-15,citizenlab,,111443
http://www.faithfreedom.org/,REL,Religion,2014-04-15,citizenlab,,1411268
https://www.bet365.com/#/HO/,GMB,Gambling,2014-04-15,citizenlab,,31090
https://www.bbc.com/arabic/,NEWS,News Media,2014-04-15,citizenlab,,96
https://centerforinquiry.org/,REL,Religion,2014-04-15,citizenlab,,84524
https://isohunts.to/,FILE,File-sharing,2014-04-15,citizenlab,,4653501
https://www.torrentdownloads.me/,FILE,File-sharing,2014-04-15,citizenlab,,2192239
https://sports.bwin.com/en/sports/,GMB,Gambling,2014-04-15,citizenlab,,387888
http://www.casinoduliban.com.lb/,GMB,Gambling,2014-04-15,citizenlab,,11999399
https://www.fulltilt.uk/,GMB,Gambling,2014-04-15,citizenlab,,15199420
http://gate.ahram.org.eg/,NEWS,News Media,2014-04-15,citizenlab,,50023
https://www.gov.il/he/Departments/ministry_of_public_security/,GOVT,Government,2014-04-15,citizenlab,,5595
https://www.iaf.org.il/9202-he/IAF.aspx/,GOVT,Government,2014-04-15,citizenlab,,68242
http://www.isa.gov.il/sites/ISAEng/Pages/default.aspx/,GOVT,Government,2014-04-15,citizenlab,,494921
https://www.nsc.gov.il/he/Pages/default.aspx/,GOVT,Government,2014-04-15,citizenlab,,1831728
https://www.mod.gov.il/Pages/default.aspx/,GOVT,Government,2014-04-15,citizenlab,,179908
https://www.mossad.gov.il/Pages/default.aspx/,GOVT,Government,2014-04-15,citizenlab,,890676
