url,category_code,category_description,date_added,source,notes,rank
http://alsaha.com/,NEWS,News Media,2014-04-15,citizenlab,,2057452
http://angryarab.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,1449704
http://answering-islam.org/,REL,Religion,2014-04-15,citizenlab,,46456
http://arabic.cnn.com/,NEWS,News Media,2014-04-15,citizenlab,,41677
http://arabic.peopledaily.com.cn/,NEWS,News Media,2014-04-15,citizenlab,,7920468
http://beurgay.free.fr/,LGBT,LGBT,2014-04-15,citizenlab,,14684931
http://blogs.albawaba.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,3225737
http://gaymiddleeast.blogspot.com/,LGBT,LGBT,2014-04-15,citizenlab,,15735509
http://international.daralhayat.com/,NEWS,News Media,2014-04-15,citizenlab,,1559712
http://jeeran.com/blogs/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,985106
http://jsad.net/,CULTR,Culture,2014-04-15,citizenlab,,30778350
http://members.aol.com/alnour/,REL,Religion,2014-04-15,citizenlab,,19765
http://onearabworld.blog.com/,NEWS,News Media,2014-04-15,citizenlab,,9820552
http://rajaa.net/,CULTR,Culture,2014-04-15,citizenlab,,15818086
http://sijill.tripod.com/,POLR,Political Criticism,2014-04-15,citizenlab,,10097100
http://tibsty.com/index.php,POLR,Political Criticism,2014-04-15,citizenlab,,43390537
http://translate.sakhr.com/Sakhr/eLogin.aspx,COMT,Communication Tools,2014-04-15,citizenlab,,29881652
http://www.aawsat.com/,NEWS,News Media,2014-04-15,citizenlab,,32914
http://www.afp.com/afpcom/ar,NEWS,News Media,2014-04-15,citizenlab,,14815
http://www.ahewar.org/,POLR,Political Criticism,2014-04-15,citizenlab,,114240
http://www.akhbar-libya.com/,NEWS,News Media,2014-04-15,citizenlab,,4421287
http://www.akhbar-libyaonline.com/,POLR,Political Criticism,2014-04-15,citizenlab,,13836007
http://www.al-bab.com/,NEWS,News Media,2014-04-15,citizenlab,,63216
http://www.alalam.ir/,NEWS,News Media,2014-04-15,citizenlab,,79294
http://www.alarab.co.uk/,NEWS,News Media,2014-04-15,citizenlab,,169946
http://www.alarabiya.net/,NEWS,News Media,2014-04-15,citizenlab,,22270
http://www.albawaba.com/ar/countries/libya,NEWS,News Media,2014-04-15,citizenlab,,13550
http://www.alcoholreviews.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,170276
http://www.alfajraljadeedeng.com/,NEWS,News Media,2014-04-15,citizenlab,,7666682
http://www.alhesbah.org/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,15255873
http://www.allahsassurance.com/,REL,Religion,2014-04-15,citizenlab,,22041049
http://www.almanaralink.com/new/,POLR,Political Criticism,2014-04-15,citizenlab,,2176823
http://www.almanaralink.com/new/index.php,POLR,Political Criticism,2014-04-15,citizenlab,,2176823
http://www.almisbar.com/salam_trans_a.html,COMT,Communication Tools,2014-04-15,citizenlab,,5109588
http://www.alnaddy.com/,DATE,Online Dating,2014-04-15,citizenlab,,18248960
http://www.alquds.co.uk/,NEWS,News Media,2014-04-15,citizenlab,,94318
http://www.alsatoor.com/,NEWS,News Media,2014-04-15,citizenlab,,21058320
http://www.alt-libya.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,14225460
http://www.alzawag.com/,DATE,Online Dating,2014-04-15,citizenlab,,314567146
http://www.amin.org/,NEWS,News Media,2014-04-15,citizenlab,,250086
http://www.anhri.net/libya/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,169100
http://www.arabfaces.com/,DATE,Online Dating,2014-04-15,citizenlab,,314673216
http://www.arabhumanrights.org/,REL,Religion,2014-04-15,citizenlab,,3082221
http://www.arabicbible.com/,REL,Religion,2014-04-15,citizenlab,,47257
http://www.arabmail.de/,NEWS,News Media,2014-04-15,citizenlab,,13304157
http://www.arabo.com/,SRCH,Search Engines,2014-04-15,citizenlab,,6949423
http://www.araboo.com/,SRCH,Search Engines,2014-04-15,citizenlab,,2761307
http://www.arabsdir.com/,SRCH,Search Engines,2014-04-15,citizenlab,,-1
http://www.arabsgate.com/,COMT,Communication Tools,2014-04-15,citizenlab,,9386816
http://www.atf.org.jo/,POLR,Political Criticism,2014-04-15,citizenlab,,8546369
http://www.avoda.org.il/,GOVT,Government,2014-04-15,citizenlab,,6926120
http://www.ayna.com/,SRCH,Search Engines,2014-04-15,citizenlab,,5838260
http://www.azzaman.com/,NEWS,News Media,2014-04-15,citizenlab,,82057
http://www.bahai-faith.org/,REL,Religion,2014-04-15,citizenlab,,8903720
http://www.bahai.com/,REL,Religion,2014-04-15,citizenlab,,136845
http://www.banatal3arab.com/,PORN,Pornography,2014-04-15,citizenlab,,314837100
http://www.bbc.co.uk/arabic/,NEWS,News Media,2014-04-15,citizenlab,,57
http://www.bulkwines.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,-1
https://www.cia.gov/cia/publications/factbook/geos/ly.html,GOVT,Government,2014-04-15,citizenlab,,6063
http://www.coptic.net/EncyclopediaCoptica/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,98632
http://www.cpj.org/index.html,HUMR,Human Rights Issues,2014-04-15,citizenlab,,12779
http://www.crin.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,69232
http://www.dolcefood.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,-1
http://www.drinkoftheweek.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,238969
http://www.elaph.com/,NEWS,News Media,2014-04-15,citizenlab,,70561
http://www.euromedrights.net/pages/2/page/language/3,HUMR,Human Rights Issues,2014-04-15,citizenlab,,3459841
http://www.eyoon.com/,SRCH,Search Engines,2014-04-15,citizenlab,,8718793
http://www.ezawaj.com/,DATE,Online Dating,2014-04-15,citizenlab,,20860192
http://www.fredericks.com/,PROV,Provocative Attire,2014-04-15,citizenlab,,165409
http://www.freearabvoice.org/,POLR,Political Criticism,2014-04-15,citizenlab,,4045882
http://www.freedomhouse.org/template.cfm?page=1,HUMR,Human Rights Issues,2014-04-15,citizenlab,,10880
http://www.gayarab.org/,LGBT,LGBT,2014-04-15,citizenlab,,27756975
http://www.gaylebanon.info/,LGBT,LGBT,2014-04-15,citizenlab,,16802233
http://www.gaytelaviv.com/,LGBT,LGBT,2014-04-15,citizenlab,,31030077
http://www.glas.org/,LGBT,LGBT,2014-04-15,citizenlab,,315326
http://www.godhatesfags.com/,HATE,Hate Speech,2014-04-15,citizenlab,,90854
http://www.google.ae/,SRCH,Search Engines,2014-04-15,citizenlab,,6147
http://www.google.com.sa/,SRCH,Search Engines,2014-04-15,citizenlab,,10624
http://www.goslingsrum.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,386295
http://www.haaretz.co.il/,NEWS,News Media,2014-04-15,citizenlab,,5504
http://www.hadash.org.il/,POLR,Political Criticism,2014-04-15,citizenlab,,2290664
http://www.heretical.com/,HATE,Hate Speech,2014-04-15,citizenlab,,84042
http://www.hrea.org/ar/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,115393
http://www.hrria.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,25033362
http://www.idf.il/,GOVT,Government,2014-04-15,citizenlab,,28744
http://www.ikhwan.net/vb/,POLR,Political Criticism,2014-04-15,citizenlab,,4158481
http://www.ikhwanweb.com/,POLR,Political Criticism,2014-04-15,citizenlab,,64742
http://www.israel.com/,GOVT,Government,2014-04-15,citizenlab,,4726723
http://www.jadal.org/?page_id=5,POLR,Political Criticism,2014-04-15,citizenlab,,15700052
http://www.jockey.com/,PROV,Provocative Attire,2014-04-15,citizenlab,,407145
http://www.justice4libya.com/,POLR,Political Criticism,2014-04-15,citizenlab,,20288727
http://www.kelma.org/kelmaghreb.htm,LGBT,LGBT,2014-04-15,citizenlab,,4988909
http://www.knesset.gov.il/,GOVT,Government,2014-04-15,citizenlab,,57014
http://www.ladybwear.com/,PROV,Provocative Attire,2014-04-15,citizenlab,,47515201
http://www.lasenza.com/eng/index.cfm,PROV,Provocative Attire,2014-04-15,citizenlab,,411547
http://www.lcu-libya.co.uk/,POLR,Political Criticism,2014-04-15,citizenlab,,24809655
http://www.libya-al-mostakbal.org/,POLR,Political Criticism,2014-04-15,citizenlab,,2173117
http://www.libya-alhora.com/forum/index.php,POLR,Political Criticism,2014-04-15,citizenlab,,16468351
http://www.libya-almostakbal.com/,NEWS,News Media,2014-04-15,citizenlab,,23160528
http://www.libya-alyoum.com/,NEWS,News Media,2014-04-15,citizenlab,,3240221
http://www.libya-watanona.com/,NEWS,News Media,2014-04-15,citizenlab,,1293951
http://www.libya4ever.com/,POLR,Political Criticism,2014-04-15,citizenlab,,23912220
http://www.libyadaily.com/,NEWS,News Media,2014-04-15,citizenlab,,16324638
http://www.libyaeye.net/,NEWS,News Media,2014-04-15,citizenlab,,322808202
http://www.libyaforum.org/,POLR,Political Criticism,2014-04-15,citizenlab,,6812758
http://www.libyamazigh.org/,POLR,Political Criticism,2014-04-15,citizenlab,,11218597
http://www.libyanconstitutionalunion.net/,POLR,Political Criticism,2014-04-15,citizenlab,,1718612
http://www.libyanfsl.com/,POLR,Political Criticism,2014-04-15,citizenlab,,3690829
http://www.light-of-life.com/,REL,Religion,2014-04-15,citizenlab,,3688379
http://www.likud.org.il/,GOVT,Government,2014-04-15,citizenlab,,70825
http://www.mahjoob.com/,NEWS,News Media,2014-04-15,citizenlab,,3274425
http://www.maktoob.com/,COMT,Communication Tools,2014-04-15,citizenlab,,2356679
http://www.maktoobblog.com/,POLR,Political Criticism,2014-04-15,citizenlab,,5838864
http://www.martinlutherking.org/,HATE,Hate Speech,2014-04-15,citizenlab,,1641292
http://www.mengos.net/arabic/default.asp,POLR,Political Criticism,2014-04-15,citizenlab,,653748
http://www.meretz.org.il/,GOVT,Government,2014-04-15,citizenlab,,2144989
http://www.metransparent.net/spip.php?page=sommaire&lang=ar,POLR,Political Criticism,2014-04-15,citizenlab,,477068
http://www.mfa.gov.il/,GOVT,Government,2014-04-15,citizenlab,,21438
http://www.middle-east-online.com/libya,NEWS,News Media,2014-04-15,citizenlab,,49185
http://www.milta1980.co.uk/,PORN,Pornography,2014-04-15,citizenlab,,81668436
http://www.mixed-drink.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,11071936
http://www.modawanati.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,16133639
http://www.multaqa.org/arabic.php,POLR,Political Criticism,2014-04-15,citizenlab,,3942354
http://www.naseej.com/,SRCH,Search Engines,2014-04-15,citizenlab,,4651326
http://www.netarabic.com/vb/,PORN,Pornography,2014-04-15,citizenlab,,109561126
http://www.nextdrink.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,8206811
http://www.nicks.com.au/index.aspx?,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,169557
http://www.onehanesplace.com/,PROV,Provocative Attire,2014-04-15,citizenlab,,485782
http://www.raddadi.com/,SRCH,Search Engines,2014-04-15,citizenlab,,5615907
http://www.radiosawa.com/,NEWS,News Media,2014-04-15,citizenlab,,385763
http://www.refugees.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,77531
http://www.rezgar.com/,POLR,Political Criticism,2014-04-15,citizenlab,,5816737
http://www.rnw.nl/,NEWS,News Media,2014-04-15,citizenlab,,25389
http://www.ru4arab.ru/marry.htm,DATE,Online Dating,2014-04-15,citizenlab,,3575573
http://www.sami4.com/,SRCH,Search Engines,2014-04-15,citizenlab,,59882408
http://www.secretsinlace.com/,PROV,Provocative Attire,2014-04-15,citizenlab,,1837696
http://www.secularislam.org/,REL,Religion,2014-04-15,citizenlab,,1450707
http://www.taqrir.org/,NEWS,News Media,2014-04-15,citizenlab,,13998513
http://www.tarjem.com/,COMT,Communication Tools,2014-04-15,citizenlab,,15621018
http://www.tawalt.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,416112
http://www.tawhed.ws/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,1888617
http://www.the-good-way.com/,REL,Religion,2014-04-15,citizenlab,,9372023
http://www.thegrace.com/,REL,Religion,2014-04-15,citizenlab,,573363
http://www.thekoran.com/,REL,Religion,2014-04-15,citizenlab,,12828617
http://www.thenewlibya.com/,POLR,Political Criticism,2014-04-15,citizenlab,,20848554
http://www.tibsty.com/,POLR,Political Criticism,2014-04-15,citizenlab,,43390537
http://www.toystore.co.il/,GOVT,Government,2014-04-15,citizenlab,,27396904
http://www.us-israel.org/,GOVT,Government,2014-04-15,citizenlab,,90306
http://www.winebid.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,96750
http://www.x6x6.com/mdwnat/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,46290543
http://www.yandy.com/,PROV,Provocative Attire,2014-04-15,citizenlab,,344566
http://www.zawadj.net/,DATE,Online Dating,2014-04-15,citizenlab,,-1
https://sputnikarabic.ae/,NEWS,News Media,2023-04-24,test-lists.ooni.org contribution,,4990494
https://www.albawaba.com/,NEWS,News Media,2023-05-04,test-lists.ooni.org contribution,,13550
