url,category_code,category_description,date_added,source,notes,rank
http://www.ircam.ma/,GOVT,Government,2014-04-15,citizenlab,The website of the Royal Institute of the Amazigh Culture is under a royal decree of King Mohammed VI (Dahir (royal decree) number 1-01-299),42152
http://www.amazighworld.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,The website has a whole section on human rights of amazigh in Morocco and its the most updated section,257552
http://www.saharalibre.es/,GOVT,Government,2014-04-15,citizenlab,"The website provides context, news and a forum for the Sahara issue",268237
http://www.profesionalespcm.org/,POLR,Political Criticism,2014-04-15,citizenlab,"The website description ""Web site for information, training, debate and revolutionary, multidisciplinary, ecologist, humanist, scientific, anti-capitalist and Marxist collective action of the NUCLEUS OF PROFESSIONALS AND TECHNICIANS of the Communist Party of Madrid -""",4466355
http://www.ahewar.org/,POLR,Political Criticism,2014-04-15,citizenlab,could be news and media but more its political criticism,114240
http://www.sg-ecam.org/,REL,Religion,2014-04-15,citizenlab,"This is website about catholic education in Morocco, schools, programs, history, activities, etc",4513448
http://www.mimouna.net/,REL,Religion,2014-04-15,citizenlab,"The website is about Jewish in Morocco history, tradition, culture, etc",685630
http://www.faithfreedom.org/,REL,Religion,2014-04-15,citizenlab,The website is anti Islam website,1411268
http://www.dioceserabat.org/,REL,Religion,2014-04-15,citizenlab,The website is CATHOLIC CHURCH IN MOROCCO,487435
http://www.bahai.com/,REL,Religion,2014-04-15,citizenlab,,136845
http://www.bahai-faith.org/,REL,Religion,2014-04-15,citizenlab,,8903720
http://www.intifadamay.com/,NEWS,News Media,2014-04-15,citizenlab,"The website covers news on the what it described as ""occupied land"" refering to western Sahara. The website was last saved on internet archive in December 2018 but currently the server is not functioning. ",16619148
http://www.sahara-occidental.com/,CULTR,Culture,2014-04-15,citizenlab,The website is not a media website but rather a documentation of the history behind the western Sahara in Morocco/ its also have not been updated since 2006,3660764
http://www.vastsahara.org/,POLR,Political Criticism,2014-04-15,citizenlab,This the website of Swedish Solidarity movenment with Western Sahara,23169316
https://www.vest-sahara.no/,POLR,Political Criticism,2014-04-15,citizenlab,The website is for Norwegian Solidarity movenment with Western Sahara,4137075
https://www.congres-mondial-amazigh.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,The website is for an NGO that promotes and defend amazigh rights,6131349
https://dafina.net/,REL,Religion,2014-04-15,citizenlab,The website is a network of Jewish Moroccons to meet and promote their culture,272694
https://www.alamana.org.ma/,ECON,Economics,2014-04-15,citizenlab,,7683662
https://www.pjd.ma/,POLR,Political Criticism,2014-04-15,citizenlab,,2996412
https://www.ikhwanonline.com/,POLR,Political Criticism,2014-04-15,citizenlab,,160643
https://attacmaroc.org/,POLR,Political Criticism,2014-04-15,citizenlab,,4229623
