url,category_code,category_description,date_added,source,notes,rank
http://lappeldugriot.mondoblog.org/,REL,Religion,2017-07-19,OONI partner,,15951094
http://www.religion-facts.com/,REL,Religion,2017-07-19,OONI partner,,499112
http://www.la-croix.com/,REL,Religion,2017-07-19,OONI partner,,15339
http://www.amnestymali.org/,HUMR,Human Rights Issues,2017-07-19,OONI partner,,7447376
http://www.vedura.fr/,ENV,Environment,2017-07-19,OONI partner,,2062980
http://www.siemenpuu.org/,ENV,Environment,2017-07-19,OONI partner,,2041235
http://www.cariassociation.org/,ENV,Environment,2017-07-19,OONI partner,,2144986
http://www.secheresse.info/,ENV,Environment,2017-07-19,OONI partner,,3727515
http://www.preventionweb.net/,ENV,Environment,2017-07-19,OONI partner,,24253
http://maliactu.net/,NEWS,News Media,2017-07-19,OONI partner,,96173
http://malijet.com/,NEWS,News Media,2017-07-19,OONI partner,,133221
http://www.journaldumali.com/,NEWS,News Media,2017-07-19,OONI partner,,348153
http://www.maliweb.net/,NEWS,News Media,2017-07-19,OONI partner,,69522
https://mediasaumali.wordpress.com/,NEWS,News Media,2017-07-19,OONI partner,,-1
http://www.kunafoni.com/,NEWS,News Media,2017-07-19,OONI partner,,6962017
http://www.abamako.com/,NEWS,News Media,2017-07-19,OONI partner,,4133396
https://www.rhhm.net/,NEWS,News Media,2017-07-19,OONI partner,,17230451
http://www.education.gouv.fr/,XED,Sex Education,2017-07-19,OONI partner,,21184
http://www.sante.gov.ml/,PUBH,Public Health,2017-07-19,OONI partner,,240483
http://www.who.int/countries/mli/fr/,PUBH,Public Health,2017-07-19,OONI partner,,125
http://www.portail-humanitaire.org/,PUBH,Public Health,2017-07-19,OONI partner,,3670003
http://www.keneya.net/,PUBH,Public Health,2017-07-19,OONI partner,,8081553
https://www.celibatairesduweb.com/,DATE,Online Dating,2017-07-19,OONI partner,,9923427
http://www.meetcrunch.com/,DATE,Online Dating,2017-07-19,OONI partner,,12369994
http://www.pointscommuns.com/,DATE,Online Dating,2017-07-19,OONI partner,,2366340
http://www.zoover.fr/,MMED,Media sharing,2017-07-19,OONI partner,,4496316
http://amisdumali.com/,MMED,Media sharing,2017-07-19,OONI partner,,5150213
