url,category_code,category_description,date_added,source,notes,rank
http://www.unodc.org/eastasiaandpacific/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,10744
https://www.burbrit.com/,ALDR,Alcohol & Drugs,2020-02-06,Kyaw,,19045228
http://myanmar-brewery.com/,ALDR,Alcohol & Drugs,2021-05-17,Netalitica,,9543577
https://drugsinc.eu/my/,ALDR,Alcohol & Drugs,2021-07-11,Netalitica,,973402
https://heinekenmyanmar.com/mm,ALDR,Alcohol & Drugs,2021-07-11,Netalitica,,46066460
http://bestrefer.atspace.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,,-1
http://myanmarbravo.com/,COMM,E-commerce,2016-10-17,MIDO,Myanmar Bravo Travel & Tour,22462064
http://www.edeliveryservicemm.com/,COMM,E-commerce,2016-10-17,MIDO,,95818687
http://www.pansodan.com/,COMM,E-commerce,2016-10-17,MIDO,Art Gallery,6213373
https://myanmartevolution.com/,COMM,E-commerce,2016-10-17,MIDO,Art Tour and Gallery,8957760
http://www.etrademyanmar.com.mm/,COMM,E-commerce,2016-10-18,MIDO,E Trade,40577907
http://www.mpt.com.mm/,COMM,E-commerce,2016-10-18,MIDO,Telecommunication Company,264532
https://ooredoo.com.mm/portal/en/index/,COMM,E-commerce,2016-10-18,MIDO,Telecommunication Company,91916
https://uab.com.mm/,COMM,E-commerce,2016-10-18,MIDO,United Amara Bank,219063
https://www.agdbank.com/,COMM,E-commerce,2016-10-18,MIDO,AGD Bank,6542454
https://www.ayabank.com/en_US/,COMM,E-commerce,2016-10-18,MIDO,Ayeyarwaddy Bank,3677606
https://www.carsdb.com/,COMM,E-commerce,2016-10-18,MIDO,Car Database for sale,12203458
https://www.cbbank.com.mm/en/,COMM,E-commerce,2016-10-18,MIDO,CB Bank,1299970
https://www.exploremyanmar.com/,COMM,E-commerce,2016-10-18,MIDO,Eco Tour,7326534
https://www.kbzbank.com/en/,COMM,E-commerce,2016-10-18,MIDO,KBZ Bank,70962
https://www.mobmyanmar.com/,COMM,E-commerce,2016-10-18,MIDO,MOB Bank,60952641
https://www.myanmar-housing.com/,COMM,E-commerce,2016-10-18,MIDO,Real Estate,10060579
https://www.naungmoon.com/,COMM,E-commerce,2016-10-18,MIDO,Exchange rate information,38415678
https://www.telenor.com.mm/,COMM,E-commerce,2016-10-18,MIDO,Telecommunication Company,87933
https://www.umfcci.com.mm/,COMM,E-commerce,2016-10-18,MIDO,Republic of the Union of Myanmar Federation of Chambers of Commerce and Industry,245740
https://www.visit-bagan.com/,COMM,E-commerce,2016-10-18,MIDO,Travel and Tour,3662738
https://www.bestbuy.com/,COMM,E-commerce,2017-04-10,OONI,Reported to be inaccessible in Myanmar,1005
https://www.wavemoney.com.mm/,COMM,E-commerce,2020-02-07,Kyaw,,239491
http://www.mumhouse.com/,COMM,E-commerce,2014-04-15,citizenlab,,12096356
https://chatesat.com/#/,COMM,E-commerce,2021-05-17,Netalitica,,14105486
https://oway.com.mm/,COMM,E-commerce,2021-05-17,Netalitica,,5817200
https://owayfresh.com/,COMM,E-commerce,2021-05-17,Netalitica,,41381576
https://www.citymall.com.mm/,COMM,E-commerce,2021-05-17,Netalitica,,33361805
https://www.flymna.com/,COMM,E-commerce,2021-05-17,Netalitica,,165318
https://www.imyanmarhouse.com/en/,COMM,E-commerce,2021-05-17,Netalitica,,1748310
https://www.onekyat.com/,COMM,E-commerce,2021-05-17,Netalitica,,1780918
http://www.365myanmar.com/,COMM,E-commerce,2021-05-24,Netalitica,,29955315
http://www.omyanmar.com/mm/,COMM,E-commerce,2021-05-24,Netalitica,,22993253
http://yangononlinestore.com/,COMM,E-commerce,2021-05-24,Netalitica,,130181778
https://kmdmart.com/,COMM,E-commerce,2021-05-24,Netalitica,,74607417
https://metro-wholesale.com.mm/page/home,COMM,E-commerce,2021-05-24,Netalitica,,-1
https://mymedicine.com.mm/mm/,COMM,E-commerce,2021-05-24,Netalitica,,32655867
https://realestate-myanmar.com/,COMM,E-commerce,2021-05-24,Netalitica,,133392669
https://spree.com.mm/,COMM,E-commerce,2021-05-24,Netalitica,,93942265
https://strategyfirst.edu.mm/,COMM,E-commerce,2021-05-24,Netalitica,,13395770
https://technoland.com.mm/,COMM,E-commerce,2021-05-24,Netalitica,,22213225
https://www.khitzay.com/,COMM,E-commerce,2021-05-24,Netalitica,,1693348
https://www.makromyanmar.com/en/,COMM,E-commerce,2021-05-24,Netalitica,,37415370
https://www.mogozay.com/,COMM,E-commerce,2021-05-24,Netalitica,,138314115
https://www.myanmarmandalayrealestate.com/,COMM,E-commerce,2021-05-24,Netalitica,,318099607
https://www.onepay.com.mm/,COMM,E-commerce,2021-05-24,Netalitica,,16260730
https://www.pro1globalhomecenter.com/,COMM,E-commerce,2021-05-24,Netalitica,,98493674
https://www.remaxonlineshop.com/,COMM,E-commerce,2021-05-24,Netalitica,,22225500
https://www.rgo47.com/,COMM,E-commerce,2021-05-24,Netalitica,,9861097
https://www.rocketonlineshopping.com/,COMM,E-commerce,2021-05-24,Netalitica,,33802294
https://www.shop.com.mm/,COMM,E-commerce,2021-05-24,Netalitica,,161438
https://www.shweproperty.com/,COMM,E-commerce,2021-05-24,Netalitica,,30937082
