url,category_code,category_description,date_added,source,notes,rank
http://123moviesfreez.com/,FILE,File-sharing,2017-06-23,OONI,Included in Mongolia's official blocklist,26385609
http://16honeys.com/,PORN,Pornography,2017-06-23,OONI,Included in Mongolia's official blocklist,26870350
https://www.news.mn/,NEWS,News Media,2017-06-23,OONI,,159051
http://medee.mn/,NEWS,News Media,2017-06-23,OONI,,2182612
http://www.caak.mn/,SRCH,Search Engines,2017-06-23,OONI,,545039
http://olloo.mn/,NEWS,News Media,2017-06-23,OONI,,494263
http://eagle.mn/,NEWS,News Media,2017-06-23,OONI,,5008488
http://www.shuud.mn/,NEWS,News Media,2017-06-23,OONI,,435154
http://sonin.mn/,NEWS,News Media,2017-06-23,OONI,,397763
http://www.24tsag.mn/,NEWS,News Media,2017-06-23,OONI,,4441995
http://mnb.mn/,NEWS,News Media,2017-06-23,OONI,,461797
http://paparatsi.mn/,CULTR,Culture,2017-06-23,OONI,,28907987
http://zone.mn/,NEWS,News Media,2017-06-23,OONI,,38951950
http://dorgio.mn/,NEWS,News Media,2017-06-23,OONI,,742499
http://time.mn/,NEWS,News Media,2017-06-23,OONI,,3655773
http://shuurhai.mn/,NEWS,News Media,2017-06-23,OONI,,8751958
http://zindaa.mn/,NEWS,News Media,2017-06-23,OONI,,9278264
http://mminfo.mn/,NEWS,News Media,2017-06-23,OONI,,9346232
http://everyday.mn/,NEWS,News Media,2017-06-23,OONI,,39012397
http://sharsonin.com/,NEWS,News Media,2017-06-23,OONI,,16094356
http://tsag.mn/,NEWS,News Media,2017-06-23,OONI,,3588405
http://ugluu.mn/,NEWS,News Media,2017-06-23,OONI,,528728
http://bolod.mn/,NEWS,News Media,2017-06-23,OONI,,6388993
http://goolingoo.mn/,SRCH,Search Engines,2017-06-23,OONI,,11833072
http://assa.mn/,NEWS,News Media,2017-06-23,OONI,,8458066
http://sportnews.mn/,NEWS,News Media,2017-06-23,OONI,,6463097
http://bataar.mn/,NEWS,News Media,2017-06-23,OONI,,756898
http://wikimon.mn/,NEWS,News Media,2017-06-23,OONI,,10976612
http://chuhal.mn/,NEWS,News Media,2017-06-23,OONI,,6604688
http://factnews.mn/,NEWS,News Media,2017-06-23,OONI,,2217486
http://undesten.mn/,NEWS,News Media,2017-06-23,OONI,,7311497
http://dnn.mn/,NEWS,News Media,2017-06-23,OONI,,3647915
http://unen.mn/,NEWS,News Media,2017-06-23,OONI,,1886292
http://mongolnews.mn/,NEWS,News Media,2017-06-23,OONI,,5542609
http://mglclub.com/,SRCH,Search Engines,2017-06-23,OONI,,11353832
http://orloo.info/,NEWS,News Media,2017-06-23,OONI,,16412046
http://vip76.mn/,NEWS,News Media,2017-06-23,OONI,,4779559
http://photonews.mn/,NEWS,News Media,2017-06-23,OONI,,9252832
http://shudarga.mn/,NEWS,News Media,2017-06-23,OONI,,685773
http://info.mn/,NEWS,News Media,2017-06-23,OONI,,6760731
http://mass.mn/,NEWS,News Media,2017-06-23,OONI,,5737919
http://mglradio.com/,NEWS,News Media,2017-06-23,OONI,,7362656
http://mnews.mn/,NEWS,News Media,2017-06-23,OONI,,35636152
http://gogo.mn/,SRCH,Search Engines,2017-06-23,OONI,,495618
http://www.ikon.mn/,NEWS,News Media,2017-06-23,OONI,,260470
http://www.smhric.org/,HUMR,Human Rights Issues,2017-06-23,OONI,,99444
https://www.hrw.org/asia/mongolia,HUMR,Human Rights Issues,2017-06-23,OONI,,2304
https://www.amnesty.org/en/countries/asia-and-the-pacific/mongolia/report-mongolia/,HUMR,Human Rights Issues,2017-06-23,OONI,,1860
http://mn-nhrc.org/eng/,HUMR,Human Rights Issues,2017-06-23,OONI,,6170767
https://www.amnestyusa.org/countries/mongolia/,HUMR,Human Rights Issues,2017-06-23,OONI,,4892
http://chrd.org.mn/,HUMR,Human Rights Issues,2017-06-23,OONI,,11471326
http://www.globeinter.org.mn/,HUMR,Human Rights Issues,2017-06-23,OONI,,4562879
http://www.equaldex.com/region/mongolia,LGBT,LGBT,2017-06-23,OONI,,70672
http://lgbtcentre.mn/,LGBT,LGBT,2017-06-23,OONI,,8161937
http://www.amjilt.com/,NEWS,News Media,2017-06-23,OONI,Blocked about 2 years ago,36828105
