url,category_code,category_description,date_added,source,notes,rank
http://4moslem.mail.everyone.net/,COMT,Communication Tools,2014-04-15,citizenlab,,-1
http://abdalladiery.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,-1
http://actume.org/,PUBH,Public Health,2014-04-15,citizenlab,,9243529
http://albrhan.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,59773771
http://allafrica.com/mauritania/,NEWS,News Media,2014-04-15,citizenlab,,11669
http://alsaha.com/,NEWS,News Media,2014-04-15,citizenlab,,2057452
http://angryarab.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,1449704
http://answering-islam.org/,REL,Religion,2014-04-15,citizenlab,,46456
http://answering-islam.org/Arabic/index.html,REL,Religion,2014-04-15,citizenlab,,46456
http://arabdl.com/,FILE,File-sharing,2014-04-15,citizenlab,,57979727
http://arabic.peopledaily.com.cn/,NEWS,News Media,2014-04-15,citizenlab,,7920468
http://ayaanhirsiali.web-log.nl/,NEWS,News Media,2014-04-15,citizenlab,,176341
http://ayaanhirsiali.web-log.nl/ayaanhirsiali/english/index.html,NEWS,News Media,2014-04-15,citizenlab,,176341
http://bbcarabic.com/,NEWS,News Media,2014-04-15,citizenlab,,1914129
http://blogs.albawaba.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,3225737
http://chbihpresident2007.bloguez.com/,POLR,Political Criticism,2014-04-15,citizenlab,,-1
http://confidentielmr.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,-1
http://contre-x.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,-1
http://countrystudies.us/mauritania/,NEWS,News Media,2014-04-15,citizenlab,,38185
http://eljoud.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,-1
http://fuuta.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,-1
http://games.do7a.com/,GAME,Gaming,2014-04-15,citizenlab,,-1
http://gayguide.net/,LGBT,LGBT,2014-04-15,citizenlab,,6020499
http://gayinkuwait.blogspot.com/,LGBT,LGBT,2014-04-15,citizenlab,,40548514
http://gayswithoutborders.wordpress.com/,LGBT,LGBT,2014-04-15,citizenlab,,4843007
http://hamidou-baba-kane.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,-1
http://ikhwanonline.org/,POLR,Political Criticism,2014-04-15,citizenlab,,11742077
http://jeeran.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,985106
http://jeeran.com/blogs/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,985106
http://lexicorient.com/mauritania/index.htm,NEWS,News Media,2014-04-15,citizenlab,,81879
http://members.aol.com/,POLR,Political Criticism,2014-04-15,citizenlab,,19765
http://members.aol.com/alnour/,REL,Religion,2014-04-15,citizenlab,,19765
http://members.aol.com/casmasalc/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,19765
http://members.lycos.co.uk/flamnet/,POLR,Political Criticism,2014-04-15,citizenlab,,40859
http://membres.lycos.fr/JournalRefus/,POLR,Political Criticism,2014-04-15,citizenlab,,53918
http://membres.lycos.fr/JournalRefus/dossier18.html,NEWS,News Media,2014-04-15,citizenlab,,53918
http://membres.lycos.fr/faas/,POLR,Political Criticism,2014-04-15,citizenlab,,53918
http://membres.lycos.fr/faas/alliance,POLR,Political Criticism,2014-04-15,citizenlab,,53918
http://membres.lycos.fr/faas/collectif-2,POLR,Political Criticism,2014-04-15,citizenlab,,53918
http://membres.lycos.fr/faas/dossier.html,HUMR,Human Rights Issues,2014-04-15,citizenlab,,53918
http://messaoud-ould-boulkheir.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,-1
http://metallicnaddou.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,12722714
http://mhmeyir.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,-1
http://mohamedtolba.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,-1
http://nakirah.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,-1
http://news.bbc.co.uk/2/hi/africa/4091579.stm,HUMR,Human Rights Issues,2014-04-15,citizenlab,,667
http://non-a-ould-dadah.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,-1
http://people.africadatabase.org/en/n/cty/fem/32/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,408361
http://pmde.hautetfort.com/,ENV,Environment,2014-04-15,citizenlab,,70653535
http://proxy1arabia.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,,-1
http://pub19.bravenet.com/chat/show.php/1622080083,NEWS,News Media,2014-04-15,citizenlab,,4393046
http://rossossois.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,-1
http://snesup.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,-1
http://soft.arabdl.com/,FILE,File-sharing,2014-04-15,citizenlab,,61639615
"http://tamazgha.fr/CERD-considers-report-of-Mauritania,941.html",HUMR,Human Rights Issues,2014-04-15,citizenlab,,438478
http://tasaly.ueuo.com/,GAME,Gaming,2014-04-15,citizenlab,,-1
http://today.reuters.com/,NEWS,News Media,2014-04-15,citizenlab,,32134
http://today.reuters.com/news/crisesmap.aspx?region=middleeast,NEWS,News Media,2014-04-15,citizenlab,,32134
http://www.14masom.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,9555722
http://www.3rbe.com/,FILE,File-sharing,2014-04-15,citizenlab,,18393115
http://www.3rbpro.com/,FILE,File-sharing,2014-04-15,citizenlab,,82050474
http://www.4eco.com/,ENV,Environment,2014-04-15,citizenlab,,14369100
http://www.6on6.com/,XED,Sex Education,2014-04-15,citizenlab,,-1
http://www.6on6.com/viewArt.php?id=124,XED,Sex Education,2014-04-15,citizenlab,,-1
http://www.acage.org/,NEWS,News Media,2014-04-15,citizenlab,,7683386
http://www.acsad.org/,ENV,Environment,2014-04-15,citizenlab,,2935218
http://www.afp.com/arabic/home/,NEWS,News Media,2014-04-15,citizenlab,,14815
http://www.afrik.com/,NEWS,News Media,2014-04-15,citizenlab,,90832
http://www.al-farook.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,-1
http://www.alajeeb.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,77420668
http://www.alakhbar.info/,NEWS,News Media,2014-04-15,citizenlab,,2647003
http://www.alalam.ir/,NEWS,News Media,2014-04-15,citizenlab,,79294
http://www.alarabiya.net/,NEWS,News Media,2014-04-15,citizenlab,,22270
http://www.albawaba.com/,NEWS,News Media,2014-04-15,citizenlab,,13550
http://www.alhadath.info/,NEWS,News Media,2014-04-15,citizenlab,,78376640
http://www.alhesbah.org/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,15255873
http://www.aljesr.nl/,NEWS,News Media,2014-04-15,citizenlab,,141263379
http://www.allahsassurance.com/,REL,Religion,2014-04-15,citizenlab,,22041049
