url,category_code,category_description,date_added,source,notes,rank
https://discomaulvi.wordpress.com/,CULTR,Culture,2014-04-15,citizenlab,,8450023
http://www.Vtunnel.info/,CULTR,Culture,2014-04-15,citizenlab,,80217697
http://www.hinduhumanrights.org/,CULTR,Culture,2014-04-15,citizenlab,,1646503
http://www.pmln.org.pk/,CULTR,Culture,2014-04-15,citizenlab,,5131764
http://www.unlock5.com/,CULTR,Culture,2014-04-15,citizenlab,,194816288
http://www.kalpoint.com/,ECON,Economics,2014-04-15,citizenlab,,14649668
http://www.pakistaneconomist.com/,ECON,Economics,2014-04-15,citizenlab,,97584
https://www.myleadsystempro.com/,ECON,Economics,2014-04-15,citizenlab,,1310476
http://www.bharat-rakshak.com/,GOVT,Government,2014-04-15,citizenlab,,70720
http://www.pppindia.com/,HACK,Hacking Tools,2014-04-15,citizenlab,,2114478
https://drawmohammedweek.blogspot.com/,HATE,Hate Speech,2014-04-15,citizenlab,,2358420
http://www.bibleprobe.com/muhammad-cartoons.htm,HATE,Hate Speech,2014-04-15,citizenlab,,302092
http://www.zombietime.com/mohammed_image_archive/,HATE,Hate Speech,2014-04-15,citizenlab,,76840
http://www.worldsindhicongress.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,2371727
http://www.sanalist.org/,MMED,Media sharing,2014-04-15,citizenlab,,9670561
http://www.balochunitedfront.org/,NEWS,News Media,2014-04-15,citizenlab,,21669604
http://www.hinduonnet.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,,51936
http://www.ipsnews.net/,NEWS,News Media,2014-04-15,citizenlab,,5017
https://www.thenewhumanitarian.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,28605
http://www.anonproxy.info/,PORN,Pornography,2014-04-15,citizenlab,,15443316
http://www.ayubmed.edu.pk/,PUBH,Public Health,2014-04-15,citizenlab,,1455679
http://www.zrombesh.org/,PUBH,Public Health,2014-04-15,citizenlab,,1609654
http://danishcartoons.ytmnd.com/,REL,Religion,2014-04-15,citizenlab,,25803236
http://www.askislam.org/,REL,Religion,2014-04-15,citizenlab,,679998
http://www.tanzeem.org/,REL,Religion,2014-04-15,citizenlab,,639360
http://www.pakquake.com/,CULTR,Culture,2014-04-15,citizenlab,,4688566
https://brobible.com/,CULTR,Culture,2014-04-15,citizenlab,,15972
http://koausa.org/index.html,GOVT,Government,2014-04-15,citizenlab,,125297
https://www.rferl.org/a/1069023.html,NEWS,News Media,2014-04-15,citizenlab,article on PK and neo-taliban dilemma,1894
http://anonymizer.nntime.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Blocked in Pakistan,6079328
http://anonymouse.ws/anonwww.html,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Blocked in Pakistan according to OONI,6194055
http://www.24Proxy.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,,29042080
http://www.24TopProxy.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,,28153913
http://www.24Traffic.info/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,,28332974
http://www.ProxyBoost.net/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,,30888562
http://www.ProxyButton.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,,43574677
http://www.SneakzorZ.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,,27430246
http://www.Vtunnel.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Blocked in Pakistan,952195
http://www.WizProxy.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,,30242490
