url,category_code,category_description,date_added,source,notes,rank
http://www.palestinefacts.org/,CULTR,Culture,2014-04-15,citizenlab,,120638
https://zionism-israel.com/,CULTR,Culture,2014-04-15,citizenlab,,88333
http://humum.net/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Removed deeplink,14224316
http://anhri.net/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,169100
http://angryarab.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,1449704
https://www.arab48.com/,NEWS,News Media,2014-04-15,citizenlab,,42159
https://www.bbc.com/arabic/,NEWS,News Media,2014-04-15,citizenlab,,96
https://pij.org/app.php/,NEWS,News Media,2014-04-15,citizenlab,,165559
http://almajd.net/,NEWS,News Media,2014-04-15,citizenlab,,4991201
http://www.freearabvoice.org/,POLR,Political Criticism,2014-04-15,citizenlab,,4045882
http://www.naughty.com/,PORN,Pornography,2014-04-15,citizenlab,,14819961
http://www.sharmota.com/,PORN,Pornography,2014-04-15,citizenlab,,91016604
http://www.thekoran.com/,REL,Religion,2014-04-15,citizenlab,,12828617
http://www.hadash.org.il/,POLR,Political Criticism,2014-04-15,citizenlab,,2290664
http://www.katib.org/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,9951681
http://www.pal-tahrir.info/,POLR,Political Criticism,2014-04-15,citizenlab,,9054311
http://freemuslim.org/,REL,Religion,2014-04-15,citizenlab,,9677376
http://www.yahosein.com/index.php/,REL,Religion,2014-04-15,citizenlab,,737685
http://www.casinoduliban.com.lb/,GMB,Gambling,2014-04-15,citizenlab,,11999399
https://gellerreport.com/,HATE,Hate Speech,2014-04-15,citizenlab,,876198
https://www.alalamtv.net/,NEWS,News Media,2014-04-15,citizenlab,,1554875
https://answering-islam.org/,REL,Religion,2014-04-15,citizenlab,,46456
https://bahai.com/,REL,Religion,2014-04-15,citizenlab,,136845
https://barenakedislam.com/,REL,Religion,2014-04-15,citizenlab,,969759
https://www.palestineremembered.com/,CULTR,Culture,2014-04-15,citizenlab,,42216
https://al-bushra.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,387055
https://www.kairospalestine.ps/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,460623
https://www.aswatgroup.org/,LGBT,LGBT,2014-04-15,citizenlab,,267200
https://www.moqawama.org/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,151674
https://www.ahewar.org/debat/nr.asp/,NEWS,News Media,2014-04-15,citizenlab,,114240
https://al-bab.com/,NEWS,News Media,2014-04-15,citizenlab,,63216
https://www.albawaba.com/,NEWS,News Media,2014-04-15,citizenlab,,13550
https://www.alquds.co.uk/,NEWS,News Media,2014-04-15,citizenlab,,94318
https://www.amad.ps/ar/,NEWS,News Media,2014-04-15,citizenlab,Blocked in the past,463063
https://www.anti-cair-net.org/,NEWS,News Media,2014-04-15,citizenlab,,1873402
https://elaph.com/,NEWS,News Media,2014-04-15,citizenlab,,70561
https://www.fateh-voice.ps/,NEWS,News Media,2014-04-15,citizenlab,,4194875
https://www.globes.co.il/,NEWS,News Media,2014-04-15,citizenlab,,15318
https://www.haaretz.co.il/,NEWS,News Media,2014-04-15,citizenlab,,5504
https://imemc.org/,NEWS,News Media,2014-04-15,citizenlab,,27646
https://www.jpost.com/,NEWS,News Media,2014-04-15,citizenlab,,2260
https://middle-east-online.com/,NEWS,News Media,2014-04-15,citizenlab,,49185
https://www.makorrishon.co.il/,NEWS,News Media,2014-04-15,citizenlab,,86196
https://www.radiosawa.com/,NEWS,News Media,2014-04-15,citizenlab,,385763
https://www.timesofisrael.com/,NEWS,News Media,2014-04-15,citizenlab,,5392
https://www.ynet.co.il/,NEWS,News Media,2014-04-15,citizenlab,,12879
https://www.ynetnews.com/,NEWS,News Media,2014-04-15,citizenlab,,15487
https://electronicintifada.net/,POLR,Political Criticism,2014-04-15,citizenlab,,17807
https://jstreet.org/,POLR,Political Criticism,2014-04-15,citizenlab,,74750
https://www.likud.org.il/,GOVT,Government,2014-04-15,citizenlab,,70825
https://www.shasnet.org.il/,POLR,Political Criticism,2014-04-15,citizenlab,,1570487
https://www.arabicbible.com/,REL,Religion,2014-04-15,citizenlab,,47257
https://the-good-way.com/,REL,Religion,2014-04-15,citizenlab,,9372023
https://www.thegrace.com/,REL,Religion,2014-04-15,citizenlab,,573363
http://www.momken.org/,CULTR,Culture,2016-11-12,Vecbox,,5696838
https://www.adalah.org/en/,HUMR,Human Rights Issues,2016-11-12,Vecbox,,58585
http://alqaws.org/siteEn/index/,LGBT,LGBT,2016-11-12,Vecbox,,199824
https://saraya.ps/,LGBT,LGBT,2016-11-12,Vecbox,,1651447
https://paltimes.net/,NEWS,News Media,2016-11-12,Vecbox,,2952202
https://paltoday.ps/ar/,NEWS,News Media,2016-11-12,Vecbox,,1300292
http://pnn.ps/,NEWS,News Media,2016-11-12,Vecbox,,412401
https://www.al-akhbar.com/,NEWS,News Media,2016-11-12,Vecbox,,30542
http://www.al-ayyam.com/,NEWS,News Media,2016-11-12,Vecbox,,2160458
http://www.alhaya.ps/,NEWS,News Media,2016-11-12,Vecbox,,4051643
http://www.alquds.com/,NEWS,News Media,2016-11-12,Vecbox,,918265
http://www.inlightpress.com/,NEWS,News Media,2016-11-12,Vecbox,Blocked in the past,3928879
http://www.karamapress.com/arabic/,NEWS,News Media,2016-11-12,Vecbox,Blocked in the past,3262059
http://www.manar.com/index-ar.html,NEWS,News Media,2016-11-12,Vecbox,,3797463
http://www.milad.ps/arb/,NEWS,News Media,2016-11-12,Vecbox,Blocked in the past,4404814
http://www.panet.co.il/index/,NEWS,News Media,2016-11-12,Vecbox,,161201
http://www.qudsn.ps/,NEWS,News Media,2016-11-12,Vecbox,,3936940
http://www.silwanic.net/,NEWS,News Media,2016-11-12,Vecbox,,1453806
https://abirkopty.wordpress.com/,POLR,Political Criticism,2016-11-12,Vecbox,,5078778
http://alresalah.ps/ar/,POLR,Political Criticism,2016-11-12,Vecbox,,2081522
https://canarymission.org/,POLR,Political Criticism,2016-11-12,Vecbox,,1414854
http://dflp-palestine.net/,POLR,Political Criticism,2016-11-12,Vecbox,Removed deeplink and left main one,2061910
https://hummusforthought.com/,NEWS,News Media,2016-11-12,Vecbox,,560760
https://ramallahbantustan.wordpress.com/,POLR,Political Criticism,2016-11-12,Vecbox,,5283323
http://www.karlremarks.com/,POLR,Political Criticism,2016-11-12,Vecbox,,1277229
https://www.opendemocracy.net/,POLR,Political Criticism,2016-11-12,Vecbox,,11979
https://raseef22.net/,NEWS,News Media,2016-11-12,Vecbox,,242438
https://www.alqassam.ps/arabic/,MILX,Terrorism and Militants,2016-11-12,Vecbox,,455647
https://7amleh.org/,HUMR,Human Rights Issues,2016-11-12,Vecbox,,1311331
https://www.alhaq.org/,HUMR,Human Rights Issues,2016-11-12,Vecbox,,138128
https://www.madacenter.org/,HUMR,Human Rights Issues,2016-11-12,Vecbox,,2313548
https://www.972mag.com/,NEWS,News Media,2016-11-12,Vecbox,,21537
https://alray.ps/ar/,NEWS,News Media,2016-11-12,Vecbox,,435568
https://mondoweiss.net/,NEWS,News Media,2016-11-12,Vecbox,,30594
https://www.almayadeen.net/,NEWS,News Media,2016-11-12,Vecbox,,117096
https://www.jadaliyya.com/,NEWS,News Media,2016-11-12,Vecbox,,40816
https://www.maannews.net/,NEWS,News Media,2016-11-12,Vecbox,,44905
https://www.palestinechronicle.com/,NEWS,News Media,2016-11-12,Vecbox,,53090
https://www.palestinemonitor.org/,NEWS,News Media,2016-11-12,Vecbox,I received a 500 error from Germany,161565
https://www.raya.ps/,NEWS,News Media,2016-11-12,Vecbox,,1494952
https://www.sonara.net/,NEWS,News Media,2016-11-12,Vecbox,,969786
https://www.wafa.ps/,NEWS,News Media,2016-11-12,Vecbox,,124081
https://al-awda.org/,POLR,Political Criticism,2016-11-12,Vecbox,,263310
https://assabeel.net/,NEWS,News Media,2016-11-12,Vecbox,,496390
https://pflp.ps/,POLR,Political Criticism,2016-11-12,Vecbox,,91757
https://www.aipac.org/,POLR,Political Criticism,2016-11-12,Vecbox,,57487
http://aqsatv.ps/,NEWS,News Media,2017-06-24,Vecbox,,2411284
https://felesteen.ps/,NEWS,News Media,2017-06-24,Vecbox,,1941603
http://palpress.co.uk/,NEWS,News Media,2017-06-24,Vecbox,,2547708
http://qudspress.com/,NEWS,News Media,2017-06-24,Vecbox,,1489299
http://safa.ps/,NEWS,News Media,2017-06-24,Vecbox,,1593780
http://shehab.ps/,NEWS,News Media,2017-06-24,Vecbox,,7119267
http://omamh.net/,NEWS,News Media,2017-06-24,Vecbox,,19338758
