url,category_code,category_description,date_added,source,notes,rank
https://pt.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,4916
https://en.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,5510
https://nl.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,4981
https://partidoalianca.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,7683352
https://www.bloco.org/,POLR,Political Criticism,2019-09-25,Anonymous,,2236229
https://fazsentido.cds.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,19917471
https://partidochega.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,4866891
https://www.cdu.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,4557006
https://iniciativaliberal.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,1708221
https://juntospelopovo.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,6310054
https://partidolivre.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,4364237
https://www.mas.org.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,7819373
https://noscidadaos.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,6745111
https://www.pan.com.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,1441918
https://www.lutapopularonline.org/,POLR,Political Criticism,2019-09-25,Anonymous,,6323135
https://pdr.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,7681423
https://www.pnr.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,2320246
https://www.cds.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,3261539
https://ppmonarquico.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,8003156
https://www.psd.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,132027
https://ps.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,1183152
https://www.partidotrabalhista.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,8486082
https://www.purp.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,6782915
https://mpt.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,5711221
https://www.partido-rir.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,8406955
http://www.cne.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,156312
https://www.recenseamento.mai.gov.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,4604388
https://www.eleicoes.mai.gov.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,387443
https://www.portaldoeleitor.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,3102050
https://www.sg.mai.gov.pt/AdministracaoEleitoral/Paginas/default.aspx/,POLR,Political Criticism,2019-09-25,Anonymous,,528534
https://www.tribunalconstitucional.pt/,POLR,Political Criticism,2019-09-25,Anonymous,,192026
