url,category_code,category_description,date_added,source,notes,rank
http://thiswebsitedoesnotexistyet.tumblr.com/,CTRL,Control content,2014-04-15,citizenlab,,-1
http://www.galilcol.ac.il/,CTRL,Control content,2014-04-15,citizenlab,,5805426
http://www.casinoduliban.com.lb/,GMB,Gambling,2014-04-15,citizenlab,,11999399
https://www.cia.gov/library/publications/the-world-factbook/geos/qa.html/,GOVT,Government,2014-04-15,citizenlab,,6063
http://humum.net/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,14224316
http://www.anhri.net/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,169100
http://www.freemuslim.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,9677376
http://arabic.peopledaily.com.cn/,NEWS,News Media,2014-04-15,citizenlab,,7920468
http://www.al-watan.com/,NEWS,News Media,2014-04-15,citizenlab,,1682669
http://www.chatqatar.com/,NEWS,News Media,2014-04-15,citizenlab,,39258364
http://www.danielpipes.org/,POLR,Political Criticism,2014-04-15,citizenlab,,55120
http://www.qatarsucks.com/,NEWS,News Media,2014-04-15,citizenlab,,8660028
http://www.qatarw.com/,NEWS,News Media,2014-04-15,citizenlab,,5430504
https://www.againstqatar.com/,POLR,Political Criticism,2014-04-15,citizenlab,Anti-Qatar campaign,-1
http://angryarab.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,1449704
http://www.ahewar.org/,POLR,Political Criticism,2014-04-15,citizenlab,,114240
http://www.bahai-faith.org/,REL,Religion,2014-04-15,citizenlab,,8903720
http://www.coptic.net/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,98632
http://www.light-of-life.com/,REL,Religion,2014-04-15,citizenlab,,3688379
http://www.yahosein.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,737685
https://sports.tumblr.com/,CTRL,Control content,2014-04-15,citizenlab,,29143243
https://religion.tumblr.com/,REL,Religion,2014-04-15,citizenlab,,59035714
https://answering-islam.org/,REL,Religion,2014-04-15,citizenlab,,46456
https://bahai.com/,REL,Religion,2014-04-15,citizenlab,,136845
https://www.bbc.com/arabic/,NEWS,News Media,2014-04-15,citizenlab,,96
https://www.alalamtv.net/,NEWS,News Media,2014-04-15,citizenlab,,1554875
https://arabic.cnn.com/,NEWS,News Media,2014-04-15,citizenlab,,41677
https://middleeasttransparent.com/en/,POLR,Political Criticism,2014-04-15,citizenlab,,571105
http://www.thequran.com/,REL,Religion,2014-04-15,citizenlab,,7313164
https://www.mossad.gov.il/default.aspx/,GOVT,Government,2014-04-15,citizenlab,,890676
https://www.childsrights.org/en/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,3573939
https://www.defendingwomen-defendingrights.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,455447
https://www.equalitynow.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,34784
https://gayguide.net/,LGBT,LGBT,2014-04-15,citizenlab,,6020499
https://gayguide.net/Middle_East/Qatar/,LGBT,LGBT,2014-04-15,citizenlab,,6020499
https://al-sharq.com/,NEWS,News Media,2014-04-15,citizenlab,,201978
https://www.albawaba.com/,NEWS,News Media,2014-04-15,citizenlab,,13550
https://www.alquds.co.uk/,NEWS,News Media,2014-04-15,citizenlab,,94318
https://www.anti-cair-net.org/,NEWS,News Media,2014-04-15,citizenlab,,1873402
https://elaph.com/,NEWS,News Media,2014-04-15,citizenlab,,70561
https://www.gulf-times.com/,NEWS,News Media,2014-04-15,citizenlab,,24642
https://middle-east-online.com/,NEWS,News Media,2014-04-15,citizenlab,,49185
https://www.moqawama.org/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,151674
https://www.qatarliving.com/,NEWS,News Media,2014-04-15,citizenlab,,37572
