url,category_code,category_description,date_added,source,notes,rank
https://www.thecabinsingapore.com.sg/,ALDR,Alcohol & Drugs,2021-07-09,Netalitica,substance recovery centre,11896434
https://alcohaul.sg/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,,6749660
https://www.alcoholdelivery.com.sg/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,,6861422
https://theboozyhub.com.sg/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,,97204136
https://cellarbration.com.sg/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,,6366209
https://www.paneco.com.sg/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,,338587
https://www.theliquorshop.com.sg/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,,17687155
https://www.primeliquor.sg/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,,7764057
https://winedelivery.sg/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,,18864492
https://www.winesnspirits.sg/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,,10375866
https://www.relxsg.com/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,,70743972
https://sgvape9.com/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,,70235099
http://www.the-cloak.com/anonymous-surfing-home.html,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,,1477885
https://vpnsingapore.co/,ANON,Anonymization and circumvention tools,2021-07-16,Netalitica,,13919639
https://www.privacy.com.sg/,ANON,Anonymization and circumvention tools,2021-07-16,Netalitica,,2705135
https://shopee.sg/,COMM,E-commerce,2021-06-26,Netalitica,,24868
https://www.lazada.sg/,COMM,E-commerce,2021-06-26,Netalitica,,145208
https://www.qoo10.sg/,COMM,E-commerce,2021-06-26,Netalitica,,583256
https://www.carousell.sg/,COMM,E-commerce,2021-06-26,Netalitica,,119543
https://grab.com/,COMM,E-commerce,2021-06-26,Netalitica,,10647
https://www.gojek.com/,COMM,E-commerce,2021-06-26,Netalitica,,20760
https://www.alibaba.com/,COMM,E-commerce,2021-07-09,Netalitica,,1636
https://sg.shein.com/,COMM,E-commerce,2021-07-09,Netalitica,,7488018
https://www.zalora.sg/,COMM,E-commerce,2021-07-09,Netalitica,,120645
https://www.shopify.com.sg/,COMM,E-commerce,2021-07-09,Netalitica,,1900760
https://www.ebay.com.sg/,COMM,E-commerce,2021-07-09,Netalitica,,904740
https://www.fairprice.com.sg/,COMM,E-commerce,2021-07-09,Netalitica,,22150
http://www.walla.com/,COMT,Communication Tools,2014-04-15,citizenlab,Israeli website,5843534
https://webbox.com/,COMT,Communication Tools,2014-04-15,citizenlab,,27017930
https://www.dialpad.com/,COMT,Communication Tools,2014-04-15,citizenlab,,15098
https://www.8x8.com/,COMT,Communication Tools,2021-07-01,Netalitica,,18761
https://counterpath.com/,COMT,Communication Tools,2021-07-01,Netalitica,,24096
https://id.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,11265
https://en.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,5510
https://ms.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,58646
https://ta.wikipedia.org/,CULTR,Culture,2021-07-01,Netalitica,Tamil-language Wikipedia (a minority language in Singapore),80999
https://www.substation.org/,CULTR,Culture,2021-07-01,Netalitica,,1458138
https://www.wildrice.com.sg/,CULTR,Culture,2021-07-01,Netalitica,,340541
http://www.poetry.sg/,CULTR,Culture,2021-07-01,Netalitica,,9117572
https://www.singlitstation.com/,CULTR,Culture,2021-07-01,Netalitica,,1952215
https://theprojector.sg/,CULTR,Culture,2021-07-01,Netalitica,,1891143
https://www.academia.sg/,CULTR,Culture,2021-07-01,Netalitica,,2109565
https://historyogi.org/,CULTR,Culture,2021-07-07,Netalitica,,32978507
https://socialservice.sg/,CULTR,Culture,2021-07-07,Netalitica,,1604510
https://mosg.tv/,CULTR,Culture,2021-07-09,Netalitica,,58357070
https://ourgrandfatherstory.com/,CULTR,Culture,2021-07-09,Netalitica,,6408389
https://www.ladyironchef.com/,CULTR,Culture,2021-07-09,Netalitica,,123589
https://danielfooddiary.com/,CULTR,Culture,2021-07-09,Netalitica,,105062
https://themeatmen.sg/,CULTR,Culture,2021-07-09,Netalitica,,582452
https://singaporefoodie.com/,CULTR,Culture,2021-07-09,Netalitica,,2326115
https://sethlui.com/,CULTR,Culture,2021-07-09,Netalitica,,201611
https://www.shout.sg/,CULTR,Culture,2021-07-09,Netalitica,,5377327
https://sgcafe.com/,CULTR,Culture,2021-07-09,Netalitica,,1497866
https://thehoneycombers.com/,CULTR,Culture,2021-07-09,Netalitica,,95362
https://www.booksactuallyshop.com/,CULTR,Culture,2021-07-09,Netalitica,,50887
https://epigrambookshop.sg/,CULTR,Culture,2021-07-09,Netalitica,,1847781
https://www.ethosbooks.com.sg/,CULTR,Culture,2021-07-09,Netalitica,,310629
https://www.gillmanbarracks.com/,CULTR,Culture,2021-07-09,Netalitica,,421232
https://mynahmag.com/,CULTR,Culture,2021-07-11,Netalitica,,11332393
https://thewokesalaryman.com/,CULTR,Culture,2021-07-11,Netalitica,,1273550
https://wares.noblogs.org/,CULTR,Culture,2021-07-12,Netalitica,,2440709
http://www.independentarchive.sg/,CULTR,Culture,2021-07-12,Netalitica,,19742946
https://oralhistoryproject.sg/,CULTR,Culture,2021-07-12,Netalitica,,33744618
https://www.muslimmatrimonial.com/,DATE,Online Dating,2014-04-15,citizenlab,,15315601
https://ashleymadison.com/,DATE,Online Dating,2021-06-26,Netalitica,Publicly banned by the government in 2013,22412
https://undertable.co/,DATE,Online Dating,2021-07-06,Netalitica,,11379122
https://kopidate.com/,DATE,Online Dating,2021-07-06,Netalitica,,1321033
https://www.apec.org/,ECON,Economics,2021-07-07,Netalitica,,16922
https://www.adb.org/,ECON,Economics,2021-07-07,Netalitica,,12930
https://www.commonwealthfund.org/,ECON,Economics,2021-07-07,Netalitica,,16806
https://www.businessgrants.gov.sg/,ECON,Economics,2021-07-09,Netalitica,,1276000
https://oursggrants.gov.sg/,ECON,Economics,2021-07-09,Netalitica,,1310242
https://www.beyond.org.sg/,ECON,Economics,2021-07-16,Netalitica,,3761383
https://onesingapore.org/,ECON,Economics,2021-07-16,Netalitica,,719326
https://www.habitat.org.sg/,ECON,Economics,2021-07-16,Netalitica,,1662606
https://www.giving.sg/,ECON,Economics,2021-07-16,Netalitica,,96317
https://www.wishingwell.org.sg/,ECON,Economics,2021-07-16,Netalitica,,7276031
https://www.worldvision.org.sg/,ECON,Economics,2021-07-16,Netalitica,,1284548
https://www.clubrainbow.org/,ECON,Economics,2021-07-16,Netalitica,,6650665
https://www.milk.org.sg/,ECON,Economics,2021-07-16,Netalitica,,11248126
https://www.touch.org.sg/,ECON,Economics,2021-07-16,Netalitica,,1318853
https://www.foodfromtheheart.sg/,ECON,Economics,2021-07-16,Netalitica,,2735238
https://www.aidha.org/,ECON,Economics,2021-07-16,Netalitica,,5307155
https://schemes.sg/,ECON,Economics,2021-07-22,Netalitica,,53577490
https://www.environmentaldefense.org/,ENV,Environment,2014-04-15,citizenlab,,74451
https://www.irn.org/,ENV,Environment,2014-04-15,citizenlab,,508981
https://www.sgclimaterally.com/,ENV,Environment,2021-06-26,Netalitica,,498971
https://climateconversations.sg/,ENV,Environment,2021-06-26,Netalitica,,8918855
https://thegreencollective.sg/,ENV,Environment,2021-06-26,Netalitica,,2341571
https://byobottlesg.com/,ENV,Environment,2021-06-26,Netalitica,,7920887
https://groundupinitiative.org/,ENV,Environment,2021-06-26,Netalitica,,606749
https://speakforclimate.github.io/,ENV,Environment,2021-07-07,Netalitica,,10397514
https://lepakinsg.wordpress.com/,ENV,Environment,2021-07-07,Netalitica,,15783478
https://www.pmhaze.org/,ENV,Environment,2021-07-07,Netalitica,,1078777
https://www.nss.org.sg/,ENV,Environment,2021-07-12,Netalitica,,76248
https://pirateproxy.space/,FILE,File-sharing,2021-07-23,Netalitica,,6421360
https://rutracker.org/,FILE,File-sharing,2021-07-23,Netalitica,,42252
https://katcr.co/,FILE,File-sharing,2021-07-23,Netalitica,,2384900
https://www.garena.sg/,GAME,Gaming,2021-06-26,Netalitica,,91753
https://runningwithscissors.com/,GAME,Gaming,2021-07-01,Netalitica,,386379
https://www.starbreeze.com/,GAME,Gaming,2021-07-15,Netalitica,Studio behind game formerly banned in Singapore,156674
https://www.bioware.com/,GAME,Gaming,2021-07-15,Netalitica,Studio behind game formerly banned in Singapore,70544
https://www.valvesoftware.com/,GAME,Gaming,2021-07-15,Netalitica,Studio behind game formerly banned in Singapore,13875
https://www.nexon.com/,GAME,Gaming,2021-07-15,Netalitica,,49903
https://www.maplesea.com/,GAME,Gaming,2021-07-15,Netalitica,,554397
https://genshin.mihoyo.com/,GAME,Gaming,2021-07-15,Netalitica,,44564
https://www.sea.playblackdesert.com/,GAME,Gaming,2021-07-15,Netalitica,,5363093
https://www.trionworlds.com/,GAME,Gaming,2021-07-15,Netalitica,,80856
https://www.tellmewhygame.com/,GAME,Gaming,2021-07-23,Netalitica,Game banned in Singapore,1460980
https://www.singaporepools.com.sg/,GMB,Gambling,2021-06-26,Netalitica,,209462
https://online-casino.com.sg/,GMB,Gambling,2021-07-11,Netalitica,,6343119
https://www.yes8sg.com/,GMB,Gambling,2021-07-11,Netalitica,,9060595
https://77betsg.com/,GMB,Gambling,2021-07-11,Netalitica,,7077416
https://eubetsg.com/,GMB,Gambling,2021-07-11,Netalitica,,16612081
https://www.asiabet.org/,GMB,Gambling,2021-07-14,Netalitica,,3171602
https://bet888win.net/,GMB,Gambling,2021-07-14,Netalitica,,28791884
https://22bets.me/,GMB,Gambling,2021-07-14,Netalitica,,10708673
https://1xsinga.com/,GMB,Gambling,2021-07-14,Netalitica,,79971136
https://20bet.com/,GMB,Gambling,2021-07-14,Netalitica,,3571193
https://www.bet365.com/,GMB,Gambling,2021-07-14,Netalitica,Foreign gambling site blocked in Singapore in 2015,31090
https://www.williamhill.com/,GMB,Gambling,2021-07-14,Netalitica,Foreign gambling site blocked in Singapore in 2015,59533
https://www.ladbrokes.com/,GMB,Gambling,2021-07-14,Netalitica,Foreign gambling site blocked in Singapore in 2015,1135853
https://www.unibet.com/,GMB,Gambling,2021-07-14,Netalitica,Foreign gambling site blocked in Singapore in 2015,84688
