url,category_code,category_description,date_added,source,notes,rank
http://awoko.org/,NEWS,News Media,2017-11-30,OONI partner,,242185
http://slconcordtimes.com/,NEWS,News Media,2017-11-30,OONI partner,,280303
http://standardtimespress.org/,NEWS,News Media,2017-11-30,OONI partner,,561366
http://www.globaltimes-sl.com/,NEWS,News Media,2017-11-30,OONI partner,,4236319
http://www.news.sl/,NEWS,News Media,2017-11-30,OONI partner,,262810
http://www.apctimes.com/,NEWS,News Media,2017-11-30,OONI,,11931895
http://cocorioko.net/,NEWS,News Media,2017-11-30,OONI,,427895
http://allafrica.com/sierraleone/,NEWS,News Media,2017-11-30,OONI,,11669
http://canvassnews.com/,NEWS,News Media,2017-11-30,OONI,,70288003
http://www.cottontreenews.org/,NEWS,News Media,2017-11-30,OONI,,10789178
http://www.expotimesonline.net/%20,NEWS,News Media,2017-11-30,OONI,,6518499
http://www.irinnews.org/Africa-Country.aspx?Country=SL,NEWS,News Media,2017-11-30,OONI,,21929
http://www.mjournalsl.org/,NEWS,News Media,2017-11-30,OONI,,67856493
http://www.newctzen.com/,NEWS,News Media,2017-11-30,OONI,,2068728
http://thenewrisingsun.net/,NEWS,News Media,2017-11-30,OONI,,822894
http://www.palmtreereports.com/index.php?lang=en,NEWS,News Media,2017-11-30,OONI,,34766361
http://www.thepatrioticvanguard.com/,NEWS,News Media,2017-11-30,OONI,,246200
http://www.peepsierraleone.com/,NEWS,News Media,2017-11-30,OONI,Independent satirical newspaper,37578567
http://salonepost.com/,NEWS,News Media,2017-11-30,OONI,,9197665
http://www.sierraexpressmedia.com/,NEWS,News Media,2017-11-30,OONI,,237715
http://www.sierraherald.com/,NEWS,News Media,2017-11-30,OONI,Newspaper focusing on human rights and political issues,2621009
http://www.sierraleonedailymail.com/,NEWS,News Media,2017-11-30,OONI,Government-owned newspaper,6194661
http://www.thesierraleonetelegraph.com/,NEWS,News Media,2017-11-30,OONI,"Covering social, political, and environmental issues",202569
http://www.sierraleonetimes.com/,NEWS,News Media,2017-11-30,OONI,,2662406
http://www.sierraleoneview.net/,NEWS,News Media,2017-11-30,OONI,,13873053
http://sierraleone365.com/,NEWS,News Media,2017-11-30,OONI,,642458
http://www.thisissierraleone.com/,NEWS,News Media,2017-11-30,OONI,,1531248
http://www.voice-of-binkongoh.info/,NEWS,News Media,2017-11-30,OONI,,4995899
https://www.amnesty.org/en/countries/africa/sierra-leone/report-sierra-leone/,HUMR,Human Rights Issues,2017-11-30,OONI,,1860
https://www.hrw.org/africa/sierra-leone,HUMR,Human Rights Issues,2017-11-30,OONI,,2304
https://www.state.gov/documents/organization/265510.pdf,HUMR,Human Rights Issues,2017-11-30,OONI,,786
http://www.hrcsl.org/,HUMR,Human Rights Issues,2017-11-30,OONI,,7681516
http://www.ohchr.org/EN/Countries/AfricaRegion/Pages/SLIndex.aspx,HUMR,Human Rights Issues,2017-11-30,OONI,,912
https://www.facebook.com/sierraleonepeoplesparty/,POLR,Political Criticism,2018-03-23,OONI,,1
https://electiondata.io/,POLR,Political Criticism,2018-03-23,OONI,,3004749
http://www.africanews.com/2018/03/23/sierra-leone-election-body-alleges-police-intimidation/,POLR,Political Criticism,2018-03-23,OONI,,24054
http://www.juliusmaadabio.net/,POLR,Political Criticism,2018-03-23,OONI,,12036518
https://www.facebook.com/Julius-Maada-Bio-263404117059657/,POLR,Political Criticism,2018-03-23,OONI,,1
http://www.thesierraleonetelegraph.com/shameful-confession-of-samura-kamara-shows-he-is-unfit-to-rule/,POLR,Political Criticism,2018-03-23,OONI,,202569
http://standardtimespress.org/?p=3117,POLR,Political Criticism,2018-03-23,OONI,,561366
http://www.thesierraleonetelegraph.com/open-letter-to-dr-samura-kamara-apc-presidential-candidate-2018/,POLR,Political Criticism,2018-03-23,OONI,,202569
http://www.nytimes.com/1999/02/14/magazine/sierra-leone-is-no-place-to-be-young.html,HUMR,Human Rights Issues,2018-03-23,OONI,,42
http://necsl2018.org/wp-content/uploads/2018/03/FINAL.pdf,POLR,Political Criticism,2018-03-23,OONI,,464037
http://necsl2018.org/parliamentary-election-progressive-results/,POLR,Political Criticism,2018-03-23,OONI,,464037
http://www.ifes.org/sites/default/files/2018_ifes_sierra_leone_general_elections_faqs_final.pdf,POLR,Political Criticism,2018-03-23,OONI,,51145
https://www.theguardian.com/world/2018/mar/21/sierra-leone-political-violence-tribal-rhetoric-rival-parties-face-runoff,POLR,Political Criticism,2018-03-23,OONI,,67
http://awoko.org/2017/03/14/sierra-leone-news-i-will-put-premium-on-health-and-education-femi-cole/,POLR,Political Criticism,2018-03-23,OONI,,242185
http://slconcordtimes.com/lone-female-presidential-candidate-urges-issues-based-voting/,POLR,Political Criticism,2018-03-23,OONI,,280303
http://awoko.org/2017/10/27/sierra-leone-news-unity-party-at-last/,POLR,Political Criticism,2018-03-23,OONI,,242185
http://ayvnews.com/AYVNews/index.php/opinion/item/4426-and-they-can-make-her-the-next-president,POLR,Political Criticism,2018-03-23,OONI,,684569
https://electiondata.io/resources/candidates/presidential/up/2018/olufemi-claudius-cole,POLR,Political Criticism,2018-03-23,OONI,,3004749
https://snradio.net/tag/election-2018/,POLR,Political Criticism,2018-03-23,OONI,,7382667
https://snradio.net/ooni-probe-mobile-app-ooni-chrdi/,POLR,Political Criticism,2018-03-23,OONI,,7382667
http://www.africanews.com/2018/03/07/sierra-leone-elections-police-raid-offices-of-main-opposition-candidate/,POLR,Political Criticism,2018-03-23,OONI,,24054
https://www.theguardian.com/global-development/2017/nov/21/sierra-leone-mudslide-survivors-eviction-emergency-shelters-aid,ENV,Environment,2018-03-23,OONI,,67
https://www.washingtonpost.com/world/africa/photos-of-a-deadly-mudslide-in-sierra-leone/2017/08/15/7acb1260-81f0-11e7-ab27-1a21a8e006ab_gallery.html,ENV,Environment,2018-03-23,OONI,,95
https://www.aljazeera.com/news/2017/08/sierra-leone-mudslides-kill-1000-170827205358504.html,ENV,Environment,2018-03-23,OONI,,1556
https://news.nationalgeographic.com/2017/08/sierra-leone-mudslide-deadly-video-spd/,ENV,Environment,2018-03-23,OONI,,2603
http://www.who.int/features/2012/cholera_sierra_leone/en/,PUBH,Public Health,2018-03-23,OONI,,125
http://www.who.int/mediacentre/news/releases/2017/sierra-leone-cholera-vaccination/en/,PUBH,Public Health,2018-03-23,OONI,,125
