url,category_code,category_description,date_added,source,notes,rank
http://afteegypt.org/,HUMR,Human Rights Issues,2017-10-15,citizenlab,,1272584
http://al-jana.org/,CULTR,Culture,2017-10-15,citizenlab,,6459744
http://albrhan.org/,HUMR,Human Rights Issues,2017-10-15,citizenlab,Muslim Shia Web site,59773771
http://alkhaleejonline.net/,NEWS,News Media,2017-10-15,citizenlab,Political news and views,310457
http://allafrica.com/,NEWS,News Media,2017-10-15,citizenlab,,11669
http://allbanaadir.com/,NEWS,News Media,2017-10-15,citizenlab,,20345444
http://allgalgaduud.com/,NEWS,News Media,2017-10-15,citizenlab,,12015689
http://allnabadqaad.com/,NEWS,News Media,2016-03-14,citizenlab,On leaked blocked list,33836175
http://allssc.com/,POLR,Political Criticism,2014-04-15,citizenlab,,808661
http://almayadeen.net/,NEWS,News Media,2017-10-15,citizenlab,,117096
http://alsaha.com/,NEWS,News Media,2017-10-15,citizenlab,Regional chatting forum,2057452
http://alsomal.net/,NEWS,News Media,2017-10-15,citizenlab,,10584621
http://aminarts.com/,NEWS,News Media,2017-10-15,citizenlab,,10045193
http://anaahor.blogspot.com/,REL,Religion,2017-10-15,citizenlab,Arab atheists,135188046
http://anbia.tripod.com/,REL,Religion,2017-10-15,citizenlab,,59706405
http://angryarab.blogspot.com/,POLR,Political Criticism,2017-10-15,citizenlab,Angery Arab blog,1449704
http://answer-islam.com/,REL,Religion,2017-10-15,citizenlab,,48478552
http://answering-islam.org/,REL,Religion,2017-10-15,citizenlab,Religious conversion commentary and criticism,46456
http://ar.wikishia.net/view/%D8%A7%D9%84%D8%B5%D9%81%D8%AD%D8%A9_%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A%D8%A9,HUMR,Human Rights Issues,2017-10-15,citizenlab,,8619315
http://arabanticorruption.org/,POLR,Political Criticism,2017-10-15,citizenlab,,11287764
http://arabatheistbroadcasting.com/,REL,Religion,2017-10-15,citizenlab,Arab atheists,7871280
http://arabel7ad.blogspot.com/,REL,Religion,2017-10-15,citizenlab,Arab atheists,10594250
http://arabgaypride.blogspot.com/,LGBT,LGBT,2017-10-15,citizenlab,,82511484
http://arabi21.com/,NEWS,News Media,2017-10-15,citizenlab,,83299
http://arabic.arabianbusiness.com/,NEWS,News Media,2017-10-15,citizenlab,,518708
http://arabic.peopledaily.com.cn/,NEWS,News Media,2017-10-15,citizenlab,Chinese Arabic newspaper,7920468
https://arabic.rt.com/,NEWS,News Media,2017-10-15,citizenlab,,67386
http://arabic.sputniknews.com/,NEWS,News Media,2017-10-15,citizenlab,Russian news agency,1277566
http://arabiclgbt.blogspot.com/,LGBT,LGBT,2017-10-15,citizenlab,,-1
https://arabwomenwork.wordpress.com/,HUMR,Human Rights Issues,2017-10-15,citizenlab,,59727881
http://asrararabiya.com/,POLR,Political Criticism,2017-10-15,citizenlab,,7264321
http://awdal.so/,POLR,Political Criticism,2014-04-15,citizenlab,,117802712
http://bahai-books.org/,REL,Religion,2017-10-15,citizenlab,Bahai faith group,40799611
http://bahai-devotions.org/,REL,Religion,2017-10-15,citizenlab,Bahai faith group,66735043
http://bahai-internet-services.org/,REL,Religion,2017-10-15,citizenlab,Bahai faith group,1917180
http://bahai-readings.org/,REL,Religion,2017-10-15,citizenlab,Bahai faith group,66739694
http://bahai-writings.org/,HUMR,Human Rights Issues,2017-10-15,citizenlab,Bahai faith group,96816418
http://baligubadlemedia.com/,POLR,Political Criticism,2014-04-15,citizenlab,,19470189
http://barwaaqo.org/,HUMR,Human Rights Issues,2017-10-15,citizenlab,,37989854
http://bbcarabic.com/,NEWS,News Media,2017-10-15,citizenlab,BBC Arabic,1914129
https://beerdhiga.com/,NEWS,News Media,2017-10-15,citizenlab,,23785795
http://boramanews.com/,NEWS,News Media,2017-10-15,citizenlab,,10085269
http://buhodle.net/,POLR,Political Criticism,2014-04-15,citizenlab,,-1
http://burcoonline.com/,NEWS,News Media,2017-10-15,citizenlab,,11308393
http://cakaaranews.com/,NEWS,News Media,2017-10-15,citizenlab,,5293936
http://calankamedia.com/,NEWS,News Media,2017-10-15,citizenlab,,21514645
http://carnegie-mec.org/,POLR,Political Criticism,2017-10-15,citizenlab,,48959
http://caynabanews.com/,NEWS,News Media,2017-10-15,citizenlab,,28074457
http://chouf-minorities.org/?lang=en,HUMR,Human Rights Issues,2017-10-15,citizenlab,Women rights,11076808
http://christian-dogma.com/,HUMR,Human Rights Issues,2017-10-15,citizenlab,,2357718
http://coomaad.com/,POLR,Political Criticism,2017-10-15,citizenlab,,184718399
http://curubo.com/,NEWS,News Media,2016-03-14,citizenlab,On leaked blocked list,86995930
http://dhacdo.com/,NEWS,News Media,2017-10-15,citizenlab,,23475211
https://diplomat.so/,NEWS,News Media,2017-10-15,citizenlab,,468879
http://efasom.org/,HUMR,Human Rights Issues,2017-10-15,citizenlab,,22701537
http://el7adarab.blogspot.com/,REL,Religion,2017-10-15,citizenlab,Arab atheists,-1
http://elmarsad.org/ar/,HUMR,Human Rights Issues,2017-10-15,citizenlab,Arab human rights monitor,10042590
http://elyon1.court.gov.il/eng/siyur/index.html,GOVT,Government,2017-10-15,citizenlab,Israel Supreme Court,129919
http://freecopts.net/,HUMR,Human Rights Issues,2017-10-15,citizenlab,,488856
http://fuck.com/,PORN,Pornography,2014-04-15,citizenlab,,5282729
http://gaarhaye.com/,POLR,Political Criticism,2017-10-15,citizenlab,,54600419
http://gabiley.net/,NEWS,News Media,2017-10-15,citizenlab,,18266606
http://garoweonline.com/,NEWS,News Media,2015-01-20,citizenlab,,61083
http://gay-uae.blogspot.com/,LGBT,LGBT,2017-10-15,citizenlab,,-1
http://gayguide.net/,LGBT,LGBT,2017-10-15,citizenlab,,6020499
http://gayswithoutborders.wordpress.com/,LGBT,LGBT,2017-10-15,citizenlab,,4843007
http://goobjoog.com/,HUMR,Human Rights Issues,2017-10-15,citizenlab,,156030
http://halbeegnews.com/,POLR,Political Criticism,2014-04-15,citizenlab,,51751155
http://harowo.com/,POLR,Political Criticism,2014-04-15,citizenlab,,666733
http://harvard.xxx/,PORN,Pornography,2014-04-15,citizenlab,,-1
http://heemaalnews.com/,POLR,Political Criticism,2014-04-15,citizenlab,,18020930
https://horseedmedia.net/,NEWS,News Media,2017-10-15,citizenlab,,264831
http://horufadhi.com/,POLR,Political Criticism,2014-04-15,citizenlab,,35135253
http://horumar.com/,NEWS,News Media,2017-10-15,citizenlab,,52724178
http://idalenews.com/,NEWS,News Media,2017-10-15,citizenlab,,3853324
http://iknowpolitics.org/,HUMR,Human Rights Issues,2017-10-15,citizenlab,Women rights,962656
http://il7adarabic.blogspot.com/,REL,Religion,2017-10-15,citizenlab,Arab atheists,-1
