url,category_code,category_description,date_added,source,notes,rank
https://www.dabangasudan.org/,NEWS,News Media,2017-07-17,Free Press Unlimited,,101605
http://radiotamazuj.org/,NEWS,News Media,2017-07-17,Free Press Unlimited,Reported to be blocked by South Sudan national communication authority on 2017-07-14,109751
http://www.sudantribune.com/,NEWS,News Media,2017-07-18,CIPIT,Reportedly blocked,41593
http://nyamile.com/,NEWS,News Media,2017-07-18,CIPIT,Reportedly blocked,3848405
http://www.alrakoba.net/,NEWS,News Media,2017-07-18,CIPIT,,2643147
http://www.southsudannewsagency.com/,NEWS,News Media,2017-07-18,CIPIT,,1474743
http://www.southsudannation.com/,NEWS,News Media,2017-07-18,CIPIT,Reportedly blocked,640042
http://www.ssudan.com/,NEWS,News Media,2017-07-18,CIPIT,,65215088
https://paanluelwel.com/,POLR,Political Criticism,2017-07-18,CIPIT,Reportedly blocked,480759
http://www.eyeradio.org/,NEWS,News Media,2018-01-23,TAHURID, Government threatened to shutdown,241031
http://hotinjuba.com/,NEWS,News Media,2018-01-23,TAHURID,,1891321
http://catholicradionetwork.org/,NEWS,News Media,2018-01-23,TAHURID,Some of its radio station were shut (Radio Bakhita),3653835
http://www.talkofjuba.com/,NEWS,News Media,2018-01-23,TAHURID,,3714081
http://cepo-southsudan.org/,POLR,Political Criticism,2018-01-23,TAHURID,,5536970
http://defyhatenow.net/,HATE,Hate Speech,2018-01-23,TAHURID,,7229983
https://unmiss.unmissions.org/radio-miraya-news,NEWS,News Media,2018-01-23,TAHURID,,493370
http://gurtong.net/,NEWS,News Media,2018-01-23,TAHURID,,94634
http://www.jubamonitor.com/,NEWS,News Media,2018-01-23,TAHURID,News being censored (Hard copies),2266099
http://www.citizen-news.net/,NEWS,News Media,2018-07-06,OONI,,5722301
http://www.thenationmirror.com/,NEWS,News Media,2018-07-06,OONI,,3943121
http://www.irinnews.org/,ECON,Economics,2018-07-06,OONI,,21929
https://www.bbc.co.uk/search?q=Sudan,NEWS,News Media,2018-07-06,OONI,,57
http://sora.akm.net.au/,CULTR,Culture,2018-07-06,OONI,,14319521
http://jubafilmfestival.info/,CULTR,Culture,2018-07-06,OONI,,19813440
