url,category_code,category_description,date_added,source,notes,rank
http://ambenatna.over-blog.com/,NEWS,News Media,2014-04-15,citizenlab,,4591652
https://chad.team.org/,REL,Religion,2016-08-05,OONI,,58389793
http://makaila.over-blog.com/,NEWS,News Media,2014-04-15,citizenlab,,6533145
http://minorityrights.org/minorities/southerners/,HUMR,Human Rights Issues,2016-08-05,OONI,,21216
http://rdpl.over-blog.com/,NEWS,News Media,2014-04-15,citizenlab,,6793595
http://tchadien.com/,NEWS,News Media,2016-08-05,OONI,,27047307
https://thewideninglens.wordpress.com/2015/08/20/whats-going-on-in-chad/,HUMR,Human Rights Issues,2016-08-05,OONI,,11243329
http://topics.nytimes.com/top/news/international/countriesandterritories/chad/index.html,NEWS,News Media,2016-08-05,OONI,,12960
http://www.afrik.com/tchad/,NEWS,News Media,2016-08-05,OONI,,90832
http://www.afrol.com/articles/29663,REL,Religion,2016-08-05,OONI,,111937
http://www.allafrica.com/chad/,NEWS,News Media,2016-08-05,OONI,,11669
http://www.alwihdainfo.com/,NEWS,News Media,2016-08-05,OONI,,288597
https://www.amnesty.org/en/documents/AFR20/007/2013/en/,HUMR,Human Rights Issues,2016-08-05,OONI,,1860
https://www.amnesty.org/en/latest/news/2013/10/chad-repressive-tactics-against-government-critics-must-come-end/,HUMR,Human Rights Issues,2016-08-05,OONI,,1860
http://www.bbc.com/news/world-africa-13164686,NEWS,News Media,2016-08-05,OONI,,96
http://www.charinews.com/,NEWS,News Media,2014-04-15,citizenlab,,64577747
http://www.christianaid.org/Interactive_World/countryPages/Chad.aspx,REL,Religion,2016-08-05,OONI,,2336098
http://www.everyculture.com/Bo-Co/Chad.html,CULTR,Culture,2016-08-05,OONI,,64898
https://www.facebook.com/UnicefChad/,HUMR,Human Rights Issues,2016-08-05,OONI,,1
https://www.fas.org/sgp/crs/row/RS22798.pdf,HUMR,Human Rights Issues,2016-08-05,OONI,,5888
https://www.giz.de/fachexpertise/downloads/giz2011-en-fgm-tschad.pdf,HUMR,Human Rights Issues,2016-08-05,OONI,,15008
http://www.gouvernementdutchad.org/,NEWS,News Media,2016-08-05,OONI,Government news,2049765
http://www.mission-chad.org/,REL,Religion,2016-08-05,OONI,,75165168
http://www.muslimconverts.com/converts/Sultan.htm,REL,Religion,2016-08-05,OONI,,3594691
http://www.nationsonline.org/oneworld/corruption.htm,POLR,Political Criticism,2016-08-05,OONI,,13681
http://www.nytimes.com/topic/destination/chad,NEWS,News Media,2016-08-05,OONI,,42
http://www.refugeelegalaidinformation.org/chad,HUMR,Human Rights Issues,2016-08-05,OONI,,192382
https://www.state.gov/j/drl/rls/irf/2011/af/192695.htm,REL,Religion,2016-08-05,OONI,,786
http://www.tchadactuel.com/,NEWS,News Media,2014-04-15,citizenlab,,2384959
http://www.tchadenligne.com/,NEWS,News Media,2014-04-15,citizenlab,,4903644
http://www.tchadforum.com/,NEWS,News Media,2016-08-05,OONI,,14224486
http://www.tchadoscopie.com/,NEWS,News Media,2014-04-15,citizenlab,,24407528
http://www.tradingeconomics.com/chad/corruption-index,POLR,Political Criticism,2016-08-05,OONI,,11965
https://www.transparency.org/research/cpi/overview,POLR,Political Criticism,2016-08-05,OONI,,5972
https://www.transparency.org/whatwedo/answer/overview_of_corruption_and_anti_corruption_in_chad,POLR,Political Criticism,2016-08-05,OONI,,5972
http://www.unicef.org/appeals/chad.html,HUMR,Human Rights Issues,2016-08-05,OONI,,725
http://www.unicef.org/infobycountry/chad.html,HUMR,Human Rights Issues,2016-08-05,OONI,,725
https://fr.sputniknews.africa/,NEWS,News Media,2023-04-24,test-lists.ooni.org contribution,,1460988
https://sputnikarabic.ae/,NEWS,News Media,2023-04-24,test-lists.ooni.org contribution,,4990494
