url,category_code,category_description,date_added,source,notes,rank
http://www.14tula.com/,CULTR,Culture,2014-04-15,citizenlab,14 October 1973 memorial (for 14 October B.E. 2516 demonstration) [th],11186778
https://www.asiasoft.net/,CULTR,Culture,2014-04-15,citizenlab,"Asia Soft, a computer games developer [en]",1437672
https://www.baanrak.com/,DATE,Online Dating,2014-04-15,citizenlab,"Dating, horoscope [th]",47926555
http://www.dateinasia.com/,DATE,Online Dating,2014-04-15,citizenlab,Date in Asia. A dating site. [en],10344576
http://www.thailove.com/,DATE,Online Dating,2014-04-15,citizenlab,Thai Dating website - in English language [en],60603760
http://www.tff.or.th/,ECON,Economics,2014-04-15,citizenlab,"Thai Fund Foundation, supports works of local and regional civil society groups",2649251
http://www.adeq.or.th/,ENV,Environment,2014-04-15,citizenlab,Association for the Development of Environmental Quality [th],11725372
https://biothai.net/,ENV,Environment,2014-04-15,citizenlab,"Biodiversity, sustainable agriculture, food sovereignty group [th] [en]",15267433
http://www.ecologyasia.com/,ENV,Environment,2014-04-15,citizenlab,Wildlife information in Souteast Asia - in English [en],124836
https://www.greenpeace.org/thailand/,ENV,Environment,2014-04-15,citizenlab,Greenpeace Thailand. Environment international NGO. [th],210
http://sathai.org/,ENV,Environment,2014-04-15,citizenlab,Sustainable Agriculture Foundation [th],11505407
https://www.seub.or.th/,ENV,Environment,2014-04-15,citizenlab,Seub Nakhasathien Foundation. One of the most prominent environment NGOs. Protection of forest. [th],7152020
http://www.tei.or.th/,ENV,Environment,2014-04-15,citizenlab,"Thai Environment Institute, a think tank [th] [en]",2575159
http://www.tei.or.th/tbcsd/,ENV,Environment,2014-04-15,citizenlab,Thai Business Council for Sustainable Development [th],2575159
http://www.thungyai.org/,ENV,Environment,2014-04-15,citizenlab,Foundation of Western Forest Complex Conservation [th],13511700
http://www.activeodds.com/,GMB,Gambling,2014-04-15,citizenlab,A sport betting site [en],56128856
https://www.betbrain.com/,GMB,Gambling,2014-04-15,citizenlab,A sport betting site [en],5246158
https://www.betdaq.com/,GMB,Gambling,2014-04-15,citizenlab,"A gambling and betting site, registred in Gibraltar. Operated by LC International Limited. [en]",4217885
https://www.bethelp.com/,GMB,Gambling,2014-04-15,citizenlab,A sport betting site. Owned and Operated by Asian Handicap. [en],18756270
https://pantip.com/,GRP,Social Networking,2014-04-15,citizenlab,Most popular online forum in Thailand. Upgraded to HTTPS in 2017.,24744
https://pantip.com/forum/rajdumnern/,GRP,Social Networking,2014-04-15,citizenlab,A section for political discussion in the most popular online forum in Thailand,24744
http://www.prachatalk.com/,GRP,Social Networking,2014-04-15,citizenlab,Web forum. Active in political topics but also include other topics like travel. [th],11833963
http://www.teenee.com/,GRP,Social Networking,2014-04-15,citizenlab,News and entertainment portal. Among top visited site in the country. [th],5932271
https://www.hostpacific.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,"HostPacific.com hosting service by Smile Interactive Co., Ltd. [th]",26840527
http://www.netdesignhost.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,NetDesign Host - web hosting service [th],8989164
http://www.bannok.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Rural teachers project by Mirror Foundation Chiang Rai [th],1158549
http://www.dekdek.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Hotline Center Foundation for family and teenage consultation [th],51647271
http://hirvikatu10.net/timeupthailand/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Anti-coup and campaign against the lese majeste law. Most recent update: 18 Sep 2011 (as of May 2020) [en],2846692
http://www.humanrights.asia/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Asian Human Rights Commission [en],121696
http://www.humanrights.asia/countries/thailand/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Asian Human Rights Commission - Thailand Latest News [en],121696
http://www.nhrc.or.th/,HUMR,Human Rights Issues,2014-04-15,citizenlab,National Human Rights Commission of Thailand [th] [en],4882635
http://www.onlinewomeninpolitics.org/thai/thaimain.htm/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Online women in politics - Thailand,251981
http://www.state.gov/g/drl/rls/hrrpt/2005/61628.htm/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,786
https://www.tcijthai.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Thai Civil Rights and Investigative Journalism (TCIJ) [th],253594
http://www.thaichildrights.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Center for the Protection of Children' Rights Foundation [th],12243770
https://www.thaiwomen.or.th/,HUMR,Human Rights Issues,2014-04-15,citizenlab,National Council of Woman of Thailand [th],12546310
http://womenforpeaceandjustice.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,International Women's Partnership for Peace and Justice [en],7688097
http://womenthai.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Foundation for Women (FFW) - working on human trafficking and human slavery [th],6612219
http://www.apsw-thailand.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Association for the Promotion of the Status of Women under the Royal Patronage of HRH Princess Soamsawali,10423547
http://www.bangkokrainbow.org/,LGBT,LGBT,2014-04-15,citizenlab,"Bangkok Rainbow LGBT news, activities, and education [th]",18253325
