url,category_code,category_description,date_added,source,notes,rank
http://angryarab.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,1449704
http://www.ahewar.org/,POLR,Political Criticism,2014-04-15,citizenlab,,114240
http://www.danielpipes.org/,POLR,Political Criticism,2014-04-15,citizenlab,,55120
http://www.verite-action.org/,POLR,Political Criticism,2014-04-15,citizenlab,,24815734
http://www.ansarweb.net/,REL,Religion,2014-04-15,citizenlab,,13069011
http://www.bahai-faith.org/,REL,Religion,2014-04-15,citizenlab,,8903720
http://www.light-of-life.com/,REL,Religion,2014-04-15,citizenlab,,3688379
http://www.yahosein.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,737685
http://www.coptic.net/EncyclopediaCoptica/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,98632
http://www.moncefmarzouki.com/,POLR,Political Criticism,2014-04-15,citizenlab,,516096
https://answering-islam.org/,REL,Religion,2014-04-15,citizenlab,,46456
https://bahai.com/,REL,Religion,2014-04-15,citizenlab,,136845
http://www.casinoduliban.com.lb/,GMB,Gambling,2014-04-15,citizenlab,,11999399
https://euromedrights.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,137114
https://arabic.cnn.com/,NEWS,News Media,2014-04-15,citizenlab,,41677
http://www.alhayat.com/,NEWS,News Media,2014-04-15,citizenlab,,111064
http://www.thequran.com/,REL,Religion,2014-04-15,citizenlab,,7313164
https://www.tarjem.com/,COMT,Communication Tools,2014-04-15,citizenlab,,15621018
https://www.business-humanrights.org/en/regions-countries/middle-east-no-africa/tunisia,HUMR,Human Rights Issues,2014-04-15,citizenlab,,14156
https://al-bab.com/,NEWS,News Media,2014-04-15,citizenlab,,63216
https://www.albawaba.com/,NEWS,News Media,2014-04-15,citizenlab,,13550
https://www.alquds.co.uk/,NEWS,News Media,2014-04-15,citizenlab,,94318
https://www.anti-cair-net.org/,NEWS,News Media,2014-04-15,citizenlab,,1873402
https://www.azzaman.com/,NEWS,News Media,2014-04-15,citizenlab,,82057
