url,category_code,category_description,date_added,source,notes,rank
http://kafkas.org.tr/,CULTR,Culture,2014-04-15,citizenlab,,443693
http://tayproject.org/,CULTR,Culture,2014-04-15,citizenlab,,487629
http://turkishculture.org/,CULTR,Culture,2014-04-15,citizenlab,,62932
http://www.egitimsen.org.tr/,ECON,Economics,2014-04-15,citizenlab,,2927130
http://www.ekonomistler.org.tr/,ECON,Economics,2014-04-15,citizenlab,,12877518
http://www.bugday.org/,ENV,Environment,2014-04-15,citizenlab,,1454719
https://www.chp.org.tr/,GOVT,Government,2014-04-15,citizenlab,,207967
https://www.cia.gov/library/publications/the-world-factbook/geos/tu.html/,GOVT,Government,2014-04-15,citizenlab,,6063
http://www.hurriyetdailynews.com/,NEWS,News Media,2014-04-15,citizenlab,,13879
http://kasaum.ankara.edu.tr/index_eng.htm/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,635261
http://twitter.com/KurdishRights/,HUMR,Human Rights Issues,2014-04-15,citizenlab,for control purposes,5
http://www.filmmor.org/default.asp/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,6433115
http://www.ka-der.org.tr/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,4168205
http://www.kadineserleri.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,6286661
http://www.kalder.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,7419798
http://www.kurdishherald.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,7484400
http://www.liberal.org.tr/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,3240138
http://www.mazlumder.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,585672
http://www.rightsagenda.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,636418
http://www.turkhukuksitesi.com/forumdisplay.php?f=101/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,5018228
http://www.turkhukuksitesi.com/hasta_haklari.php/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,5018228
http://www.turkhukuksitesi.com/kadin_haklari.php/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,5018228
http://www.ucansupurge.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,4045523
