url,category_code,category_description,date_added,source,notes,rank
http://100kwt.com/,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126,34719814
http://10svodok.su/,NEWS,News Media,2017-12-12,OONI,Included in blocklist: http://inau.ua/sites/default/files/file/1711/vhidnyy_no_243_vid_28.11.2017.pdf,19291890
http://1c.ru/,COMM,E-commerce,2018-02-23,igorv,Software company,84245
https://1plus1.ua/,NEWS,News Media,2017-09-28,igorv,Blocked in Eastern Ukraine,29143
https://1prime.ru/,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126,162960
http://1tvcrimea.ru/,NEWS,News Media,2018-02-23,igorv,,2540647
http://24tv.ua/,NEWS,News Media,2014-04-15,citizenlab,,23993
http://2ch.hk/,PORN,Pornography,2014-04-15,citizenlab,,29091
http://3a-pycb.livejournal.com/,CULTR,Culture,2014-04-15,citizenlab,,-1
http://6ott-mit-uns.livejournal.com/,CULTR,Culture,2014-04-15,citizenlab,,65519343
http://72.14.203.104/,SRCH,Search Engines,2014-04-15,citizenlab,,-1
http://72.14.203.104/search?hl=zh-CN&q=cache:http://www.sh.xcmc.com.cn/,SRCH,Search Engines,2014-04-15,citizenlab,,-1
http://a-burlaka.livejournal.com/,NEWS,News Media,2014-04-15,citizenlab,,72559844
http://a-osipoff.livejournal.com/,GOVT,Government,2014-04-15,citizenlab,,13223885
http://a-sadov.livejournal.com/,POLR,Political Criticism,2014-04-15,citizenlab,,70103355
http://abclider.com/,PORN,Pornography,2014-04-15,citizenlab,,80242926
http://abcnews.go.com/,NEWS,News Media,2014-04-15,citizenlab,,273
http://adengo.ru/,NEWS,News Media,2014-04-15,citizenlab,,11725567
https://admin-gorlovka.ru/,NEWS,News Media,2018-03-15,ksenia,Eastern Ukrainian website from the new ministry of information blocklist proposal,2672078
http://advisor.wmtransfer.com/,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126,445842
https://afisha.yandex.ru/moscow,CULTR,Culture,2017-12-16,oonitarian,sanction list,1422045
http://agroprom.msdnr.ru/,GOVT,Government,2018-05-28,ksenia,Order of the President of Ukraine 126,59524515
http://ags.demokratia.ru/,POLR,Political Criticism,2014-04-15,citizenlab,,3932569
http://alexabarboss.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,58614561
http://allcrimea.net/,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126,3229645
http://alstrangers.livejournal.com/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,-1
http://amnesty.org.ru/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,1151467
http://amvrosievka.dn.ua/,NEWS,News Media,2017-09-28,igorv,Blocked in Eastern Ukraine,23327445
http://anaitiss.livejournal.com/,GOVT,Government,2014-04-15,citizenlab,,7592778
http://anekdot-blogger.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,-1
http://anna-news.info/,NEWS,News Media,2017-12-12,OONI,Included in blocklist: http://inau.ua/sites/default/files/file/1711/vhidnyy_no_243_vid_28.11.2017.pdf,509063
http://another-kashin.livejournal.com/,GOVT,Government,2014-04-15,citizenlab,,11018755
http://antifashist.com/,NEWS,News Media,2017-12-12,OONI,Included in blocklist: http://inau.ua/sites/default/files/file/1711/vhidnyy_no_243_vid_28.11.2017.pdf,191530
http://antijob.mahost.org/,POLR,Political Criticism,2014-04-15,citizenlab,,26352347
http://antimaydan.info/,NEWS,News Media,2017-12-12,OONI,Included in blocklist: http://inau.ua/sites/default/files/file/1711/vhidnyy_no_243_vid_28.11.2017.pdf,2622357
http://arbitrage.webmoney.ru/,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126,1714849
http://arestant.msk.ru/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,33994823
https://artv-news.ru/,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126,3714996
https://auto.ru/,COMM,E-commerce,2017-12-16,oonitarian,sanctions list,100767
http://awvestnik.narod.ru/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,62112186
https://az.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,80673
http://azart.net.ua/,GMB,Gambling,2014-04-15,citizenlab,,19584835
http://azartplay.com/,GMB,Gambling,2014-04-15,citizenlab,,45738863
http://azatlyk-vatan.blogspot.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,8707857
http://bagnet.org/,NEWS,News Media,2014-04-15,citizenlab,,263266
http://balashov.com.ua/,NEWS,News Media,2014-04-15,citizenlab,,5412314
http://banking.guarantee.ru/,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126,17647346
http://banking.wmeuro.eu/,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126,17112295
https://banks.webmoney.ru/,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126,3635370
http://beon.ru/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,2165078
http://betway.com/,GMB,Gambling,2014-04-15,citizenlab,,91872
http://bh42.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,119366779
http://blacksea.tv/,NEWS,News Media,2017-09-28,igorv,Blocked in Eastern Ukraine,2945295
http://blog.i.ua/,NEWS,News Media,2014-04-15,citizenlab,,1903517
http://blog.kp.ru/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,2310845
http://blog.liga.net/,NEWS,News Media,2014-04-15,citizenlab,,1469187
http://blog.meta.ua/,NEWS,News Media,2014-04-15,citizenlab,,489220
http://blog.ru/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,1537245
http://blogroll.ru/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,69074768
http://blogs.kafanews.com/blog,NEWS,News Media,2014-04-15,citizenlab,,6825042
http://blogs.korrespondent.net/,NEWS,News Media,2014-04-15,citizenlab,,149347
http://blogs.lb.ua/,NEWS,News Media,2014-04-15,citizenlab,,2185549
http://blogs.mail.ru/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,1416251
http://blogs.pravda.com.ua/,NEWS,News Media,2014-04-15,citizenlab,,72512
http://blogs.privet.ru/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,456868
http://blogs.voanews.com/,NEWS,News Media,2014-04-15,citizenlab,,43006
http://blogs.wsj.com/,NEWS,News Media,2014-04-15,citizenlab,,1539
http://blogs.yandex.ru/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,874401
http://blogseo.ru/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,51297843
http://blogsochi.ru/,NEWS,News Media,2014-04-15,citizenlab,,1648825
http://bride.ru/,DATE,Online Dating,2014-04-15,citizenlab,,3771858
http://brttv.ru/,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126,66710519
http://buddhism.org.ru/,REL,Religion,2014-04-15,citizenlab,,3762515
http://buddhist.ru/,REL,Religion,2014-04-15,citizenlab,,3584880
http://buro-perevodov14.jino-net.ru/,COMT,Communication Tools,2014-04-15,citizenlab,,-1
http://c-eho.info/,NEWS,News Media,2018-03-15,ksenia,Crimean pro-Russian website from new ministry of information blocklist proposal,5862752
http://c-pravda.ru/,NEWS,News Media,2018-02-23,igorv,,1745150
http://cannabisnature.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,72064211
http://caseofpussyriot.livejournal.com/,NEWS,News Media,2014-04-15,citizenlab,,10393436
http://censor.net.ua/,NEWS,News Media,2014-04-15,citizenlab,,62593
https://censor.net.ua/,NEWS,News Media,2017-09-28,igorv,Blocked in Eastern Ukraine,62593
http://chadayev.livejournal.com/,GOVT,Government,2014-04-15,citizenlab,,14113227
http://chertog.livejournal.com/,GOVT,Government,2014-04-15,citizenlab,,61117580
http://childrenscinema.com/,MISC,Miscellaneous content,2014-04-15,citizenlab,,3951259
http://comitet.su/,NEWS,News Media,2018-02-23,igorv,,3658575
