url,category_code,category_description,date_added,source,notes,rank
http://aabtoursandtravel.com/,SRCH,Search Engines,2014-04-15,citizenlab,,14202962
http://acfode.org/,HUMR,Human Rights Issues,2016-08-06,OONI,,3848104
http://activists4change.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,7125410
http://andrewmwendasblog.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,2515382
http://blogs.monitor.co.ug/,MISC,Miscellaneous content,2014-04-15,citizenlab,,75674585
http://bros4bros.com/,LGBT,LGBT,2016-08-06,OONI,,11640008
http://campuser.net/,GRP,Social Networking,2016-08-06,OONI,,322644583
http://chimpreports.com/,MMED,Media sharing,2014-04-15,citizenlab,,125341
http://cpj.org/attacks06/africa06/uga06.html,NEWS,News Media,2014-04-15,citizenlab,,12779
http://dembefm.ug/,MISC,Miscellaneous content,2014-04-15,citizenlab,,29014509
http://dennismatanda.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,13962386
http://dioceseofnorthernuganda.blogspot.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,14279363
http://dpuganda.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,14091877
http://dying-communist.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,13125774
http://fdcuganda.org/,POLR,Political Criticism,2014-04-15,citizenlab,,434753
http://fedsnet.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,15897966
http://fsdinternational.org/country/uganda/envissues,ENV,Environment,2016-08-06,OONI,,477380
http://gayuganda.blogspot.com/,LGBT,LGBT,2014-04-15,citizenlab,,1521310
http://globalblogagainstaids.blogspot.com/,PUBH,Public Health,2014-04-15,citizenlab,,-1
http://hackersuganda.wordpress.com/,HACK,Hacking Tools,2014-04-15,citizenlab,,126533917
http://humanistuganda.wordpress.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,85921297
https://hurinet.or.ug/,HUMR,Human Rights Issues,2016-08-06,OONI,,5916159
http://huripec.mak.ac.ug/,HUMR,Human Rights Issues,2016-08-06,OONI,,5789721
http://imaginet.co.ug/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,48718191
https://infopoint.co.ug/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,114258816
http://invisiblechildren.com/,HUMR,Human Rights Issues,2016-08-06,OONI,,35809
http://jssozi.wordpress.com/,MISC,Miscellaneous content,2014-04-15,citizenlab,,9568875
http://kalinaki.blogspot.com/,MISC,Miscellaneous content,2014-04-15,citizenlab,,12842130
http://katwe.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,56481167
http://kawowo.com/,MMED,Media sharing,2014-04-15,citizenlab,,304564
http://kfm.co.ug/,MISC,Miscellaneous content,2014-04-15,citizenlab,,522535
http://killthebilluganda.blogspot.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,-1
http://mak.ac.ug/,MISC,Miscellaneous content,2014-04-15,citizenlab,,88781
http://maureenagena.wordpress.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,56929238
http://mingle2.com/countries/346/uganda,DATE,Online Dating,2016-08-06,OONI,,79852
http://mondaytimes.co.ug/,MISC,Miscellaneous content,2014-04-15,citizenlab,,4427845
http://nakedchiefs.com/,GRP,Social Networking,2014-04-15,citizenlab,,2557853
http://news.yahoo.com/uganda-frets-over-rebel-threat-congo-refugees-reach-164849460.html,GOVT,Government,2014-04-15,citizenlab,,345
http://ngoforum.or.ug/,HUMR,Human Rights Issues,2016-08-06,OONI,,2037557
http://northernugandapost.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,14342401
http://ntv.co.ug/,MISC,Miscellaneous content,2014-04-15,citizenlab,,173575
http://ntvuganda.co.ug/,MISC,Miscellaneous content,2014-04-15,citizenlab,,659506
http://observer.ug/,NEWS,News Media,2014-04-15,citizenlab,,75298
http://owerahbits.blogspot.com/,MISC,Miscellaneous content,2014-04-15,citizenlab,,7587058
http://pathwaystopeaceuganda.com/,HUMR,Human Rights Issues,2016-08-06,OONI,,4040475
http://pctechmag.com/,MMED,Media sharing,2014-04-15,citizenlab,,49357
https://plus.google.com/+ntvuganda/posts,COMT,Communication Tools,2014-04-15,citizenlab,,15
http://proggie.ug/,MMED,Media sharing,2014-04-15,citizenlab,,9881214
http://redpeppe.ipower.com/ibriefing.php?item=1,POLR,Political Criticism,2014-04-15,citizenlab,,126533901
http://sba.co.ug/,GAME,Gaming,2014-04-15,citizenlab,,21228168
https://securityinabox.org/,ANON,Anonymization and circumvention tools,2016-08-06,OONI,,166896
https://ssd.eff.org/,ANON,Anonymization and circumvention tools,2016-08-06,OONI,,13373
http://thepearlguide.co.ug/,SRCH,Search Engines,2014-04-15,citizenlab,,12693798
http://thinkafricapress.com/uganda/resurgent-adf-threatens-stability-great-lakes-region,GOVT,Government,2014-04-15,citizenlab,,106678
http://tortureinuganda.wordpress.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,-1
https://twitter.com/amamambabazi,POLR,Political Criticism,2014-04-15,citizenlab,,5
https://twitter.com/andrewmwenda,GRP,Social Networking,2014-04-15,citizenlab,,5
https://twitter.com/cobbo3,GRP,Social Networking,2014-04-15,citizenlab,,5
https://twitter.com/hackersuganda,GRP,Social Networking,2014-04-15,citizenlab,,5
https://twitter.com/kahindaotafiire,GRP,Social Networking,2014-04-15,citizenlab,,5
https://twitter.com/kalinaki,GRP,Social Networking,2014-04-15,citizenlab,,5
https://twitter.com/mugishamuntu,GRP,Social Networking,2014-04-15,citizenlab,,5
https://twitter.com/ntvuganda,GRP,Social Networking,2014-04-15,citizenlab,,5
https://twitter.com/otafiire_,GRP,Social Networking,2014-04-15,citizenlab,,5
https://twitter.com/rosebellk,MISC,Miscellaneous content,2014-04-15,citizenlab,,5
https://twitter.com/uwonet,HUMR,Human Rights Issues,2014-04-15,citizenlab,,5
http://udn.or.ug/,ECON,Economics,2014-04-15,citizenlab,,11337496
http://uganda.blogspirit.com/,NEWS,News Media,2014-04-15,citizenlab,,698568
http://ugandaforums.com/,GRP,Social Networking,2014-04-15,citizenlab,,319933868
http://ugandaletsgotravel.com/,SRCH,Search Engines,2014-04-15,citizenlab,,9560725
http://ugandansatheart.org/,GRP,Social Networking,2014-04-15,citizenlab,,5148501
http://ugandaradionetwork.com/a/,MMED,Media sharing,2014-04-15,citizenlab,,299310
http://ugandasafaritrail.com/,SRCH,Search Engines,2014-04-15,citizenlab,,91677409
http://ugandawatch.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,9430999
http://ugpulse.com/,CULTR,Culture,2014-04-15,citizenlab,,271002
http://ugpulse.com/ugandan-community/blogs/samsung/default.aspx,CULTR,Culture,2014-04-15,citizenlab,,271002
http://ugpulse.com/ugandan-community/forums/default.aspx,CULTR,Culture,2014-04-15,citizenlab,,271002
http://unstats.un.org/unsd/environment/envpdf/UNSD_UNEP_ECA%20Workshop/Uganda.pdf,ENV,Environment,2016-08-06,OONI,,5491
http://upcparty.net/,POLR,Political Criticism,2014-04-15,citizenlab,,492557
http://urbanlegendkampala.com/,MMED,Media sharing,2014-04-15,citizenlab,,9783050
http://whosoever.org/,LGBT,LGBT,2014-04-15,citizenlab,,405719
http://wwf.panda.org/who_we_are/wwf_offices/uganda/problems_uganda/,ENV,Environment,2016-08-06,OONI,,10639
http://www.aboutuganda.com/,SRCH,Search Engines,2014-04-15,citizenlab,,4304980
http://www.acholitoday.worldbreak.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,18901420
http://www.acme-ug.org/,NEWS,News Media,2014-04-15,citizenlab,,2333513
