url,category_code,category_description,date_added,source,notes,rank
https://newsmaven.io/indiancountrytoday/news/,NEWS,News Media,2018-06-08,RSF,,33455
http://thehill.com/,NEWS,News Media,2018-06-08,RSF,,1092
http://www.baltimoresun.com/,NEWS,News Media,2018-06-08,RSF,,5442
https://www.bostonglobe.com/,NEWS,News Media,2018-06-08,RSF,,585
http://www.chicagotribune.com/,NEWS,News Media,2018-06-08,RSF,,883
https://www.denverpost.com/,NEWS,News Media,2018-06-08,RSF,,4837
https://www.houstonchronicle.com/,NEWS,News Media,2018-06-08,RSF,,12074
http://www.miamiherald.com/,NEWS,News Media,2018-06-08,RSF,,5939
http://www.msnbc.com/,NEWS,News Media,2018-06-08,RSF,,5272
https://www.politico.com/,NEWS,News Media,2018-06-08,RSF,,533
https://www.sfchronicle.com/,NEWS,News Media,2018-06-08,RSF,,1128
https://pt.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,4916
https://www.breitbart.com/,NEWS,News Media,2019-05-29,Matomo,Site of right leaning political opposition,5552
https://shareblue.com/,NEWS,News Media,2019-05-29,Matomo,Site of left leaning political opposition,179825
https://www.openlynews.com/,LGBT,LGBT,2019-11-18,OutRight International,,78966
https://www.them.us/,LGBT,LGBT,2019-11-18,OutRight International,,20902
https://www.nbcnews.com/nbc-out,LGBT,LGBT,2019-11-18,OutRight International,,328
https://www.newsweek.com/queer-offensive-slur-855703,LGBT,LGBT,2019-11-18,OutRight International,,458
https://www.plannedparenthood.org/learn/sexual-orientation-gender,LGBT,LGBT,2019-11-18,OutRight International,,11075
https://editorial.rottentomatoes.com/guide/best-lgbt-movies-of-all-time/,LGBT,LGBT,2019-11-18,OutRight International,,26890
https://www.wright.edu/diversity-and-inclusion/culture-and-identity-centers/lgbtqa-affairs/international-lgbtqa-dates-to-know,LGBT,LGBT,2019-11-18,OutRight International,,37011
https://www.lgbtqnation.com/2018/10/heres-complete-list-lgbtq-holidays-commemorations-just-time-spirit-day/,LGBT,LGBT,2019-11-18,OutRight International,,20119
https://www.cdc.gov/features/blackhivaidsawareness/index.html,LGBT,LGBT,2019-11-18,OutRight International,,120
https://www.hiv.gov/events/awareness-days/black,LGBT,LGBT,2019-11-18,OutRight International,,23996
https://www.thetaskforce.org/national-gay-and-lesbian-task-force-the-national-coalition-for-lgbt-health-and-national-black-justice-coalition-celebrate-lgbt-health-awareness-week/,LGBT,LGBT,2019-11-18,OutRight International,,22365
https://hbr.org/2019/08/how-multinationals-can-help-advance-lgbt-inclusion-around-the-world,LGBT,LGBT,2019-11-18,OutRight International,,353
https://www.nbcnews.com/feature/nbc-out/two-weeks-five-states-advance-lgbtq-rights-n960421,LGBT,LGBT,2019-11-18,OutRight International,,328
https://www.humanityinaction.org/knowledge_detail/human-rights-diplomacy-amidst-world-war-lgbt-re-examining-western-promotion-of-lgbt-rights-in-light-of-the-traditional-values-discourse/,LGBT,LGBT,2019-11-18,OutRight International,,79288
https://www.openglobalrights.org/using-the-un-to-advance-lgbt-rights-in-china/,LGBT,LGBT,2019-11-18,OutRight International,,125476
https://www.hiv.gov/events/awareness-days/transgender,LGBT,LGBT,2019-11-18,OutRight International,,23996
https://www.japantimes.co.jp/news/2019/07/14/national/politics-diplomacy/lgbt-community-hopes-upper-house-election-will-spur-debate-advance-gay-rights-legislation/#.XZellS2ZNQI,LGBT,LGBT,2019-11-18,OutRight International,,2597
https://www.usatoday.com/story/news/nation/2017/10/19/cities-made-strides-2017-lgbt-rights-report-shows/777907001/,LGBT,LGBT,2019-11-18,OutRight International,,200
https://www.catalyst.org/wp-content/uploads/2019/01/Building_LGBT_Inclusive_Workplaces_Engaging_Organizations_and_Individuals_in_Change.pdf,LGBT,LGBT,2019-11-18,OutRight International,,17019
https://www.ft.com/content/6eef8a22-8efa-11e7-9580-c651950d3672,LGBT,LGBT,2019-11-18,OutRight International,,190
https://www.cnn.com/2019/03/05/us/tennessee-lgbt-bills-trnd/index.html,LGBT,LGBT,2019-11-18,OutRight International,,189
