url,category_code,category_description,date_added,source,notes,rank
https://radiopedal.uy/,NEWS,News Media,2017-04-13,Derechos Digitales,Alternative media,1748443
https://montevideoantiguo.net/,CULTR,Culture,2017-04-13,Derechos Digitales,,271729
https://wrm.org.uy/,ENV,Environment,2017-04-13,Derechos Digitales,,47088
https://www.redes.org.uy/,ENV,Environment,2017-04-13,Derechos Digitales,,2623852
https://www.elpais.com.uy/,NEWS,News Media,2017-04-13,Derechos Digitales,Mainstream media,35812
http://sdh.gub.uy/,HUMR,Human Rights Issues,2017-04-13,Derechos Digitales,,4851783
http://www.lr21.com.uy/,NEWS,News Media,2017-04-13,Derechos Digitales,,130249
http://www.republica.com.uy/,NEWS,News Media,2017-04-13,Derechos Digitales,Mainstream media,250807
http://www.mro.nuevaradio.org/,NEWS,News Media,2017-04-13,Derechos Digitales,Alternative media,36682432
http://elmuertoquehabla.blogspot.com/,NEWS,News Media,2017-04-13,Derechos Digitales,Alternative media,4041913
http://noticiasuruguayas.blogspot.com/,NEWS,News Media,2017-04-13,Derechos Digitales,Alternative media,31747609
http://federacionanarquistauruguaya.uy/,POLR,Political Criticism,2017-04-13,Derechos Digitales,,8375801
http://www.porro.com.uy/,ALDR,Alcohol & Drugs,2017-04-13,Derechos Digitales,,21565367
http://www.espectador.com/,NEWS,News Media,2017-04-13,Derechos Digitales,,146616
https://eltelegrafo.com/,NEWS,News Media,2017-04-13,Derechos Digitales,,310338
https://elheraldo.com.uy/,NEWS,News Media,2017-04-13,Derechos Digitales,,6987834
https://www.acj-ymca.org/,REL,Religion,2017-04-13,Derechos Digitales,,3760866
https://rojadirecta.me/,MMED,Media sharing,2017-04-13,Derechos Digitales,On April 2018 court ordered ISPs to block it.,1152314
https://rojadirectatv.tv/,MMED,Media sharing,2017-04-13,Derechos Digitales,On April 2018 court ordered ISPs to block it.,7608404
https://pt.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,4916
https://es.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,133539
https://es.wikisource.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,89988
https://www.elobservador.com.uy/,NEWS,News Media,2019-04-18,OONI,Mainstream Media,49792
https://ladiaria.com.uy/,NEWS,News Media,2019-04-18,OONI,Mainstream Media,91815
http://www.elbocon.com.uy/,NEWS,News Media,2019-04-18,OONI,Mainstream Media,23870081
http://www.cronicas.com.uy/,NEWS,News Media,2019-04-18,OONI,Mainstream Media,5001196
http://www.uypress.net/,NEWS,News Media,2019-04-18,OONI,Mainstream Media,426342
https://180.com.uy/,NEWS,News Media,2019-04-18,OONI,Mainstream Media,259935
https://mizangas.wordpress.com/,CULTR,Culture,2019-04-18,OONI,Grassroots Organization,60277785
http://www.bitacora.com.uy/,NEWS,News Media,2019-04-18,OONI,Alternative media,4294818
http://eltelescopio.com.uy/,NEWS,News Media,2019-04-18,OONI,Mainstream Media,4587714
https://periodicoanarquia.wordpress.com/,NEWS,News Media,2019-04-18,OONI,Alternative media,14621705
http://diariolajuventud.com/,NEWS,News Media,2019-04-18,OONI,Alternative media,9575297
http://www.laizquierdadiario.com.uy/,NEWS,News Media,2019-04-18,OONI,Alternative media,4435943
http://pcr.org.uy/,POLR,Political Criticism,2019-04-18,OONI,Political party,21768267
http://www.pcu.org.uy/,POLR,Political Criticism,2019-04-18,OONI,Political party,6335513
http://www.pvp.org.uy/,POLR,Political Criticism,2019-04-18,OONI,Political party,4052429
http://unioncivica.org.uy/,POLR,Political Criticism,2019-04-18,OONI,Political party,5180289
http://partidonacional.org.uy/,POLR,Political Criticism,2019-04-18,OONI,Political party,3225192
http://www.frenteamplio.org.uy/,POLR,Political Criticism,2019-04-18,OONI,Political party,2060952
http://partidocolorado.uy/,POLR,Political Criticism,2019-04-18,OONI,Political party,3672412
http://www.partidoindependiente.org.uy/,POLR,Political Criticism,2019-04-18,OONI,Political party,7258374
http://www.unidadpopular.org.uy/,POLR,Political Criticism,2019-04-18,OONI,Political party,22462047
http://www.ps.org.uy/,POLR,Political Criticism,2019-04-18,OONI,Political party,4778766
http://www.divas.com.uy/,PORN,Pornography,2019-04-18,OONI,Porn website,121145305
http://hijosuruguay.blogspot.com.uy/,CULTR,Culture,2019-04-18,OONI,Grassroots Organization,-1
http://desaparecidos.org.uy/,CULTR,Culture,2019-04-18,OONI,Grassroots Organization,6384596
http://losvamosaencontrar.blogspot.com.uy/,CULTR,Culture,2019-04-18,OONI,Grassroots Organization,74273233
http://casaafrouruguaya.org/,CULTR,Culture,2019-04-18,OONI,Grassroots Organization,12330634
http://www.contactosgayuruguay.com/,DATE,Online Dating,2019-04-18,OONI,Gay dating website,-1
http://www.gaysylesbianasdeuruguay.com/,CULTR,Culture,2019-04-18,OONI,LGTB Portal,37458355
http://www.alianzagayuruguay.com/,CULTR,Culture,2019-04-18,OONI,LGTB business organization,-1
https://social.undernet.uy/,GRP,Social Networking,2019-04-18,OONI,GNU social network,6323710
http://ovejasnegras.org/,CULTR,Culture,2019-04-18,OONI,Grassroots Organization,3813093
https://www.lgbtimontevideo2016.org/,LGBT,LGBT,2019-11-18,OutRight International,,7799401
https://sputniknews.lat/,NEWS,News Media,2023-04-24,test-lists.ooni.org contribution,,2110439
