url,category_code,category_description,date_added,source,notes,rank
http://fast-die.kiev.ua/,MISC,Miscellaneous content,2014-04-15,citizenlab,,19145724
http://www.shram.kiev.ua/,SRCH,Search Engines,2014-04-15,citizenlab,,2905160
http://fei.ru/,PORN,Pornography,2014-04-15,citizenlab,,47138508
https://psyplants.info/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,23086841
https://www.pictureview.com/,MMED,Media sharing,2014-04-15,citizenlab,,1692682
http://abclider.com/,PORN,Pornography,2014-04-15,citizenlab,File-sharing platform for porn,80242926
http://diplomaticsecondpassport.com/,COMM,E-commerce,2014-04-15,citizenlab,English site about getting dual citizenship,25522465
http://go-krit.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,17094693
http://seedjah.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,33884553
http://video-one.com/,PORN,Pornography,2014-04-15,citizenlab,,4200055
http://www.weedy.be/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,11874581
https://jahforum.org/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,52696393
http://www.bbc.com/kyrgyz/,NEWS,News Media,2017-07-19,BBC,,96
http://www.bbckyrgyz.com/,NEWS,News Media,2017-07-19,BBC,,22333802
http://birdamlik.info/,POLR,Political Criticism,2017-09-28,igorv,"blocked, outdated - keep monitoring",6450545
http://fromuz.com/,POLR,Political Criticism,2017-09-28,igorv,"blocked, outdated - keep monitoring",2056928
https://eltuz.com/,NEWS,News Media,2017-09-28,igorv,,6089846
http://ca-news.org/,NEWS,News Media,2017-09-28,igorv,,432082
http://harakat.net/,NEWS,News Media,2017-09-28,igorv,independent news - blocked,2734999
http://uzxalqharakati.com/,POLR,Political Criticism,2017-09-28,igorv,oppositional political movement of UZ,4898137
http://www.asiaterra.info/,NEWS,News Media,2017-09-28,igorv,blocked,2339723
http://www.fergananews.com/,NEWS,News Media,2017-09-28,igorv,archive of the news site. New address is: https://fergana.agency/,112135
http://www.uzmetronom.com/,NEWS,News Media,2017-09-28,igorv,,1596077
https://centre1.com/,NEWS,News Media,2017-09-28,igorv,,432511
https://jahonnoma.com/,POLR,Political Criticism,2017-09-28,igorv,,27608525
https://rus.ozodlik.org/,NEWS,News Media,2017-09-28,igorv,RFE/RL service for UZ in Russian,1594188
https://turonzamin.org/,POLR,Political Criticism,2017-09-28,igorv,,46719653
https://www.golos-ameriki.ru/,NEWS,News Media,2017-09-28,igorv,,32332
http://fikr.uz/,NEWS,News Media,2018-07-05,OONI,Reportedly blocked temporarily,10666420
https://kun.uz/,NEWS,News Media,2018-07-05,OONI,Reportedly blocked temporarily,26822
https://uzreport.uz/,NEWS,News Media,2018-07-05,OONI,Reportedly blocked temporarily. Not accessible - keep monitoring,4178016
https://kk.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,63022
https://ru.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,24944
https://tr.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,15853
https://uz.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,87545
https://uz.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,2807134
http://www.cnews.ru/,NEWS,News Media,2018-07-11,OONI,Reportedly blocked,46848
https://www.bbc.com/uzbek/,NEWS,News Media,2018-07-23,OONI,,96
http://bride.ru/,DATE,Online Dating,2019-05-25,Netalitica,,3771858
http://buddhist.ru/,REL,Religion,2019-05-25,Netalitica,,3584880
http://cameleo.xyz/,ANON,Anonymization and circumvention tools,2019-05-25,Netalitica,,9891977
http://compromat.ru/,NEWS,News Media,2019-05-25,Netalitica,,66049
http://donbass.ua/,NEWS,News Media,2019-05-25,Netalitica,Ukrainian news media,394453
http://eurasia.org.ru/,NEWS,News Media,2019-05-25,Netalitica,Central Asia regional news,2892563
http://flibusta.is/,MMED,Media sharing,2019-05-25,Netalitica,sharing books,339361
http://gaia.ru/,LGBT,LGBT,2019-05-25,Netalitica,,21100446
http://gamsoft.ru/,GMB,Gambling,2019-05-25,Netalitica,,43054542
http://gay.kz/,LGBT,LGBT,2019-05-25,Netalitica,,27278582
http://gazeta.ru/,NEWS,News Media,2019-05-25,Netalitica,Russian media outlet,15165
http://islam.plus/ru/,REL,Religion,2019-05-25,Netalitica,,6064589
http://islam.ru/,REL,Religion,2019-05-25,Netalitica,,259589
http://kinovolt.ru/,FILE,File-sharing,2019-05-25,Netalitica,,50577922
http://kinozal.tv/,FILE,File-sharing,2019-05-25,Netalitica,,923809
http://lurkmore.to/,CULTR,Culture,2019-05-25,Netalitica,Russia version of Wikipedia,46683
http://mega-intell.ru/,COMM,E-commerce,2019-05-25,Netalitica,,1549365
http://namba.kz/#!/,FILE,File-sharing,2019-05-25,Netalitica,,3022625
