url,category_code,category_description,date_added,source,notes,rank
http://fncancer.org.ve/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,2384090
https://futuropresente.com.ve/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,19782735
http://www.orinoco.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,3865981
http://cedema.org/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,290668
http://complotmagazine.com/,NEWS,News Media,2014-04-15,citizenlab,,14047467
http://dialogo-americas.com/,NEWS,News Media,2014-04-15,citizenlab,,266382
https://globovision.com/,NEWS,News Media,2014-04-15,citizenlab,supports https but as cloudflare error,84672
http://nmidigital.com/,NEWS,News Media,2014-04-15,citizenlab,,3687306
http://www.descifrado.com/,NEWS,News Media,2014-04-15,citizenlab,,904475
http://www.televen.com/,NEWS,News Media,2014-04-15,citizenlab,,288686
http://www.venezuelaawareness.com/,NEWS,News Media,2014-04-15,citizenlab,,1407411
https://alekboyd.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,http version blocked in some ISPs,645963
https://daniel-venezuela.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,1847154
https://lasarmasdecoronel.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,9471880
http://luchadeclases.org.ve/,POLR,Political Criticism,2014-04-15,citizenlab,,5898014
http://manosfueradevenezuela.org/,POLR,Political Criticism,2014-04-15,citizenlab,,13512084
https://socialdemencia.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,17680865
http://sumate.org/,POLR,Political Criticism,2014-04-15,citizenlab,,1447361
http://unidadvenezuela.org/,POLR,Political Criticism,2014-04-15,citizenlab,,1440387
http://urru.org/,POLR,Political Criticism,2014-04-15,citizenlab,,2387995
http://es.catholic.net/,REL,Religion,2014-04-15,citizenlab,,74611
http://prosalud.org.ve/,XED,Sex Education,2014-04-15,citizenlab,,28392460
https://www.mercado.com.ve/,COMM,E-commerce,2014-04-15,citizenlab,,108868166
http://gumilla.org/,ECON,Economics,2014-04-15,citizenlab,,418261
http://www4.cne.gob.ve/,GOVT,Government,2014-04-15,citizenlab,,400023
http://www.pdv.com/,GOVT,Government,2014-04-15,citizenlab,,351527
