url,category_code,category_description,date_added,source,notes,rank
https://bongcuoi.com/,ALDR,Alcohol & Drugs,2021-07-02,Netalitica,"Funky balls, drugs",97945746
https://thefunkyball.com/,ALDR,Alcohol & Drugs,2021-07-02,Netalitica,"Funky balls, drugs",45300393
https://vi.vpnmentor.com/,ANON,Anonymization and circumvention tools,2021-07-02,Netalitica,Offer VPN instructions,11918314
https://www.hidemyass.com/vi-vn/index/,ANON,Anonymization and circumvention tools,2021-07-02,Netalitica,HMA Vietnam,26036
https://five.vn/,COMM,E-commerce,2019-09-25,OONI,,4950983
https://www.diaoconline.vn/,COMM,E-commerce,2014-04-15,citizenlab,Real estate,5164215
https://batdongsan.com.vn/,COMM,E-commerce,2021-07-02,Netalitica,Real estate,115391
https://shopee.vn/,COMM,E-commerce,2021-07-02,Netalitica,Most popular local e-shopping site,111394
https://www.lazada.vn/,COMM,E-commerce,2021-07-02,Netalitica,Popular e-shopping site,85179
https://www.vndirect.com.vn/,COMM,E-commerce,2021-07-02,Netalitica,Stocks exchange,187473
https://southtelecom.vn/,COMT,Communication Tools,2014-04-15,citizenlab,"Private company, no political prominence",7903437
https://lotus.vn/w/,COMT,Communication Tools,2021-07-02,Netalitica,Vietnam's ambitious Facebook :) ,17581
https://www.gapo.vn/,COMT,Communication Tools,2021-07-02,Netalitica,Vietnam local communications tool,551915
https://zalo.me/,COMT,Communication Tools,2021-07-02,Netalitica,Most popular local messaging tool,20125
http://www.donghuongquangda.org/,CULTR,Culture,2014-04-15,citizenlab,Quang Da diaspora in South California,23005867
http://www.nhaydu.com/,CULTR,Culture,2014-04-15,citizenlab,"Overseas Vietnamese, former parachuters? ",9150214
http://www.phanchautrinhdanang.org/,CULTR,Culture,2014-04-15,citizenlab,Alumni from PCT school Da Nang,22228504
http://www.tqlcvn.org/,CULTR,Culture,2014-04-15,citizenlab,Overseas Vietnamese,611200
http://www.vietvet.org/,CULTR,Culture,2014-04-15,citizenlab,Vietnamese veterans,236805
https://www.aucocenter.org/,CULTR,Culture,2014-04-15,citizenlab,Overseas Viet,7682056
http://www.vnphoto.net/,CULTR,Culture,2019-09-25,OONI,Photography,1265950
https://ngoisao.net/,CULTR,Culture,2019-09-25,OONI,popular,114844
https://ngoisao.vn/,CULTR,Culture,2019-09-25,OONI,,2836934
https://vietnam.travel/,CULTR,Culture,2019-09-25,OONI,website of Vietnam National Administration of Tourism,131353
https://www.kites.vn/,CULTR,Culture,2019-09-25,OONI,state-authorized media,11222907
https://www.yan.vn/,CULTR,Culture,2019-09-25,OONI,state-authorized media,45320
http://vietfederation.ca/,CULTR,Culture,2014-04-15,citizenlab,sharing Viet culture in Canada,8216398
http://www.luaviet.org/,CULTR,Culture,2014-04-15,citizenlab,"Culture sharing, Vietnamese overseas",19336473
https://vietbao.com/,CULTR,Culture,2014-04-15,citizenlab,Overseas Viet,163431
https://www.huongviet.org/,CULTR,Culture,2014-04-15,citizenlab,Overseas Viet,22612478
https://tiinz.com/,CULTR,Culture,2014-04-15,citizenlab,now posts literature,19442415
https://lyhocdongphuong.org.vn/,CULTR,Culture,2019-09-25,OONI,,10051215
http://www.tamtay.vn/,CULTR,Culture,2014-04-15,citizenlab,"Photo-sharing library, used to be popular",9068855
http://ovietnam.vn/,CULTR,Culture,2021-07-02,Netalitica,Vietnamese tourism and culture,8244655
http://vnyouth.com/,CULTR,Culture,2021-07-02,Netalitica,"Vietnamese Youth Foundation, overseas, reported of blockage",25485178
https://thethao247.vn/,CULTR,Culture,2021-07-02,Netalitica,"state-authorized media, sports",456737
https://dongnhacvang.com/,CULTR,Culture,2021-07-07,Netalitica,Vietnamese wartime romantic music,10883158
https://ifv.vn/,CULTR,Culture,2021-07-07,Netalitica,French institute in Vietnam,3247224
https://newnaratif.com/archives-features/north-south/,CULTR,Culture,2021-07-07,Netalitica,Popular writing about North-South division and narrative,203955
https://nghiencuulichsu.com/,CULTR,Culture,2021-07-07,Netalitica,Studies of Vietnamese and international history,76240
https://thuynga.com/,CULTR,Culture,2021-07-07,Netalitica,Popular Vietnamese overseas entertainment,6249204
https://www.britishcouncil.vn/,CULTR,Culture,2021-07-07,Netalitica,"British Council in VNM, cultural exchange",1660613
https://www.goethe.de/ins/vn/vi/index.html/,CULTR,Culture,2021-07-07,Netalitica,Goethe institute in Vietnam,5739
http://vimothanoidangsong.vn/,CULTR,Culture,2021-07-09,Netalitica,Group calling for improving living quality in Hanoi,24759871
https://www.vietaid.org/,CULTR,Culture,2021-07-14,Netalitica,Organizing events for Vietnamese community in the US,2191808
https://bookhunterclub.com/,CULTR,Culture,2021-07-16,Netalitica,"Sharing and reviewing books, including more sensitive topics",6875451
https://cogaihu.com/,CULTR,Culture,2021-07-16,Netalitica,"Literature, poems, sometimes satirical ",2150865
http://vietsingle.vietfun.com/,DATE,Online Dating,2019-09-25,OONI,,36774933
https://m.ymeet.me/,DATE,Online Dating,2019-09-25,OONI,Verified by Ministry of Commerce,23723608
https://www.vietnamcupid.com/,DATE,Online Dating,2019-09-25,OONI,also added the Vietnamese URL,10522441
https://www.vietnamcupid.com/vi/,DATE,Online Dating,2021-07-02,Netalitica,"Online dating, Vietnamese",10522441
http://vietdating.us/,DATE,Online Dating,2021-07-07,Netalitica,US-based dating site,11464416
https://badoo.com/vi/,DATE,Online Dating,2021-07-07,Netalitica,Badoo Vietnam,16627
