url,category_code,category_description,date_added,source,notes,rank
http://www.cyemen.com/vb/forum.php,CULTR,Culture,2016-04-18,citizenlab,Yemen youth,8378031
https://www.lahamag.com/,CULTR,Culture,2017-10-19,citizenlab,Cultural content,551788
http://www.lahaonline.com/,CULTR,Culture,2017-10-19,citizenlab,Cultural content,5726723
http://aleqtisad-news.net/,ECON,Economics,2016-04-18,citizenlab,Local media,9864185
https://www.yemeneconomist.com/,ECON,Economics,2016-04-18,citizenlab,Local media,4439304
https://www.tacticaltech.org/,NEWS,News Media,2017-10-19,citizenlab,,35207
http://www.alnour.com.lb/,MILX,Terrorism and Militants,2017-10-19,citizenlab,"Hizbullah affiliated, designed by several Arab countries as terror group",572523
http://aleshteraky.com/,POLR,Political Criticism,2016-04-18,citizenlab,Local media,7289581
http://alhakk.net/,NEWS,News Media,2016-04-18,citizenlab,Local media,13798580
http://www.alwahdawi.net/index.php,POLR,Political Criticism,2016-04-18,citizenlab,Local media,5004886
https://www.ikhwanonline.com/,POLR,Political Criticism,2017-10-19,citizenlab,,160643
http://www.ikhwantube.com/,POLR,Political Criticism,2017-10-19,citizenlab,,5399368
http://www.coptic.net/,HUMR,Human Rights Issues,2016-04-18,citizenlab,Religious conversion commentary and criticism,98632
http://www.ansarh.com/,REL,Religion,2017-10-19,citizenlab,Muslim Shia Web site,13517950
http://www.arabchurch.com/,REL,Religion,2017-10-19,citizenlab,,4111778
http://www.sistersunited.org/,HUMR,Human Rights Issues,2017-10-19,citizenlab,,6705063
http://www.ansarweb.net/,REL,Religion,2017-10-19,citizenlab,Muslim Shia Web site,13069011
https://www.biblegateway.com/,REL,Religion,2017-10-19,citizenlab,,4724
http://www.coptic-church.org.uk/,REL,Religion,2017-10-19,citizenlab,,24945626
https://sahafah.net/,SRCH,Search Engines,2016-04-18,citizenlab,Local media,3194053
https://yemenportal.net/,SRCH,Search Engines,2016-04-18,citizenlab,Yemen News Portal,2138924
https://annabaa.org/,NEWS,News Media,2017-10-19,citizenlab,Annabaa. Shiite news portal.,553526
https://www.rafed.net/ar/,REL,Religion,2017-10-19,citizenlab,Muslim Shia Web site,174362
https://arabic.cnn.com/,NEWS,News Media,2017-10-19,citizenlab,CNN Arabic,41677
http://www.dubaihotties.org/,LGBT,LGBT,2017-10-19,citizenlab,Escort services,61884515
https://twitter.com/omeisy,HUMR,Human Rights Issues,2018-01-23,citizenlab,,5
https://www.facebook.com/GayStarNews/,LGBT,LGBT,2017-10-19,citizenlab,,1
https://www.facebook.com/bostan.ikhwan/,POLR,Political Criticism,2017-10-19,citizenlab,,1
https://twitter.com/arabatheisttv,REL,Religion,2017-10-19,citizenlab,,5
https://twitter.com/mol7d_arabi,REL,Religion,2017-10-19,citizenlab,,5
https://www.mashrobi.com/,ALDR,Alcohol & Drugs,2019-05-02,Netalitica,,28247909
https://www.africanandeastern.com/,ALDR,Alcohol & Drugs,2019-05-02,Netalitica,,1754319
https://www.leclos.net/,ALDR,Alcohol & Drugs,2019-05-02,Netalitica,,1869009
https://centaurusint.net/,ALDR,Alcohol & Drugs,2019-05-02,Netalitica,,81542
http://www.mmidubai.com/,ALDR,Alcohol & Drugs,2019-05-02,Netalitica,,5335983
https://www.spinneysauh.com/,ALDR,Alcohol & Drugs,2019-05-02,Netalitica,,10816656
https://www.selfridges.com/,ALDR,Alcohol & Drugs,2019-05-02,Netalitica,,22760
https://www.drinkies.net/,ALDR,Alcohol & Drugs,2019-05-02,Netalitica,,10359381
https://gulfbrandsinternational.com/,ALDR,Alcohol & Drugs,2019-05-02,Netalitica,,17448801
https://ar.drinkedin.net/,ALDR,Alcohol & Drugs,2019-05-02,Netalitica,,-1
https://www.cyber-arabs.com/,ANON,Anonymization and circumvention tools,2019-04-30,Netalitica,,2589284
https://mahjooob.com/,ANON,Anonymization and circumvention tools,2019-04-30,Netalitica,,54307328
https://www.arabichotspotshield.com/,ANON,Anonymization and circumvention tools,2019-04-30,Netalitica,,72706338
http://www.arabprogs.com/,ANON,Anonymization and circumvention tools,2019-04-30,Netalitica,,-1
https://www.toopenblockedsites.com/,ANON,Anonymization and circumvention tools,2019-04-30,Netalitica,,109189240
https://www.newtactics.org/ar,ANON,Anonymization and circumvention tools,2019-04-30,Netalitica,,298611
https://www.openingblockedsite.com/,ANON,Anonymization and circumvention tools,2019-04-30,Netalitica,,38729557
https://nottrees.com/,ANON,Anonymization and circumvention tools,2019-04-30,Netalitica,,50735330
https://salamatechwiki.org/,ANON,Anonymization and circumvention tools,2019-04-30,Netalitica,,12071362
https://beheard.salamatech.org/ar,ANON,Anonymization and circumvention tools,2019-04-30,Netalitica,,30001935
https://www.salamatech.org/,ANON,Anonymization and circumvention tools,2019-04-30,Netalitica,,18225801
https://ar.vpnmentor.com/,ANON,Anonymization and circumvention tools,2019-04-30,Netalitica,,13893580
https://ara.privateinternetaccess.com/,ANON,Anonymization and circumvention tools,2019-04-30,Netalitica,,35260298
https://weneedprivacy.com/,ANON,Anonymization and circumvention tools,2019-04-30,Netalitica,,9284895
