url,category_code,category_description,date_added,source,notes,rank
http://www.r2k.org.za/,POLR,Political Criticism,2018-01-26,Kgopotso,,389347
http://www.amandla.mobi/,HUMR,Human Rights Issues,2018-01-26,Kgopotso,,2537093
http://abahlali.org/,HUMR,Human Rights Issues,2018-01-26,Kgopotso,,26826
http://section27.org.za/,HUMR,Human Rights Issues,2018-01-26,Kgopotso,,297670
http://www.economicfreedomfighters.org/,POLR,Political Criticism,2018-01-26,Kgopotso,,4544035
https://mg.co.za/,NEWS,News Media,2018-01-26,Kgopotso,,14139
http://irr.org.za/,HUMR,Human Rights Issues,2018-01-26,Kgopotso,,322540
http://www.sweat.org.za/,HUMR,Human Rights Issues,2018-01-26,Kgopotso,,2173802
http://www.ngopulse.org/,POLR,Political Criticism,2018-01-26,Kgopotso,,887380
https://www.dailymaverick.co.za/opinionistas,POLR,Political Criticism,2018-01-27,Community member,,5871
https://constitutionallyspeaking.co.za/,POLR,Political Criticism,2018-01-27,Community member,,171654
http://amabhungane.co.za/,NEWS,News Media,2018-01-27,Community member,,393995
https://www.hrw.org/africa/south-africa,HUMR,Human Rights Issues,2018-01-27,Community member,,2304
https://cer.org.za/,ENV,Environment,2018-01-27,Community member, ,168170
http://www.out.org.za/,LGBT,LGBT,2018-01-27,Community member,,4402520
https://www.gov.za/,GOVT,Government,2018-01-27,Community member,,11420
https://blackopinion.co.za/,HATE,Hate Speech,2018-01-27,Community member,,3335128
https://af.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,126625
https://pt.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,4916
https://en.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,5510
https://fa.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country,13098
https://www.iranti.org.za/,LGBT,LGBT,2019-11-18,OutRight International,,5828123
