url,category_code,category_description,date_added,source,notes,rank
https://76crimes.com/2013/05/15/zambia-trial-delayed-for-activist-paul-kasonkomona/,HUMR,Human Rights Issues,2016-06-10,OONI,,77204
https://76crimes.com/2014/06/25/zambia-to-west-dont-watch-when-we-jail-lgbt-people/,LGBT,LGBT,2016-06-10,OONI,,77204
https://76crimes.com/2015/05/15/zambian-opponent-of-anti-gay-laws-wins-at-high-court/,LGBT,LGBT,2016-06-10,OONI,,77204
https://76crimes.com/tag/paul-kasonkomona/,LGBT,LGBT,2016-06-10,OONI,,77204
http://africanarguments.org/2015/12/15/can-zambias-opposition-unseat-president-lungu-in-the-2016-elections/,POLR,Political Criticism,2016-06-10,OONI,,23429
http://africanarguments.org/2016/06/01/zambias-2016-elections-is-a-disputed-outcome-now-inevitable/,POLR,Political Criticism,2016-06-10,OONI,,23429
http://afrosocialiting.wordpress.com/,CULTR,Culture,2016-06-10,OONI,,41122488
http://allafrica.com/stories/201411150012.html,POLR,Political Criticism,2016-06-10,OONI,,11669
http://allafrica.com/stories/201512110956.html,POLR,Political Criticism,2016-06-10,OONI,,11669
http://allafrica.com/stories/201512161266.html,NEWS,News Media,2016-06-09,OONI,,11669
http://arushapot.blogspot.com/,POLR,Political Criticism,2016-06-10,OONI,,47285088
http://barotselandpost.com/,MILX,Terrorism and Militants,2016-04-19,citizenlab,,662298
http://documents.worldbank.org/curated/en/2012/12/18286675/zambia-poverty-assessment-stagnant-poverty-inequality-natural-resource-based-economy,ECON,Economics,2016-06-10,OONI,,11334
https://fodep.blogspot.gr/,POLR,Political Criticism,2016-06-10,OONI,,-1
http://gvnet.com/torture/Zambia.htm,HUMR,Human Rights Issues,2016-06-09,OONI,,127621
http://hh-zambia.com/,POLR,Political Criticism,2016-06-09,OONI,,1676728
https://kachemakontolola.wordpress.com/2016/05/29/lungu-corrupted-by-power/,POLR,Political Criticism,2016-06-10,OONI,,-1
http://list25.com/25-countries-with-the-lowest-life-expectancy-in-the-world/,HUMR,Human Rights Issues,2016-06-10,OONI,,12674
http://lusakavoice.com/2013/09/18/upnd-summary-manifesto/,POLR,Political Criticism,2016-06-09,OONI,,453703
http://lusakavoice.com/2016/01/19/the-evil-spirits-of-corruption-in-zambia/,POLR,Political Criticism,2016-06-10,OONI,,453703
http://minorityrights.org/country/zambia/,HUMR,Human Rights Issues,2016-06-09,OONI,,21216
http://misa.org/,HUMR,Human Rights Issues,2016-06-10,OONI,,1271367
https://oyvzambia.blogspot.gr/,POLR,Political Criticism,2016-06-10,OONI,,-1
https://paulshalala.blogspot.com/,POLR,Political Criticism,2016-06-10,OONI,,5627287
https://paulshalala.blogspot.com/2015/05/investigation-reveals-zambias-600.html,LGBT,LGBT,2016-06-10,OONI,,5627287
http://qz.com/666922/immigrants-are-under-attack-in-one-of-africas-most-peaceful-countries/,POLR,Political Criticism,2016-06-10,OONI,,248
http://saccord.org/,HUMR,Human Rights Issues,2016-06-10,OONI,,7760025
https://tumfweko.com/2016/01/11/political-corruption-and-poverty-in-zambia-observation-and-facts-part-1/,POLR,Political Criticism,2016-06-10,OONI,,631423
http://www.advocate.com/world/2014/06/09/zambian-minister-confirms-government-wont-recognize-gay-citizens-rights,LGBT,LGBT,2016-06-10,OONI,,12552
http://www.africablogging.org/elections-and-political-communication/,POLR,Political Criticism,2016-06-10,OONI,,4226839
http://www.africablogging.org/ritual-killers-terrorise-lusaka-killing-and-removing-body-parts/,REL,Religion,2016-06-10,OONI,,4226839
http://www.africablogging.org/zambia/,HOST,Hosting and Blogging Platforms,2016-06-10,OONI,,4226839
http://www.africablogging.org/zambian-government-angers-civil-society-over-mental-disorder-act/,HUMR,Human Rights Issues,2016-06-10,OONI,,4226839
http://www.africablogging.org/zambias-human-rights-record-under-the-spotlight/,HUMR,Human Rights Issues,2016-06-10,OONI,,4226839
http://www.africablogging.org/zambias-main-parties-launch-their-election-campaigns-on-saturday/,POLR,Political Criticism,2016-06-10,OONI,,4226839
http://www.afro-funk.blogspot.com/,CULTR,Culture,2016-06-10,OONI,,97834419
http://www.amunzi.com/,GRP,Social Networking,2016-06-14,OONI,,99659435
http://www.bbc.com/news/world-africa-14112449,NEWS,News Media,2016-04-19,citizenlab,,96
http://www.bbc.com/news/world-africa-26342543,LGBT,LGBT,2016-06-10,OONI,,96
http://www.blackplanet.com/,GRP,Social Networking,2016-06-14,OONI,,18402
http://www.christiantoday.com/article/rwandan.refugees.hide.in.church.after.violence.erupts.in.zambia/84926.htm,HUMR,Human Rights Issues,2016-06-10,OONI,,25267
http://www.cidrz.org/hivaids/,PUBH,Public Health,2016-06-09,OONI,,485138
http://www.equaldex.com/region/zambia,LGBT,LGBT,2016-06-10,OONI,,70672
http://www.equalitynow.org/AGLDF#zambia,HUMR,Human Rights Issues,2016-06-10,OONI,,34784
http://www.facebook.com/UnitedPartyforNationalDevelopment/,POLR,Political Criticism,2016-06-09,OONI,,1
https://www.facebook.com/ZambiaReports/posts/598392566945439,POLR,Political Criticism,2016-06-10,OONI,,1
https://www.frontlinedefenders.org/pt/case/case-history-paul-kasonkomona,HUMR,Human Rights Issues,2016-06-10,OONI,,15310
http://www.gndem.org/zea-releases-press-statement,POLR,Political Criticism,2016-06-10,OONI,,2340181
https://www.hrw.org/news/2010/09/07/zambia-police-brutality-torture-rife,HUMR,Human Rights Issues,2016-06-09,OONI,,2304
https://www.hrw.org/news/2013/05/20/zambia-stop-prosecuting-people-homosexuality,LGBT,LGBT,2016-06-10,OONI,,2304
https://www.hrw.org/report/2014/07/15/we-are-also-dying-aids/barriers-hiv-services-and-treatment-persons-disabilities,PUBH,Public Health,2016-06-09,OONI,,2304
http://www.jctr.org.zm/images/stories/Post_Artiles/Voterapathy.pdf,POLR,Political Criticism,2016-06-10,OONI,,6828991
http://www.lilianthanks.blogspot.com/,CULTR,Culture,2016-06-10,OONI,,-1
https://www.lusakatimes.com/,NEWS,News Media,2016-04-19,citizenlab,,48836
https://www.lusakatimes.com/2013/06/26/zambia-needs-to-eliminate-torture-and-degrading-treatment/,HUMR,Human Rights Issues,2016-06-09,OONI,,48836
https://www.lusakatimes.com/2014/02/25/human-rights-activist-paul-kasonkomona-acquitted-pro-gay-sentiments/,LGBT,LGBT,2016-06-10,OONI,,48836
https://www.lusakatimes.com/2016/04/22/president-lungus-careless-statements-contributed-eruption-xenophobic-attacks-lusaka-hh/,POLR,Political Criticism,2016-06-10,OONI,,48836
http://www.missbwalyawrites.com/,POLR,Political Criticism,2016-06-10,OONI,,12142288
http://www.mwebantu.com/,NEWS,News Media,2016-04-19,citizenlab,,508444
http://www.mwebantu.com/tag/upnd/,NEWS,News Media,2016-06-09,OONI,,508444
http://www.news24.com/Africa/News/zambia-xenophobic-attacks-due-to-political-discontent-says-guy-scott-20160425-2,POLR,Political Criticism,2016-06-10,OONI,,11491
http://www.parliament.gov.zm/members/opposition,GOVT,Government,2016-06-09,OONI,,153276
