url,category_code,category_description,date_added,source,notes,rank
http://www.zela.org/,ENV,Environment,2016-07-22,OONI,url provided by OONI partner,2678413
http://www.jsc.org.zw/,GOVT,Government,2016-07-22,OONI,url provided by OONI partner,6700013
http://www.mohcc.gov.zw/,GOVT,Government,2016-07-22,OONI,url provided by OONI partner,1163488
https://www.parlzim.gov.zw/,GOVT,Government,2016-07-22,OONI,url provided by OONI partner,162654
http://www.zimra.co.zw/,GOVT,Government,2016-07-22,OONI,url provided by OONI partner,449535
http://www.zrp.gov.zw/,GOVT,Government,2016-07-22,OONI,url provided by OONI partner,1269173
http://www.technomag.co.zw/,HACK,Hacking Tools,2016-07-22,OONI,,477503
https://www.techzim.co.zw/,HACK,Hacking Tools,2016-07-22,OONI,,56983
https://www.veritaszim.net/,HUMR,Human Rights Issues,2016-07-22,OONI,url provided by OONI partner,412493
http://www.zwla.co.zw/,HUMR,Human Rights Issues,2016-07-22,OONI,url provided by OONI partner,2067246
https://galz.org/,LGBT,LGBT,2016-07-22,OONI,url provided by OONI partner,6002709
http://www.channelzim.net/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner,14498670
http://www.newsdzezimbabwe.co.uk/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner,122655
https://www.sundaynews.co.zw/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner,205207
http://www.zimbabwesituation.com/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner,82393
https://www.bettingsites.info/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner,11536502
http://saharareporters.com/2016/07/06/protests-shut-zimbabwe-down-mugabe-government-throttles-social-media-stave-criticism/,POLR,Political Criticism,2016-07-22,OONI,,30457
https://twitter.com/pastorevanlive/,POLR,Political Criticism,2016-07-22,OONI,keep for control purposes,5
http://www.aljazeera.com/programmes/countingthecost/2014/02/robert-mugabe-economic-legacy-201422010939634296.html/,POLR,Political Criticism,2016-07-22,OONI,,1556
http://www.deseretnews.com/article/865658538/How-ThisFlag-pastor-Evan-Mawarire-used-Facebook-to-shut-down-Zimbabwe.html/,POLR,Political Criticism,2016-07-22,OONI,,15785
http://www.ibtimes.co.uk/zimbabwe-who-pastor-evan-mawarire-man-behind-thisflag-subversive-protest-movement-1569674/,POLR,Political Criticism,2016-07-22,OONI,,4848
http://www.theatlantic.com/magazine/archive/2003/12/how-to-kill-a-country/302845/,POLR,Political Criticism,2016-07-22,OONI,,170
http://celebrate.org/,REL,Religion,2016-07-22,OONI,url provided by OONI partner,14212281
http://www.fifmi.org/,REL,Religion,2016-07-22,OONI,url provided by OONI partner,23783655
http://www.phdministries.org/,REL,Religion,2016-07-22,OONI,url provided by OONI partner,17107693
http://www.ufiministries.org/,REL,Religion,2016-07-22,OONI,url provided by OONI partner,6083950
https://www.classifieds.co.zw/,COMM,E-commerce,2016-07-22,OONI,url provided by OONI partner,4310285
https://www.econet.co.zw/,COMM,E-commerce,2016-07-22,OONI,url provided by OONI partner,432689
https://www.netone.co.zw/,COMM,E-commerce,2016-07-22,OONI,url provided by OONI partner,6563000
https://www.telecel.co.zw/,COMM,E-commerce,2016-07-22,OONI,url provided by OONI partner,5438596
https://www.3-mob.com/,CULTR,Culture,2016-07-22,OONI,url provided by OONI partner,52943
https://www.zimbojam.com/,CULTR,Culture,2016-07-22,OONI,url provided by OONI partner,488630
https://www.potraz.gov.zw/,GOVT,Government,2016-07-22,OONI,url provided by OONI partner,3768690
https://www.hrforumzim.org/,HUMR,Human Rights Issues,2016-07-22,OONI,url provided by OONI partner,1719524
https://www.kubatana.net/,HUMR,Human Rights Issues,2016-07-22,OONI,url provided by OONI partner,98035
https://www.thezimbabwean.co/2016/03/an-update-on-human-rights-violations-in-zimbabwe/,HUMR,Human Rights Issues,2016-07-22,OONI,,188528
https://www.zesn.org.zw/,HUMR,Human Rights Issues,2016-07-22,OONI,url provided by OONI partner,2363871
https://www.zhrc.org.zw/,HUMR,Human Rights Issues,2016-07-22,OONI,url provided by OONI partner,5309028
https://www.263chat.com/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner,1538095
https://www.bulawayo24.com/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner,116869
https://www.herald.co.zw/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner,38520
https://www.hmetro.co.zw/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner,4368673
https://www.bettingsites.info/kwesesports-com/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner,11536502
https://www.mg.co.za/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner,14139
https://www.nehandaradio.com/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner,152232
https://www.newsday.co.zw/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner,18407
https://www.newzimbabwe.com/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner,50969
https://www.southerneye.co.zw/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner,613699
https://mg.co.za/article/2016-07-12-thisflag-pastor-evan-mawarire-summoned-by-zimbabwean-police/,POLR,Political Criticism,2016-07-22,OONI,,14139
https://religionnews.com/2016/07/21/how-thisflag-pastor-evan-mawarire-used-facebook-to-shut-down-zimbabwe/,POLR,Political Criticism,2016-07-22,OONI,,15220
http://www.ictministry.gov.zw/,GOVT,Government,2016-07-22,OONI,Looks like a DDoS attack is currently affecting this site,9673490
https://www.dszim.org/,HACK,Hacking Tools,2017-05-29,Digital Society of Zimbabwe,,12571367
http://www.zimrights.co.zw/,HUMR,Human Rights Issues,2017-05-29,Digital Society of Zimbabwe,,8419138
https://www.bbc.com/afrique/,NEWS,News Media,2017-07-19,BBC,,96
https://www.bbcafrique.com/,NEWS,News Media,2017-07-19,BBC,,8450738
https://www.zimbabwetourism.net/,CULTR,Culture,2018-01-27,Community member,,397144
https://www.sunsafaris.com/safari/zimbabwe/,CULTR,Culture,2018-01-27,Community member,,1821680
http://www.oakfnd.org/zimbabwe-team.html/,ENV,Environment,2018-01-27,Community member,,1272767
http://www.zim.gov.zw/index.php/en/,GOVT,Government,2018-01-27,Community member,,139086
https://www.zimlii.org/,HUMR,Human Rights Issues,2018-01-27,Community member,,1452193
https://bantwana.org/where-we-work/zimbabwe/,HUMR,Human Rights Issues,2018-01-27,Community member,,10281850
https://www.fadzayi4mp.com/,POLR,Political Criticism,2018-02-01,Community member,,27302635
https://twitter.com/nelsonchamisa/,POLR,Political Criticism,2018-02-01,Community member,keep for control purposes,5
https://www.youtube.com/channel/UCM62CHb1jWuTKbJhbgTq46g/,POLR,Political Criticism,2018-02-01,Community member,YouTube channel with videos on controversial political discourses,4
https://www.bigsr.co.uk/,POLR,Political Criticism,2018-02-01,Community member,,1936614
https://twitter.com/bititendai?lang=en/,POLR,Political Criticism,2018-02-01,Community member,keep for control purposes,5
http://zimfirst.org/,POLR,Political Criticism,2018-02-01,Community member,,22149145
https://www.youtube.com/channel/UC4a2DkDqH8ZqiGxeJVpueuw/,POLR,Political Criticism,2018-02-01,Community member,YouTube Channel of political party. Keep for control purposes,4
https://www.hrt.org.zw/,HUMR,Human Rights Issues,2018-02-01,Community member,,7317677
https://ccjphre.org.zw/,REL,Religion,2018-02-01,Community member,,23558477
http://www.chathour.com/members/room/Zimbabwe/chat/,COMT,Communication Tools,2018-04-10,OONI,,156535
https://263chat.com/,COMT,Communication Tools,2018-04-10,OONI,Award-winning platform for conversations in Zimbabwe,1538095
http://viomakcharitymusic.com/,CULTR,Culture,2018-04-10,OONI,Context: https://en.wikipedia.org/wiki/Viomak,21084456
https://thomas-mapfumo.com/,CULTR,Culture,2018-04-10,OONI,Banned music,4400443
https://www.forbes.com/sites/faraigundan/,CULTR,Culture,2018-04-10,OONI,,63
http://faraitoday.com/,CULTR,Culture,2018-04-10,OONI,,11357303
http://www.makhondlovu.com/,CULTR,Culture,2018-04-10,OONI,,3262655
http://mdundo.com/a/34159/,CULTR,Culture,2018-04-10,OONI,,43185
https://zw.datingbuzz.com/,DATE,Online Dating,2018-04-10,OONI,,102705770
http://www.zeroregional.com/en/index.php/,ENV,Environment,2018-04-10,OONI,,30067502
https://www.wezmat.org/,ENV,Environment,2018-04-10,OONI,,5396114
https://www.ema.co.zw/,ENV,Environment,2018-04-10,OONI,,2587306
http://www.defence.gov.zw/,GOVT,Government,2018-04-10,OONI,,6153972
https://zimbabwe.mivasocial.com/,GRP,Social Networking,2018-04-10,OONI,,-1
https://www.wireclub.com/places/zimbabwe/,GRP,Social Networking,2018-04-10,OONI,,77232
https://play.google.com/store/apps/details?id=africa.wangu.app/,GRP,Social Networking,2018-04-10,OONI,,17
https://www.humanrights.dk/place/zimbabwe/,HUMR,Human Rights Issues,2018-04-10,OONI,,167179
https://www.zlhr.org.zw/,HUMR,Human Rights Issues,2018-04-10,OONI,,2907647
https://www.cfr.org/blog/matabeleland-massacre-and-contemporary-zimbabwe/,HUMR,Human Rights Issues,2018-04-10,OONI,,11155
https://www.theguardian.com/world/2015/may/19/mugabe-zimbabwe-gukurahundi-massacre-matabeleland/,HUMR,Human Rights Issues,2018-04-10,OONI,,67
http://www.healzimbabwetrust.org/,HUMR,Human Rights Issues,2018-04-10,OONI,,19877174
https://theotherfoundation.org/wp-content/uploads/2017/02/Canaries_Zimbabwe.pdf/,LGBT,LGBT,2018-04-10,OONI,,461521
http://www.thezimbabwemail.com/,NEWS,News Media,2018-04-10,OONI,,153904
https://www.dailynews.co.zw/,NEWS,News Media,2018-04-10,OONI,,92937
https://www.zimeye.net/,NEWS,News Media,2018-04-10,OONI,,343045
https://www.myzimbabwe.co.zw/,NEWS,News Media,2018-04-10,OONI,,431210
http://www.thestandard.co.zw/,NEWS,News Media,2018-04-10,OONI,,91754
https://www.weekendpost.co.zw/,NEWS,News Media,2018-04-10,OONI,,2669058
https://www.masvingomirror.com/,NEWS,News Media,2018-04-10,OONI,,8772038
http://www.thebusinessconnect.co.zw/,NEWS,News Media,2018-04-10,OONI,,16021983
http://www.tellzim.com/,NEWS,News Media,2018-04-10,OONI,,2986948
http://www.businessdaily.co.zw/,NEWS,News Media,2018-04-10,OONI,,4051492
https://iharare.com/,NEWS,News Media,2018-04-10,OONI,,1195003
https://bulawayo24.com/,NEWS,News Media,2018-04-10,OONI,,116869
http://www.irinnews.org/afrique/afrique-australe/zimbabwe/,NEWS,News Media,2018-04-10,OONI,,21929
https://www.theindependent.co.zw/,NEWS,News Media,2018-04-10,OONI,,78954
https://www.news24.com/Tags/Topics/zimbabwe_2018_elections/,POLR,Political Criticism,2018-04-10,OONI,,11491
http://www.zec.gov.zw/,POLR,Political Criticism,2018-04-10,OONI,,752525
https://www.eisa.org.za/wep/zimzec.htm/,POLR,Political Criticism,2018-04-10,OONI,,139411
http://www.mdc.co.zw/,POLR,Political Criticism,2018-04-10,OONI,,1591642
https://www.facebook.com/Peoples-Democratic-Party-Zimbabwe-PDP-1743291559265230/,POLR,Political Criticism,2018-04-10,OONI,keep for control purposes,1
http://www.shutdownzim.net/2016/07/23/press-statement-position-platform-concerned-citizens-national-transitional-authority/,POLR,Political Criticism,2018-04-10,OONI,,32141117
http://www.freezimcongress.com/,POLR,Political Criticism,2018-04-10,OONI,,35995383
https://www.pindula.co.zw/Linda_Masarira/,POLR,Political Criticism,2018-04-10,OONI,,386256
http://www.kubatanablogs.net/kubatana/,POLR,Political Criticism,2018-04-10,OONI,Online community of Zimbabwean activists,298318
https://www.avert.org/professionals/hiv-around-world/sub-saharan-africa/zimbabwe/,PUBH,Public Health,2018-04-10,OONI,,17004
http://zimbabwe.unfpa.org/topics/hiv-aids-4/,PUBH,Public Health,2018-04-10,OONI,,446281
https://zimbuzz.co.zw/,CULTR,Culture,2018-04-10,OONI,,10293119
https://zimbabweweddings.co.zw/,CULTR,Culture,2018-04-10,OONI,,26551646
https://www.greatzimbabweguide.com/,CULTR,Culture,2018-04-10,OONI,,6641874
https://rabisonshumba.com/,CULTR,Culture,2018-04-10,OONI,under maintanance,21362899
https://www.chachaya.co.zw/,DATE,Online Dating,2018-04-10,OONI,,106220829
https://www.zanupf.org.zw/,GOVT,Government,2018-04-10,OONI,,200877
https://nehandaradio.com/2012/11/18/gukurahundi-massacres-how-it-all-began-part-1/,HUMR,Human Rights Issues,2018-04-10,OONI,,152232
https://nehandaradio.com/tag/manzou-farm/,HUMR,Human Rights Issues,2018-04-10,OONI,,152232
https://www.zimbabwenewsonline.com/,NEWS,News Media,2018-04-10,OONI,,6663157
https://www.financialgazette.co.zw/,NEWS,News Media,2018-04-10,OONI,,346465
https://www.sundaymail.co.zw/,NEWS,News Media,2018-04-10,OONI,,123718
https://kwayedza.co.zw/,NEWS,News Media,2018-04-10,OONI,,7477312
https://www.thezimbabwean.co/,NEWS,News Media,2018-04-10,OONI,,188528
https://www.b-metro.co.zw/,NEWS,News Media,2018-04-10,OONI,,13028492
https://www.harare24.com/,NEWS,News Media,2018-04-10,OONI,,2320934
https://www.hararenews.co.zw/,NEWS,News Media,2018-04-10,OONI,,640577
https://www.chronicle.co.zw/,NEWS,News Media,2018-04-10,OONI,,85155
https://www.thepatriot.co.zw/,NEWS,News Media,2018-04-10,OONI,,71626
https://manicapost.co.zw/,NEWS,News Media,2018-04-10,OONI,,4696558
https://allafrica.com/zimbabwe/,NEWS,News Media,2018-04-10,OONI,,11669
https://www.zimbabwestar.com/,NEWS,News Media,2018-04-10,OONI,,7412332
https://www.zimdaily.com/,NEWS,News Media,2018-04-10,OONI,,497471
https://www.bbc.com/news/world-africa-14113511/,NEWS,News Media,2018-04-10,OONI,,96
https://www.zbcnews.co.zw/,NEWS,News Media,2018-04-10,OONI,,201833
https://xtra.zifmstereo.co.zw/,NEWS,News Media,2018-04-10,OONI,,77198226
https://www.radiovop.com/,NEWS,News Media,2018-04-10,OONI,,223576
https://nehandaradio.com/,NEWS,News Media,2018-04-10,OONI,,152232
